time,id,source,dest
0,passenger1,1,16
0,passenger2,1,6
0,passenger3,1,8
0,passenger4,1,7
1,passenger5,1,10
1,passenger6,1,17
1,passenger7,1,11
1,passenger8,1,9
2,passenger9,1,14
2,passenger10,1,16
2,passenger11,1,2
2,passenger12,1,23
2,passenger13,1,23
3,passenger14,1,16
4,passenger15,1,15
4,passenger16,1,18
4,passenger17,1,12
4,passenger18,1,10
4,passenger19,1,10
4,passenger20,1,5
4,passenger21,1,22
5,passenger22,1,9
6,passenger23,1,8
6,passenger24,1,25
6,passenger25,1,14
6,passenger26,1,16
7,passenger27,1,7
7,passenger28,1,8
8,passenger29,1,19
8,passenger30,1,12
9,passenger31,1,5
9,passenger32,1,22
9,passenger33,1,11
9,passenger34,1,18
9,passenger35,1,10
10,passenger36,1,15
10,passenger37,1,20
10,passenger38,1,23
10,passenger39,1,6
11,passenger40,1,18
12,passenger41,1,23
12,passenger42,1,17
12,passenger43,1,5
12,passenger44,1,6
12,passenger45,1,6
12,passenger46,1,4
13,passenger47,1,20
13,passenger48,1,25
14,passenger49,1,14
14,passenger50,1,16
14,passenger51,1,20
14,passenger52,1,11
14,passenger53,1,13
16,passenger54,1,16
16,passenger55,1,9
17,passenger56,1,3
17,passenger57,1,15
18,passenger58,1,21
18,passenger59,1,3
18,passenger60,1,7
19,passenger61,1,8
19,passenger62,1,21
19,passenger63,1,14
19,passenger64,1,14
21,passenger65,1,17
21,passenger66,1,8
22,passenger67,1,19
22,passenger68,1,2
23,passenger69,1,4
23,passenger70,1,21
23,passenger71,1,17
24,passenger72,1,6
24,passenger73,1,12
25,passenger74,1,3
25,passenger75,1,18
25,passenger76,1,20
25,passenger77,1,8
26,passenger78,1,10
26,passenger79,1,7
26,passenger80,1,11
26,passenger81,1,8
26,passenger82,1,7
27,passenger83,1,12
27,passenger84,1,22
27,passenger85,1,20
28,passenger86,1,9
28,passenger87,1,24
28,passenger88,1,7
28,passenger89,1,23
29,passenger90,1,9
29,passenger91,1,14
29,passenger92,1,6
29,passenger93,1,20
30,passenger94,1,9
31,passenger95,1,22
31,passenger96,1,3
32,passenger97,1,14
32,passenger98,1,5
33,passenger99,1,23
33,passenger100,1,12
33,passenger101,1,18
33,passenger102,1,23
34,passenger103,1,14
34,passenger104,1,3
34,passenger105,1,7
35,passenger106,1,7
35,passenger107,1,23
35,passenger108,1,23
35,passenger109,1,13
35,passenger110,1,23
36,passenger111,1,7
36,passenger112,1,18
36,passenger113,1,11
37,passenger114,1,7
37,passenger115,1,8
37,passenger116,1,12
37,passenger117,1,10
38,passenger118,1,7
38,passenger119,1,10
38,passenger120,1,5
38,passenger121,1,25
38,passenger122,1,11
39,passenger123,1,4
39,passenger124,1,15
40,passenger125,1,23
40,passenger126,1,10
40,passenger127,1,22
40,passenger128,1,16
41,passenger129,1,19
41,passenger130,1,9
41,passenger131,1,2
42,passenger132,1,10
42,passenger133,1,24
43,passenger134,1,20
43,passenger135,1,20
43,passenger136,1,23
43,passenger137,1,10
43,passenger138,1,9
43,passenger139,1,24
43,passenger140,1,15
44,passenger141,1,9
44,passenger142,1,8
44,passenger143,1,23
45,passenger144,1,3
45,passenger145,1,3
45,passenger146,1,19
46,passenger147,1,2
46,passenger148,1,6
47,passenger149,1,25
47,passenger150,1,12
47,passenger151,1,19
48,passenger152,1,13
48,passenger153,1,4
48,passenger154,1,6
48,passenger155,1,20
50,passenger156,1,4
51,passenger157,1,16
51,passenger158,1,10
52,passenger159,1,10
52,passenger160,1,24
52,passenger161,1,16
52,passenger162,1,16
53,passenger163,1,10
53,passenger164,1,11
54,passenger165,1,18
54,passenger166,1,2
54,passenger167,1,7
54,passenger168,1,16
55,passenger169,1,16
55,passenger170,1,4
55,passenger171,1,20
56,passenger172,1,15
56,passenger173,1,7
57,passenger174,1,20
57,passenger175,1,25
57,passenger176,1,12
58,passenger177,1,8
58,passenger178,1,9
58,passenger179,1,16
58,passenger180,1,3
59,passenger181,1,13
59,passenger182,1,2
59,passenger183,1,2
60,passenger184,1,12
60,passenger185,1,19
60,passenger186,1,23
60,passenger187,1,4
60,passenger188,1,7
61,passenger189,1,12
61,passenger190,1,15
61,passenger191,1,25
61,passenger192,1,18
62,passenger193,1,14
62,passenger194,1,3
62,passenger195,1,3
63,passenger196,1,5
64,passenger197,1,17
64,passenger198,1,9
65,passenger199,1,7
65,passenger200,1,18
66,passenger201,1,21
67,passenger202,1,12
68,passenger203,1,23
69,passenger204,1,19
70,passenger205,1,19
70,passenger206,1,22
70,passenger207,1,6
71,passenger208,1,20
71,passenger209,1,24
72,passenger210,1,25
73,passenger211,1,15
73,passenger212,1,20
73,passenger213,1,23
74,passenger214,1,22
74,passenger215,1,23
75,passenger216,1,21
76,passenger217,1,11
76,passenger218,1,19
76,passenger219,1,11
76,passenger220,1,21
76,passenger221,1,21
76,passenger222,1,24
77,passenger223,1,16
77,passenger224,1,13
77,passenger225,1,5
78,passenger226,1,17
78,passenger227,1,15
78,passenger228,1,14
78,passenger229,1,18
78,passenger230,1,22
79,passenger231,1,5
79,passenger232,1,12
80,passenger233,1,19
80,passenger234,1,21
81,passenger235,1,20
81,passenger236,1,21
81,passenger237,1,22
82,passenger238,1,25
82,passenger239,1,16
82,passenger240,1,7
82,passenger241,1,15
82,passenger242,1,19
82,passenger243,1,4
83,passenger244,1,20
83,passenger245,1,15
83,passenger246,1,24
83,passenger247,1,7
83,passenger248,1,23
84,passenger249,1,12
84,passenger250,1,15
84,passenger251,1,17
85,passenger252,1,15
85,passenger253,1,23
86,passenger254,1,6
86,passenger255,1,19
86,passenger256,1,25
86,passenger257,1,7
86,passenger258,1,8
87,passenger259,1,13
87,passenger260,1,19
87,passenger261,1,25
87,passenger262,1,21
88,passenger263,1,21
88,passenger264,1,12
88,passenger265,1,17
89,passenger266,1,7
89,passenger267,1,13
89,passenger268,1,6
89,passenger269,1,2
89,passenger270,1,22
90,passenger271,1,21
90,passenger272,1,14
91,passenger273,1,2
91,passenger274,1,4
92,passenger275,1,4
92,passenger276,1,19
92,passenger277,1,6
92,passenger278,1,8
92,passenger279,1,22
93,passenger280,1,23
93,passenger281,1,20
94,passenger282,1,9
94,passenger283,1,15
94,passenger284,1,6
95,passenger285,1,22
95,passenger286,1,4
95,passenger287,1,19
95,passenger288,1,14
95,passenger289,1,20
95,passenger290,1,12
95,passenger291,1,5
96,passenger292,1,20
96,passenger293,1,17
96,passenger294,1,13
96,passenger295,1,10
97,passenger296,1,10
97,passenger297,1,13
98,passenger298,1,8
98,passenger299,1,8
98,passenger300,1,8
98,passenger301,1,2
99,passenger302,1,24
99,passenger303,1,7
99,passenger304,1,5
100,passenger305,1,5
100,passenger306,1,25
100,passenger307,1,13
100,passenger308,1,9
101,passenger309,1,11
101,passenger310,1,4
101,passenger311,1,9
102,passenger312,1,7
103,passenger313,1,21
104,passenger314,1,3
104,passenger315,1,12
104,passenger316,1,20
104,passenger317,1,22
106,passenger318,1,14
107,passenger319,1,7
107,passenger320,1,10
107,passenger321,1,7
108,passenger322,1,17
108,passenger323,1,9
108,passenger324,1,17
108,passenger325,1,17
108,passenger326,1,24
109,passenger327,1,10
110,passenger328,1,25
110,passenger329,1,11
110,passenger330,1,18
110,passenger331,1,17
111,passenger332,1,21
111,passenger333,1,13
112,passenger334,1,21
112,passenger335,1,10
112,passenger336,1,13
113,passenger337,1,13
114,passenger338,1,18
114,passenger339,1,16
114,passenger340,1,3
115,passenger341,1,21
115,passenger342,1,20
115,passenger343,1,4
115,passenger344,1,25
116,passenger345,1,17
116,passenger346,1,4
116,passenger347,1,13
117,passenger348,1,22
117,passenger349,1,8
117,passenger350,1,24
117,passenger351,1,12
118,passenger352,1,7
118,passenger353,1,10
118,passenger354,1,14
119,passenger355,1,18
120,passenger356,1,24
120,passenger357,1,6
120,passenger358,1,25
120,passenger359,1,14
121,passenger360,1,5
121,passenger361,1,24
121,passenger362,1,10
123,passenger363,1,16
123,passenger364,1,18
124,passenger365,1,2
124,passenger366,1,7
124,passenger367,1,18
124,passenger368,1,9
124,passenger369,1,2
125,passenger370,1,2
125,passenger371,1,21
125,passenger372,1,5
125,passenger373,1,4
126,passenger374,1,15
126,passenger375,1,4
126,passenger376,1,17
126,passenger377,1,15
126,passenger378,1,17
126,passenger379,1,13
126,passenger380,1,20
127,passenger381,1,17
127,passenger382,1,11
128,passenger383,1,2
128,passenger384,1,8
129,passenger385,1,5
129,passenger386,1,2
130,passenger387,1,8
130,passenger388,1,6
131,passenger389,1,3
131,passenger390,1,9
131,passenger391,1,14
132,passenger392,1,6
132,passenger393,1,8
133,passenger394,1,2
133,passenger395,1,3
133,passenger396,1,5
133,passenger397,1,12
133,passenger398,1,17
133,passenger399,1,20
134,passenger400,1,17
135,passenger401,1,16
135,passenger402,1,24
136,passenger403,1,8
136,passenger404,1,21
136,passenger405,1,24
136,passenger406,1,15
136,passenger407,1,22
136,passenger408,1,5
137,passenger409,1,23
137,passenger410,1,15
138,passenger411,1,7
138,passenger412,1,3
138,passenger413,1,19
139,passenger414,1,12
139,passenger415,1,9
140,passenger416,1,11
140,passenger417,1,25
141,passenger418,1,12
141,passenger419,1,3
142,passenger420,1,8
142,passenger421,1,5
142,passenger422,1,18
142,passenger423,1,21
142,passenger424,1,22
143,passenger425,1,17
144,passenger426,1,20
144,passenger427,1,12
144,passenger428,1,17
144,passenger429,1,4
144,passenger430,1,14
145,passenger431,1,15
145,passenger432,1,2
145,passenger433,1,15
145,passenger434,1,19
145,passenger435,1,10
146,passenger436,1,15
146,passenger437,1,8
147,passenger438,1,8
147,passenger439,1,5
147,passenger440,1,9
148,passenger441,1,21
149,passenger442,1,24
149,passenger443,1,17
149,passenger444,1,16
149,passenger445,1,16
150,passenger446,1,13
150,passenger447,1,12
150,passenger448,1,16
150,passenger449,1,20
150,passenger450,1,11
151,passenger451,1,15
151,passenger452,1,13
151,passenger453,1,8
151,passenger454,1,8
151,passenger455,1,3
151,passenger456,1,12
152,passenger457,1,19
152,passenger458,1,18
152,passenger459,1,25
152,passenger460,1,2
152,passenger461,1,20
152,passenger462,1,21
153,passenger463,1,12
153,passenger464,1,8
153,passenger465,1,10
155,passenger466,1,18
155,passenger467,1,22
155,passenger468,1,17
155,passenger469,1,14
155,passenger470,1,17
155,passenger471,1,3
155,passenger472,1,16
156,passenger473,1,3
156,passenger474,1,25
156,passenger475,1,23
156,passenger476,1,14
157,passenger477,1,10
158,passenger478,1,19
158,passenger479,1,17
158,passenger480,1,18
159,passenger481,1,14
159,passenger482,1,7
159,passenger483,1,3
160,passenger484,1,8
160,passenger485,1,14
160,passenger486,1,12
161,passenger487,1,14
161,passenger488,1,8
162,passenger489,1,24
162,passenger490,1,10
162,passenger491,1,22
162,passenger492,1,11
163,passenger493,1,12
163,passenger494,1,16
163,passenger495,1,8
163,passenger496,1,7
164,passenger497,1,11
164,passenger498,1,21
165,passenger499,1,5
166,passenger500,1,12
166,passenger501,1,18
166,passenger502,1,18
166,passenger503,1,12
166,passenger504,1,3
167,passenger505,1,2
167,passenger506,1,13
167,passenger507,1,21
167,passenger508,1,2
167,passenger509,1,23
167,passenger510,1,18
168,passenger511,1,2
169,passenger512,1,10
171,passenger513,1,7
171,passenger514,1,24
171,passenger515,1,15
172,passenger516,1,9
172,passenger517,1,8
172,passenger518,1,15
172,passenger519,1,2
172,passenger520,1,8
173,passenger521,1,5
173,passenger522,1,16
173,passenger523,1,18
173,passenger524,1,13
173,passenger525,1,5
174,passenger526,1,10
174,passenger527,1,22
175,passenger528,1,6
175,passenger529,1,5
176,passenger530,1,4
176,passenger531,1,21
176,passenger532,1,4
176,passenger533,1,15
176,passenger534,1,25
176,passenger535,1,17
177,passenger536,1,11
177,passenger537,1,6
177,passenger538,1,2
177,passenger539,1,5
177,passenger540,1,24
178,passenger541,1,5
178,passenger542,1,2
178,passenger543,1,21
178,passenger544,1,12
179,passenger545,1,10
179,passenger546,1,19
180,passenger547,1,14
181,passenger548,1,23
181,passenger549,1,13
181,passenger550,1,19
182,passenger551,1,23
183,passenger552,1,13
184,passenger553,1,8
184,passenger554,1,25
185,passenger555,1,7
186,passenger556,1,2
186,passenger557,1,15
187,passenger558,1,25
187,passenger559,1,4
187,passenger560,1,22
188,passenger561,1,21
188,passenger562,1,24
188,passenger563,1,12
188,passenger564,1,8
189,passenger565,1,14
189,passenger566,1,5
189,passenger567,1,22
190,passenger568,1,17
191,passenger569,1,13
191,passenger570,1,14
193,passenger571,1,19
193,passenger572,1,14
194,passenger573,1,22
195,passenger574,1,24
195,passenger575,1,24
196,passenger576,1,16
196,passenger577,1,19
196,passenger578,1,9
197,passenger579,1,2
197,passenger580,1,11
197,passenger581,1,22
197,passenger582,1,5
197,passenger583,1,15
198,passenger584,1,6
198,passenger585,1,12
198,passenger586,1,5
198,passenger587,1,19
198,passenger588,1,21
198,passenger589,1,20
199,passenger590,1,18
199,passenger591,1,7
199,passenger592,1,14
200,passenger593,1,4
202,passenger594,1,10
203,passenger595,1,14
203,passenger596,1,18
203,passenger597,1,4
203,passenger598,1,21
204,passenger599,1,13
204,passenger600,1,23
204,passenger601,1,14
205,passenger602,1,15
205,passenger603,1,18
205,passenger604,1,21
205,passenger605,1,5
207,passenger606,1,14
207,passenger607,1,2
207,passenger608,1,13
207,passenger609,1,21
207,passenger610,1,22
208,passenger611,1,8
208,passenger612,1,11
209,passenger613,1,15
209,passenger614,1,11
209,passenger615,1,6
209,passenger616,1,9
210,passenger617,1,11
210,passenger618,1,14
210,passenger619,1,24
211,passenger620,1,15
211,passenger621,1,11
211,passenger622,1,17
211,passenger623,1,20
211,passenger624,1,12
212,passenger625,1,13
212,passenger626,1,7
212,passenger627,1,22
212,passenger628,1,22
213,passenger629,1,6
213,passenger630,1,10
213,passenger631,1,8
214,passenger632,1,24
214,passenger633,1,3
214,passenger634,1,6
215,passenger635,1,9
215,passenger636,1,15
216,passenger637,1,7
216,passenger638,1,14
216,passenger639,1,19
216,passenger640,1,21
216,passenger641,1,4
216,passenger642,1,5
217,passenger643,1,4
217,passenger644,1,23
217,passenger645,1,17
217,passenger646,1,14
217,passenger647,1,20
218,passenger648,1,16
218,passenger649,1,7
218,passenger650,1,14
218,passenger651,1,18
219,passenger652,1,2
220,passenger653,1,16
220,passenger654,1,13
220,passenger655,1,3
220,passenger656,1,8
220,passenger657,1,12
221,passenger658,1,10
221,passenger659,1,8
221,passenger660,1,17
221,passenger661,1,11
221,passenger662,1,13
222,passenger663,1,21
222,passenger664,1,4
223,passenger665,1,10
224,passenger666,1,3
