pattern,scheduler,delivered,n_ticks,wait_avg,wait_p95,wait_max,travel_avg,total_avg,total_max,rho,throughput,passengers_per_stop,distance_per_passenger
up_peak,look+round_robin,2708,1155,99.84,186.0,234,21.58,121.42,257,0.9627,2.3446,1.0508,4.6684
up_peak,look+nearest_car,2708,2575,370.97,1107.0,1649,21.75,392.73,1679,0.4168,1.0517,1.0444,4.4372
up_peak,look+zone_based,2708,2805,480.92,1527.65,1889,19.4,500.32,1913,0.2783,0.9654,1.3923,3.1891
up_peak,look+cost_function,2708,1496,210.49,444.65,579,21.56,232.05,617,0.7195,1.8102,1.0611,4.4797
up_peak,look+hungarian,2708,1570,254.43,497.0,641,21.65,276.08,679,0.6924,1.7248,1.0545,4.5277
up_peak,fcfs+round_robin,2708,1155,99.84,186.0,234,21.58,121.42,257,0.9627,2.3446,1.0508,4.6684
down_peak,look+round_robin,2708,1136,94.06,524.65,903,41.06,135.12,932,0.9771,2.3838,1.1945,4.887
down_peak,look+nearest_car,2708,1815,261.53,1074.65,1626,34.73,296.26,1652,0.5449,1.492,1.4458,4.4985
down_peak,look+zone_based,2708,2331,254.38,1431.3,1978,23.12,277.5,2004,0.3242,1.1617,1.6392,3.288
down_peak,look+cost_function,2708,1093,66.29,348.65,972,34.1,100.38,998,0.8748,2.4776,1.2976,4.1573
down_peak,look+hungarian,2708,1342,100.47,588.95,1115,38.62,139.08,1141,0.7596,2.0179,1.3622,4.5997
down_peak,fcfs+round_robin,2708,1072,57.08,223.65,923,33.3,90.38,949,0.9534,2.5261,1.1199,4.2555
uniform,look+round_robin,2708,992,29.71,72.0,107,32.24,61.95,167,0.9773,2.7298,0.7217,2.966
uniform,look+nearest_car,2708,1024,13.95,99.0,305,29.94,43.89,370,0.9116,2.6445,0.7065,2.7851
uniform,look+zone_based,2708,1455,83.19,414.3,789,27.1,110.29,828,0.5615,1.8612,0.8449,2.5055
uniform,look+cost_function,2708,983,9.37,74.0,192,29.82,39.18,233,0.9442,2.7548,0.7085,2.7585
uniform,look+hungarian,2708,1002,9.05,56.65,206,30.94,39.98,235,0.9168,2.7026,0.7082,2.6979
uniform,fcfs+round_robin,2708,1053,37.85,109.0,259,34.48,72.33,276,0.9427,2.5717,0.7495,3.2027
