id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,1,0,21,40,21,19,40,0
passenger2,6,1,0,5,12,5,7,12,1
passenger3,8,1,0,7,16,7,9,16,2
passenger4,7,1,0,8,16,8,8,16,3
passenger5,10,1,1,10,21,9,11,20,4
passenger6,17,1,1,21,41,20,20,40,5
passenger7,11,1,1,13,29,12,16,28,6
passenger8,9,1,1,9,21,8,12,20,7
passenger9,14,1,2,15,30,13,15,28,8
passenger10,16,1,2,17,36,15,19,34,9
passenger11,2,1,2,3,6,1,3,4,10
passenger12,23,1,2,26,58,24,32,56,11
passenger13,23,1,2,26,60,24,34,58,12
passenger14,16,1,3,20,43,17,23,40,13
passenger15,15,1,4,18,40,14,22,36,14
passenger16,18,1,4,21,46,17,25,42,15
passenger17,12,1,4,13,40,9,27,36,0
passenger18,10,1,4,25,40,21,15,36,1
passenger19,10,1,4,27,38,23,11,34,2
passenger20,5,1,4,4,16,0,12,12,3
passenger21,22,1,4,52,81,48,29,77,4
passenger22,9,1,5,9,41,4,32,36,5
passenger23,8,1,6,8,29,2,21,23,6
passenger24,25,1,6,55,91,49,36,85,7
passenger25,14,1,6,15,30,9,15,24,8
passenger26,16,1,6,17,36,11,19,30,9
passenger27,7,1,7,16,26,9,10,19,10
passenger28,8,1,7,9,58,2,49,51,11
passenger29,19,1,8,20,60,12,40,52,12
passenger30,12,1,8,14,43,6,29,35,13
passenger31,5,1,9,34,40,25,6,31,14
passenger32,22,1,9,79,108,70,29,99,15
passenger33,11,1,9,10,40,1,30,31,0
passenger34,18,1,9,65,88,56,23,79,1
passenger35,10,1,9,27,38,18,11,29,2
passenger36,15,1,10,34,58,24,24,48,3
passenger37,20,1,10,48,81,38,33,71,4
passenger38,23,1,10,73,105,63,32,95,5
passenger39,6,1,10,22,29,12,7,19,6
passenger40,18,1,11,44,91,33,47,80,7
passenger41,23,1,12,66,94,54,28,82,8
passenger42,17,1,12,60,84,48,24,72,9
passenger43,5,1,12,12,26,0,14,14,10
passenger44,6,1,12,49,58,37,9,46,11
passenger45,6,1,12,53,60,41,7,48,12
passenger46,4,1,12,38,43,26,5,31,13
passenger47,20,1,13,65,88,52,23,75,14
passenger48,25,1,13,142,174,129,32,161,15
passenger49,14,1,14,17,40,3,23,26,0
passenger50,16,1,14,61,88,47,27,74,1
passenger51,20,1,14,71,96,57,25,82,2
passenger52,11,1,14,28,58,14,30,44,3
passenger53,13,1,14,37,81,23,44,67,4
passenger54,16,1,16,18,41,2,23,25,5
passenger55,9,1,16,17,29,1,12,13,6
