id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,1,0,27,62,27,35,62,0
passenger2,6,1,0,5,56,5,51,56,1
passenger3,8,1,0,9,64,9,55,64,2
passenger4,7,1,0,6,63,6,57,63,3
passenger5,10,1,1,13,62,12,49,61,0
passenger6,17,1,1,80,118,79,38,117,1
passenger7,11,1,1,16,64,15,48,63,2
passenger8,9,1,1,13,63,12,50,62,3
passenger9,14,1,2,21,62,19,41,60,0
passenger10,16,1,2,25,56,23,31,54,1
passenger11,2,1,2,3,6,1,3,4,4
passenger12,23,1,2,796,826,794,30,824,2
passenger13,23,1,2,585,613,583,28,611,3
passenger14,16,1,3,27,62,24,35,59,0
passenger15,15,1,4,22,56,18,34,52,1
passenger16,18,1,4,29,64,25,35,60,2
passenger17,12,1,4,18,63,14,45,59,3
passenger18,10,1,4,13,62,9,49,58,0
passenger19,10,1,4,11,56,7,45,52,1
passenger20,5,1,4,4,64,0,60,60,2
passenger21,22,1,4,465,494,461,29,490,3
passenger22,9,1,5,10,62,5,52,57,0
passenger23,8,1,6,10,63,4,53,57,3
passenger24,25,1,6,807,833,801,26,827,0
passenger25,14,1,6,22,63,16,41,57,3
passenger26,16,1,6,27,62,21,35,56,0
passenger27,7,1,7,7,63,0,56,56,3
passenger28,8,1,7,7,62,0,55,55,0
passenger29,19,1,8,92,128,84,36,120,0
passenger30,12,1,8,17,62,9,45,54,0
passenger31,5,1,9,15,54,6,39,45,4
passenger32,22,1,9,210,239,201,29,230,1
passenger33,11,1,9,16,64,7,48,55,2
passenger34,18,1,9,83,118,74,35,109,1
passenger35,10,1,9,13,64,4,51,55,2
passenger36,15,1,10,22,56,12,34,46,1
passenger37,20,1,10,151,182,141,31,172,1
passenger38,23,1,10,273,301,263,28,291,1
passenger39,6,1,10,18,54,8,36,44,4
passenger40,18,1,11,83,118,72,35,107,1
passenger41,23,1,12,273,301,261,28,289,1
passenger42,17,1,12,80,118,68,38,106,1
passenger43,5,1,12,15,54,3,39,42,4
passenger44,6,1,12,18,54,6,36,42,4
passenger45,6,1,12,18,54,6,36,42,4
passenger46,4,1,12,12,54,0,42,42,4
passenger47,20,1,13,33,64,20,31,51,2
passenger48,25,1,13,985,1011,972,26,998,2
passenger49,14,1,14,19,56,5,37,42,1
passenger50,16,1,14,25,56,11,31,42,1
passenger51,20,1,14,95,126,81,31,112,2
passenger52,11,1,14,14,56,0,42,42,1
passenger53,13,1,14,20,64,6,44,50,2
passenger54,16,1,16,85,128,69,43,112,0
passenger55,9,1,16,68,118,52,50,102,4
passenger56,3,1,17,19,25,2,6,8,5
passenger57,15,1,17,24,62,7,38,45,0
passenger58,21,1,18,35,63,17,28,45,3
