tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
3,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1
4,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1
5,6,6,5,6,2,1,1,1,1,1,1,1,1,1,1,1
6,7,6,5,7,1,1,1,1,1,1,1,1,1,1,1,1
7,8,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1
8,8,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1
9,8,8,8,7,1,1,1,1,1,1,1,1,1,1,1,1
10,9,9,8,8,2,1,1,1,1,1,1,1,1,1,1,1
11,9,10,8,8,3,1,1,1,1,1,1,1,1,1,1,1
12,9,10,9,8,4,1,1,1,1,1,1,1,1,1,1,1
13,10,10,10,9,4,1,1,1,1,1,1,1,1,1,1,1
14,10,11,10,9,4,1,1,1,1,1,1,1,1,1,1,1
15,10,11,10,9,5,1,1,1,1,1,1,1,1,1,1,1
16,11,11,11,10,5,1,1,1,1,1,1,1,1,1,1,1
17,12,12,11,11,5,1,1,1,1,1,1,1,1,1,1,1
18,12,13,11,12,6,2,1,1,1,1,1,1,1,1,1,1
19,12,14,12,12,6,3,1,1,1,1,1,1,1,1,1,1
20,13,14,13,12,6,3,1,1,1,1,1,1,1,1,1,1
21,14,14,13,13,7,3,1,1,1,1,1,1,1,1,1,1
22,14,15,13,14,7,2,1,1,1,1,1,1,1,1,1,1
23,14,15,14,14,7,2,1,1,1,1,1,1,1,1,1,1
24,15,15,15,14,8,2,2,1,1,1,1,1,1,1,1,1
25,15,16,16,15,8,1,3,1,1,1,1,1,1,1,1,1
26,15,16,17,16,8,1,3,1,1,1,1,1,1,1,1,1
27,16,16,17,17,8,1,3,1,1,1,1,1,1,1,1,1
28,16,17,17,18,9,1,4,1,1,1,1,1,1,1,1,1
29,16,18,18,19,10,1,4,1,1,1,1,1,1,1,1,1
30,17,19,18,19,11,1,4,1,1,1,1,1,1,1,1,1
31,18,20,18,19,12,1,5,1,1,1,1,1,1,1,1,1
32,19,21,19,20,13,2,6,1,1,1,1,1,1,1,1,1
33,20,22,20,20,14,3,6,1,1,1,1,1,1,1,1,1
34,21,23,20,20,15,3,6,1,1,1,1,1,1,1,1,1
35,22,22,20,21,16,3,7,1,1,1,1,1,1,1,1,1
36,23,21,21,21,17,3,7,1,1,1,1,1,1,1,1,1
37,24,20,22,21,18,4,7,1,1,1,1,1,1,1,1,1
38,25,19,23,22,17,5,7,1,1,1,1,1,1,1,1,1
39,24,18,24,23,16,5,8,1,1,1,1,1,1,1,1,1
40,23,17,25,24,15,5,9,2,1,1,1,1,1,1,1,1
41,22,16,24,23,14,6,10,3,1,1,1,1,1,1,1,1
42,21,15,23,22,13,7,11,4,2,1,1,1,1,1,1,1
43,20,14,22,21,12,7,12,4,2,1,1,1,1,1,1,1
44,19,13,21,20,11,7,13,4,2,1,1,1,1,1,1,1
45,18,12,20,19,10,8,14,3,1,1,1,1,1,1,1,1
46,17,11,19,18,9,8,15,3,1,1,1,1,1,1,1,1
47,16,10,18,17,8,8,16,3,1,2,1,1,1,1,1,1
48,15,9,17,16,7,9,17,2,2,3,1,1,1,1,1,1
49,14,8,16,15,6,9,18,1,2,4,1,1,1,1,1,1
50,13,7,15,14,5,9,19,1,2,4,1,1,1,1,1,1
51,12,6,14,13,4,10,20,1,1,4,1,1,1,1,1,1
52,11,5,13,12,3,10,21,1,1,4,1,1,1,1,1,1
53,10,4,12,11,2,10,22,1,1,5,1,1,1,1,1,1
54,9,3,11,10,1,11,23,1,1,6,1,1,1,1,1,1
55,8,2,10,9,1,12,24,2,1,6,1,1,1,1,1,1
56,7,1,9,8,1,13,25,2,1,6,1,1,1,1,1,1
57,6,1,8,7,2,14,24,2,1,7,1,1,1,1,1,1
58,5,1,7,6,3,15,23,3,1,7,1,1,1,1,1,1
59,4,2,6,5,4,16,22,3,1,7,1,1,1,1,1,1
60,3,3,5,4,5,17,21,3,2,8,2,1,1,1,1,1
61,2,4,4,3,6,18,20,4,2,8,2,1,1,1,1,1
62,1,5,3,2,7,19,19,4,2,8,2,1,1,1,1,1
63,1,6,2,1,7,20,18,4,3,9,3,1,1,1,1,1
64,1,7,1,1,7,21,17,5,3,9,3,1,1,1,1,1
65,2,8,1,1,8,22,16,5,3,9,3,1,1,1,1,1
66,3,9,1,2,8,23,15,5,2,9,2,1,1,1,1,1
67,4,10,2,3,8,24,14,6,1,10,1,1,1,1,1,1
68,5,11,3,4,9,25,13,7,1,11,1,1,1,1,1,1
69,6,12,4,5,9,24,12,7,1,12,1,1,1,1,1,1
70,7,12,5,6,9,23,11,7,1,12,1,1,1,1,1,1
71,8,12,6,7,10,22,10,6,1,12,1,1,1,1,1,1
72,9,13,6,8,10,21,9,5,1,13,1,1,1,1,1,1
73,10,14,6,9,10,20,8,4,1,14,1,1,1,1,1,1
74,10,15,7,10,11,19,7,3,1,15,1,1,1,1,1,1
75,10,16,8,11,11,18,6,2,1,16,1,1,1,1,1,1
76,11,16,9,11,11,17,5,1,1,17,1,1,1,1,1,1
77,12,16,10,11,12,16,4,1,1,18,1,1,1,1,1,1
78,13,16,11,11,12,15,3,1,1,19,1,1,1,1,1,1
79,13,16,12,12,12,14,2,2,1,20,1,1,1,1,1,1
80,13,17,12,13,13,13,1,3,1,21,1,1,1,1,1,1
81,14,17,12,14,14,12,1,4,1,22,1,1,1,1,1,1
82,15,17,13,15,14,11,1,5,1,23,1,1,1,1,1,1
83,15,18,14,15,14,10,2,5,1,24,1,1,1,1,1,1
84,15,18,14,15,15,9,3,5,1,25,1,1,1,1,1,1
85,16,18,14,16,16,8,4,6,1,24,1,1,1,1,1,1
86,16,19,15,16,17,7,5,7,1,23,1,1,1,1,1,1
87,16,19,15,16,18,6,6,7,2,22,1,1,1,1,1,1
88,17,19,15,17,19,5,7,7,3,21,1,1,1,1,1,1
89,17,20,16,17,20,4,7,8,4,20,1,1,1,1,1,1
90,17,21,17,17,21,3,7,8,5,19,2,1,1,1,1,1
91,18,22,17,18,22,2,8,8,6,18,2,1,1,1,1,1
92,19,23,17,19,23,1,8,9,6,17,2,2,1,1,1,1
93,19,24,18,19,24,1,8,10,6,16,2,3,1,1,1,1
94,19,25,19,19,25,1,9,11,6,15,1,4,1,1,1,1
95,20,24,20,20,24,2,9,12,6,14,1,4,1,1,1,1
96,20,23,20,20,23,3,9,12,6,13,1,4,1,1,1,1
97,20,22,20,20,22,4,10,12,7,12,1,4,1,1,1,1
98,21,21,21,21,21,5,10,13,7,11,1,5,1,1,1,1
99,22,20,22,22,20,6,10,13,7,10,2,5,1,1,1,1
100,22,19,23,23,19,7,11,13,7,9,2,5,1,1,1,1
101,22,18,24,24,18,8,11,14,7,8,2,5,1,1,1,1
102,23,17,25,23,17,9,11,15,8,7,3,5,1,1,1,1
103,24,16,24,22,16,10,11,16,8,6,4,6,1,1,1,1
104,25,15,23,21,15,10,12,17,8,5,4,7,1,1,1,1
105,24,14,22,20,14,10,13,16,9,4,4,7,2,1,1,1
106,23,13,21,19,13,11,14,15,8,3,3,7,3,1,1,1
107,22,12,20,18,12,11,15,14,7,2,2,6,3,1,1,1
108,21,11,19,17,11,11,16,13,6,1,1,5,3,1,1,1
109,20,10,18,16,10,12,17,12,5,1,1,4,2,1,1,1
110,19,9,17,15,9,12,18,11,4,1,1,3,1,1,1,1
111,18,8,16,14,8,12,19,10,3,2,1,2,1,1,1,1
112,17,7,15,13,7,13,20,9,2,3,1,1,1,1,1,1
113,16,6,14,12,6,14,21,8,1,4,1,1,1,1,1,1
114,15,5,13,11,5,15,22,7,1,5,1,1,1,1,1,1
115,14,4,12,10,4,15,23,6,1,6,2,1,1,1,1,1
116,13,3,11,9,3,15,24,5,2,7,3,1,1,1,1,1
117,12,2,10,8,2,16,25,4,3,8,3,1,1,1,1,1
118,11,1,9,7,1,16,24,3,4,9,3,1,1,1,1,1
119,10,1,8,6,1,16,23,2,5,10,4,1,1,1,1,1
120,9,1,7,5,1,17,22,1,6,11,4,1,1,1,1,1
121,8,2,6,4,2,18,21,1,6,12,4,1,1,1,1,1
122,7,3,5,3,3,19,20,1,6,12,5,1,1,1,1,1
123,6,4,4,2,4,20,19,2,7,12,5,1,1,1,1,1
124,5,5,3,1,5,21,18,3,7,13,5,1,1,1,1,1
125,4,6,2,1,6,22,17,4,7,13,4,2,2,1,1,1
126,3,7,1,1,7,23,16,4,7,13,4,2,2,1,1,1
127,2,8,1,2,8,24,15,4,8,13,4,2,2,1,1,1
128,1,9,1,3,9,25,14,5,9,13,4,1,1,1,1,1
129,1,10,2,4,9,24,13,5,9,14,3,1,1,2,1,1
130,1,11,3,5,9,23,12,5,9,14,2,1,1,2,1,1
131,2,12,4,6,10,22,11,5,10,14,1,2,1,2,1,1
132,3,13,5,7,10,21,10,6,10,15,1,2,1,1,1,1
133,4,14,6,8,10,20,9,6,10,15,1,2,1,1,1,1
134,5,14,6,8,11,19,8,6,11,15,2,3,2,1,1,1
