id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,1,0,88,123,88,35,123,0
passenger2,6,1,0,7,62,7,55,62,0
passenger3,8,1,0,13,62,13,49,62,0
passenger4,7,1,0,10,62,10,52,62,0
passenger5,10,1,1,16,61,15,45,60,1
passenger6,17,1,1,142,184,141,42,183,1
passenger7,11,1,1,19,61,18,42,60,1
passenger8,9,1,1,13,61,12,48,60,1
passenger9,14,1,2,80,123,78,43,121,0
passenger10,16,1,2,88,123,86,35,121,0
passenger11,2,1,2,3,6,1,3,4,2
passenger12,23,1,2,334,362,332,28,360,0
passenger13,23,1,2,334,362,332,28,360,0
passenger14,16,1,3,140,181,137,41,178,0
passenger15,15,1,4,83,123,79,40,119,0
passenger16,18,1,4,146,181,142,35,177,0
passenger17,12,1,4,25,62,21,37,58,0
passenger18,10,1,4,19,62,15,43,58,0
passenger19,10,1,4,19,62,15,43,58,0
passenger20,5,1,4,4,62,0,58,58,0
passenger21,22,1,4,275,304,271,29,300,0
passenger22,9,1,5,13,61,8,48,56,1
passenger23,8,1,6,10,61,4,51,55,1
passenger24,25,1,6,1121,1147,1115,26,1141,1
passenger25,14,1,6,76,120,70,44,114,1
passenger26,16,1,6,85,120,79,35,114,1
passenger27,7,1,7,7,61,0,54,54,1
passenger28,8,1,7,10,61,3,51,54,1
passenger29,19,1,8,150,184,142,34,176,1
passenger30,12,1,8,22,61,14,39,53,1
passenger31,5,1,9,15,52,6,37,43,2
passenger32,22,1,9,455,486,446,31,477,1
passenger33,11,1,9,19,61,10,42,52,1
passenger34,18,1,9,147,184,138,37,175,1
passenger35,10,1,9,16,61,7,45,52,1
passenger36,15,1,10,81,120,71,39,110,1
passenger37,20,1,10,209,244,199,35,234,1
passenger38,23,1,10,458,486,448,28,476,1
passenger39,6,1,10,18,52,8,34,42,2
passenger40,18,1,11,147,184,136,37,173,1
passenger41,23,1,12,334,362,322,28,350,0
passenger42,17,1,12,143,181,131,38,169,0
passenger43,5,1,12,15,52,3,37,40,2
passenger44,6,1,12,18,52,6,34,40,2
passenger45,6,1,12,18,52,6,34,40,2
passenger46,4,1,12,12,52,0,40,40,2
passenger47,20,1,13,209,244,196,35,231,1
passenger48,25,1,13,1121,1147,1108,26,1134,1
passenger49,14,1,14,80,123,66,43,109,0
passenger50,16,1,14,140,181,126,41,167,0
passenger51,20,1,14,206,239,192,33,225,0
passenger52,11,1,14,22,62,8,40,48,0
passenger53,13,1,14,76,123,62,47,109,0
passenger54,16,1,16,85,120,69,35,104,1
passenger55,9,1,16,16,62,0,46,46,0
passenger56,3,1,17,19,25,2,6,8,3
passenger57,15,1,17,81,120,64,39,103,1
passenger58,21,1,18,214,244,196,30,226,1
passenger59,3,1,18,19,25,1,6,7,3
passenger60,7,1,18,21,52,3,31,34,2
passenger61,8,1,19,24,52,5,28,33,2
passenger62,21,1,19,214,244,195,30,225,1
passenger63,14,1,19,76,120,57,44,101,1
passenger64,14,1,19,76,120,57,44,101,1
passenger65,17,1,21,80,112,59,32,91,2
passenger66,8,1,21,24,52,3,28,31,2
passenger67,19,1,22,149,181,127,32,159,0
passenger68,2,1,22,22,25,0,3,3,3
passenger69,4,1,23,28,81,5,53,58,4
passenger70,21,1,23,209,239,186,30,216,0
passenger71,17,1,23,143,181,120,38,158,0
passenger72,6,1,24,32,81,8,49,57,4
passenger73,12,1,24,69,112,45,43,88,2
passenger74,3,1,25,25,81,0,56,56,4
passenger75,18,1,25,146,181,121,35,156,0
passenger76,20,1,25,206,239,181,33,214,0
passenger77,8,1,25,25,52,0,27,27,2
passenger78,10,1,26,98,139,72,41,113,4
