tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,7,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1
11,7,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1
12,7,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1
13,8,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1
14,8,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1
15,8,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1
16,9,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1
17,9,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1
18,9,10,6,2,1,1,1,1,1,1,1,1,1,1,1,1
19,10,11,6,3,1,1,1,1,1,1,1,1,1,1,1,1
20,10,11,6,3,1,1,1,1,1,1,1,1,1,1,1,1
21,10,11,7,3,1,1,1,1,1,1,1,1,1,1,1,1
22,11,12,7,2,1,1,1,1,1,1,1,1,1,1,1,1
23,11,12,7,2,1,1,1,1,1,1,1,1,1,1,1,1
24,11,12,8,2,2,1,1,1,1,1,1,1,1,1,1,1
25,12,13,8,1,3,1,1,1,1,1,1,1,1,1,1,1
26,12,14,8,1,3,1,1,1,1,1,1,1,1,1,1,1
27,12,15,8,1,3,1,1,1,1,1,1,1,1,1,1,1
28,12,16,9,2,4,1,1,1,1,1,1,1,1,1,1,1
29,12,17,10,3,4,1,1,1,1,1,1,1,1,1,1,1
30,13,18,11,4,4,1,1,1,1,1,1,1,1,1,1,1
31,14,19,12,5,5,1,1,1,1,1,1,1,1,1,1,1
32,15,20,13,6,6,2,1,1,1,1,1,1,1,1,1,1
33,16,21,14,6,6,3,1,1,1,1,1,1,1,1,1,1
34,17,22,15,6,6,3,1,1,1,1,1,1,1,1,1,1
35,18,23,16,7,7,3,1,1,1,1,1,1,1,1,1,1
36,19,24,17,7,7,3,1,1,1,1,1,1,1,1,1,1
37,20,25,16,7,7,4,1,1,1,1,1,1,1,1,1,1
38,21,24,15,8,7,5,1,1,1,1,1,1,1,1,1,1
39,22,23,14,9,7,5,1,1,1,1,1,1,1,1,1,1
40,23,22,13,9,8,5,2,1,1,1,1,1,1,1,1,1
41,22,21,12,9,8,6,3,1,1,1,1,1,1,1,1,1
42,21,20,11,10,8,7,4,2,1,1,1,1,1,1,1,1
43,20,19,10,10,9,7,4,2,1,1,1,1,1,1,1,1
44,19,18,9,10,10,7,4,2,1,1,1,1,1,1,1,1
45,18,17,8,11,11,8,3,1,1,1,1,1,1,1,1,1
46,17,16,7,12,12,8,3,1,1,1,1,1,1,1,1,1
47,16,15,6,12,13,8,3,1,1,1,1,1,1,1,1,1
48,15,14,5,12,14,9,2,2,1,1,1,1,1,1,1,1
49,14,13,4,13,15,9,1,2,2,1,1,1,1,1,1,1
50,13,12,3,13,16,9,1,2,3,1,1,1,1,1,1,1
51,12,11,2,13,17,10,1,3,4,1,1,1,1,1,1,1
52,11,10,1,14,18,10,1,4,4,1,1,1,1,1,1,1
53,10,9,1,15,19,10,1,5,4,1,1,1,1,1,1,1
