id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,1,0,23,63,23,40,63,0
passenger2,6,1,0,5,48,5,43,48,1
passenger3,8,1,0,9,62,9,53,62,2
passenger4,7,1,0,6,62,6,56,62,3
passenger5,10,1,1,12,23,11,11,22,4
passenger6,17,1,1,25,61,24,36,60,5
passenger7,11,1,1,11,65,10,54,64,6
passenger8,9,1,1,9,63,8,54,62,7
passenger9,14,1,2,19,63,17,44,61,0
passenger10,16,1,2,25,48,23,23,46,1
passenger11,2,1,2,3,6,1,3,4,8
passenger12,23,1,2,36,62,34,26,60,2
passenger13,23,1,2,36,62,34,26,60,3
passenger14,16,1,3,23,63,20,40,60,0
passenger15,15,1,4,22,48,18,26,44,1
passenger16,18,1,4,23,62,19,39,58,2
passenger17,12,1,4,15,62,11,47,58,3
passenger18,10,1,4,13,63,9,50,59,0
passenger19,10,1,4,11,48,7,37,44,1
passenger20,5,1,4,4,62,0,58,58,2
passenger21,22,1,4,33,62,29,29,58,3
passenger22,9,1,5,10,63,5,53,58,0
passenger23,8,1,6,9,62,3,53,56,3
passenger24,25,1,6,1307,1333,1301,26,1327,0
passenger25,14,1,6,19,62,13,43,56,3
passenger26,16,1,6,23,63,17,40,57,0
passenger27,7,1,7,7,23,0,16,16,4
passenger28,8,1,7,7,63,0,56,56,0
passenger29,19,1,8,29,61,21,32,53,5
passenger30,12,1,8,14,65,6,51,57,6
passenger31,5,1,9,15,25,6,10,16,8
passenger32,22,1,9,34,63,25,29,54,7
passenger33,11,1,9,11,61,2,50,52,5
passenger34,18,1,9,28,65,19,37,56,6
passenger35,10,1,9,12,63,3,51,54,7
passenger36,15,1,10,19,61,9,42,51,5
passenger37,20,1,10,32,65,22,33,55,6
passenger38,23,1,10,37,61,27,24,51,5
passenger39,6,1,10,15,74,5,59,64,9
passenger40,18,1,11,28,65,17,37,54,6
passenger41,23,1,12,37,61,25,24,49,5
passenger42,17,1,12,25,65,13,40,53,6
passenger43,5,1,12,15,25,3,10,13,8
passenger44,6,1,12,18,25,6,7,13,8
passenger45,6,1,12,18,25,6,7,13,8
passenger46,4,1,12,12,25,0,13,13,8
passenger47,20,1,13,32,61,19,29,48,5
passenger48,25,1,13,39,65,26,26,52,6
passenger49,14,1,14,16,61,2,45,47,5
passenger50,16,1,14,22,65,8,43,51,6
passenger51,20,1,14,32,61,18,29,47,5
passenger52,11,1,14,14,48,0,34,34,1
passenger53,13,1,14,17,65,3,48,51,6
passenger54,16,1,16,22,61,6,39,45,5
passenger55,9,1,16,24,74,8,50,58,9
passenger56,3,1,17,19,25,2,6,8,10
passenger57,15,1,17,18,62,1,44,45,2
passenger58,21,1,18,30,62,12,32,44,2
passenger59,3,1,18,20,24,2,4,6,11
passenger60,7,1,18,18,74,0,56,56,9
passenger61,8,1,19,21,74,2,53,55,9
passenger62,21,1,19,31,63,12,32,44,7
passenger63,14,1,19,19,48,0,29,29,1
passenger64,14,1,19,19,48,0,29,29,1
passenger65,17,1,21,21,63,0,42,42,7
passenger66,8,1,21,21,74,0,53,53,9
passenger67,19,1,22,27,63,5,36,41,7
passenger68,2,1,22,22,25,0,3,3,10
passenger69,4,1,23,28,50,5,22,27,12
passenger70,21,1,23,30,62,7,32,39,2
passenger71,17,1,23,23,63,0,40,40,7
passenger72,6,1,24,29,57,5,28,33,13
passenger73,12,1,24,33,74,9,41,50,9
passenger74,3,1,25,25,50,0,25,25,12
passenger75,18,1,25,25,62,0,37,37,3
passenger76,20,1,25,27,62,2,35,37,2
passenger77,8,1,25,41,50,16,9,25,12
passenger78,10,1,26,27,74,1,47,48,9
passenger79,7,1,26,32,57,6,25,31,13
passenger80,11,1,26,30,74,4,44,48,9
passenger81,8,1,26,35,57,9,22,31,13
passenger82,7,1,26,33,50,7,17,24,12
passenger83,12,1,27,33,74,6,41,47,9
passenger84,22,1,27,33,62,6,29,35,2
passenger85,20,1,27,27,62,0,35,35,2
passenger86,9,1,28,40,57,12,17,29,13
passenger87,24,1,28,1443,1470,1415,27,1442,2
passenger88,7,1,28,32,57,4,25,29,13
passenger89,23,1,28,1388,1416,1360,28,1388,2
passenger90,9,1,29,40,57,11,17,28,13
passenger91,14,1,29,29,48,0,19,19,1
passenger92,6,1,29,29,57,0,28,28,13
passenger93,20,1,29,29,62,0,33,33,3
passenger94,9,1,30,40,57,10,17,27,13
passenger95,22,1,31,31,63,0,32,32,0
passenger96,3,1,31,33,38,2,5,7,4
passenger97,14,1,32,95,134,63,39,102,9
passenger98,5,1,32,36,44,4,8,12,8
passenger99,23,1,33,36,62,3,26,29,3
passenger100,12,1,33,33,48,0,15,15,1
passenger101,18,1,33,964,997,931,33,964,9
passenger102,23,1,33,34,63,1,29,30,0
passenger103,14,1,34,95,134,61,39,100,9
passenger104,3,1,34,34,38,0,4,4,4
passenger105,7,1,34,34,50,0,16,16,12
passenger106,7,1,35,35,50,0,15,15,12
passenger107,23,1,35,35,63,0,28,28,0
passenger108,23,1,35,99,127,64,28,92,0
passenger109,13,1,35,36,74,1,38,39,9
passenger110,23,1,35,99,127,64,28,92,0
passenger111,7,1,36,36,50,0,14,14,12
passenger112,18,1,36,964,997,928,33,961,9
passenger113,11,1,36,36,48,0,12,12,1
passenger114,7,1,37,37,50,0,13,13,12
passenger115,8,1,37,37,57,0,20,20,13
passenger116,12,1,37,78,92,41,14,55,13
passenger117,10,1,37,67,92,30,25,55,1
passenger118,7,1,38,38,50,0,12,12,12
passenger119,10,1,38,67,92,29,25,54,1
passenger120,5,1,38,38,44,0,6,6,8
passenger121,25,1,38,39,65,1,26,27,6
passenger122,11,1,38,70,92,32,22,54,1
passenger123,4,1,39,42,104,3,62,65,10
passenger124,15,1,39,98,134,59,36,95,9
passenger125,23,1,40,1388,1416,1348,28,1376,2
passenger126,10,1,40,74,92,34,18,52,13
passenger127,22,1,40,95,120,55,25,80,5
passenger128,16,1,40,42,63,2,21,23,7
passenger129,19,1,41,42,62,1,20,21,3
passenger130,9,1,41,41,57,0,16,16,13
passenger131,2,1,41,42,45,1,3,4,4
passenger132,10,1,42,74,92,32,18,50,13
passenger133,24,1,42,1344,1373,1302,29,1331,6
passenger134,20,1,43,94,125,51,31,82,2
passenger135,20,1,43,1223,1254,1180,31,1211,2
passenger136,23,1,43,101,127,58,26,84,6
passenger137,10,1,43,74,92,31,18,49,13
passenger138,9,1,43,71,92,28,21,49,13
passenger139,24,1,43,1292,1319,1249,27,1276,9
passenger140,15,1,43,45,63,2,18,20,7
passenger141,9,1,44,55,104,11,49,60,10
passenger142,8,1,44,52,104,8,52,60,10
passenger143,23,1,44,1237,1265,1193,28,1221,9
passenger144,3,1,45,52,92,7,40,47,1
passenger145,3,1,45,52,92,7,40,47,1
passenger146,19,1,45,89,127,44,38,82,0
passenger147,2,1,46,47,50,1,3,4,11
passenger148,6,1,46,46,104,0,58,58,10
passenger149,25,1,47,1345,1371,1298,26,1324,9
passenger150,12,1,47,80,107,33,27,60,7
passenger151,19,1,47,91,127,44,36,80,6
passenger152,13,1,48,49,63,1,14,15,7
passenger153,4,1,48,51,56,3,5,8,4
passenger154,6,1,48,48,104,0,56,56,10
passenger155,20,1,48,1148,1179,1100,31,1131,10
passenger156,4,1,50,51,56,1,5,6,4
passenger157,16,1,51,591,626,540,35,575,9
passenger158,10,1,51,76,120,25,44,69,5
passenger159,10,1,52,76,120,24,44,68,5
passenger160,24,1,52,1576,1603,1524,27,1551,10
passenger161,16,1,52,591,626,539,35,574,9
passenger162,16,1,52,591,626,539,35,574,9
passenger163,10,1,53,75,98,22,23,45,3
passenger164,11,1,53,77,107,24,30,54,7
passenger165,18,1,54,964,997,910,33,943,9
passenger166,2,1,54,55,58,1,3,4,8
passenger167,7,1,54,71,120,17,49,66,5
passenger168,16,1,54,591,626,537,35,572,9
passenger169,16,1,55,655,690,600,35,635,9
passenger170,4,1,55,55,92,0,37,37,1
passenger171,20,1,55,1126,1157,1071,31,1102,9
passenger172,15,1,56,98,134,42,36,78,9
passenger173,7,1,56,70,98,14,28,42,3
passenger174,20,1,57,1148,1179,1091,31,1122,10
passenger175,25,1,57,1683,1709,1626,26,1652,10
passenger176,12,1,57,60,104,3,44,47,10
passenger177,8,1,58,76,127,18,51,69,6
passenger178,9,1,58,64,92,6,28,34,1
passenger179,16,1,58,655,690,597,35,632,9
passenger180,3,1,58,65,120,7,55,62,5
passenger181,13,1,59,64,104,5,40,45,10
passenger182,2,1,59,60,63,1,3,4,4
passenger183,2,1,59,60,63,1,3,4,11
passenger184,12,1,60,60,104,0,44,44,10
passenger185,19,1,60,1093,1125,1033,32,1065,10
passenger186,23,1,60,1469,1497,1409,28,1437,10
passenger187,4,1,60,68,107,8,39,47,7
passenger188,7,1,60,60,92,0,32,32,1
passenger189,12,1,61,61,104,0,43,43,10
passenger190,15,1,61,134,170,73,36,109,10
passenger191,25,1,61,1683,1709,1622,26,1648,10
passenger192,18,1,61,986,1019,925,33,958,10
passenger193,14,1,62,67,104,5,37,42,10
passenger194,3,1,62,69,127,7,58,65,6
passenger195,3,1,62,69,127,7,58,65,6
passenger196,5,1,63,63,92,0,29,29,13
passenger197,17,1,64,681,715,617,34,651,10
passenger198,9,1,64,64,92,0,28,28,1
passenger199,7,1,65,67,92,2,25,27,13
passenger200,18,1,65,986,1019,921,33,954,10
passenger201,21,1,66,1255,1285,1189,30,1219,10
passenger202,12,1,67,73,92,6,19,25,1
passenger203,23,1,68,1469,1497,1401,28,1429,10
passenger204,19,1,69,1093,1125,1024,32,1056,10
passenger205,19,1,70,1093,1125,1023,32,1055,10
passenger206,22,1,70,1362,1391,1292,29,1321,10
passenger207,6,1,70,70,127,0,57,57,0
passenger208,20,1,71,1148,1179,1077,31,1108,10
passenger209,24,1,71,1576,1603,1505,27,1532,10
passenger210,25,1,72,1683,1709,1611,26,1637,10
passenger211,15,1,73,241,277,168,36,204,1
passenger212,20,1,73,1148,1179,1075,31,1106,10
passenger213,23,1,73,1469,1497,1396,28,1424,10
passenger214,22,1,74,1362,1391,1288,29,1317,10
passenger215,23,1,74,1469,1497,1395,28,1423,10
passenger216,21,1,75,1255,1285,1180,30,1210,10
passenger217,11,1,76,78,98,2,20,22,3
passenger218,19,1,76,91,125,15,34,49,2
passenger219,11,1,76,78,98,2,20,22,3
passenger220,21,1,76,1255,1285,1179,30,1209,10
passenger221,21,1,76,1255,1285,1179,30,1209,10
passenger222,24,1,76,1576,1603,1500,27,1527,10
passenger223,16,1,77,81,125,4,44,48,2
passenger224,13,1,77,83,107,6,24,30,7
passenger225,5,1,77,81,87,4,6,10,4
passenger226,17,1,78,85,125,7,40,47,2
passenger227,15,1,78,78,125,0,47,47,2
passenger228,14,1,78,80,127,2,47,49,0
passenger229,18,1,78,88,125,10,37,47,2
passenger230,22,1,78,1333,1362,1255,29,1284,2
passenger231,5,1,79,80,134,1,54,55,9
passenger232,12,1,79,79,92,0,13,13,13
passenger233,19,1,80,91,125,11,34,45,2
passenger234,21,1,80,1278,1308,1198,30,1228,2
passenger235,20,1,81,1148,1179,1067,31,1098,10
passenger236,21,1,81,1255,1285,1174,30,1204,10
passenger237,22,1,81,1362,1391,1281,29,1310,10
passenger238,25,1,82,1550,1576,1468,26,1494,2
passenger239,16,1,82,82,125,0,43,43,2
passenger240,7,1,82,84,98,2,14,16,3
passenger241,15,1,82,83,120,1,37,38,5
passenger242,19,1,82,91,125,9,34,43,2
passenger243,4,1,82,85,94,3,9,12,8
passenger244,20,1,83,1200,1231,1117,31,1148,10
passenger245,15,1,83,83,127,0,44,44,0
passenger246,24,1,83,1495,1522,1412,27,1439,2
passenger247,7,1,83,84,98,1,14,15,3
passenger248,23,1,83,1440,1470,1357,30,1387,2
passenger249,12,1,84,89,134,5,45,50,9
passenger250,15,1,84,84,120,0,36,36,5
passenger251,17,1,84,85,125,1,40,41,2
passenger252,15,1,85,85,127,0,42,42,6
passenger253,23,1,85,1440,1470,1355,30,1385,2
passenger254,6,1,86,89,98,3,9,12,3
passenger255,19,1,86,1093,1125,1007,32,1039,10
passenger256,25,1,86,1550,1576,1464,26,1490,2
passenger257,7,1,86,86,98,0,12,12,3
passenger258,8,1,86,90,107,4,17,21,7
passenger259,13,1,87,92,134,5,42,47,9
passenger260,19,1,87,89,127,2,38,40,0
passenger261,25,1,87,1307,1333,1220,26,1246,0
passenger262,21,1,87,93,127,6,34,40,0
passenger263,21,1,88,93,127,5,34,39,0
passenger264,12,1,88,89,134,1,45,46,9
passenger265,17,1,88,681,715,593,34,627,10
passenger266,7,1,89,95,107,6,12,18,7
passenger267,13,1,89,92,134,3,42,45,9
passenger268,6,1,89,89,98,0,9,9,3
passenger269,2,1,89,89,94,0,5,5,8
passenger270,22,1,89,96,127,7,31,38,0
passenger271,21,1,90,92,120,2,28,30,5
