tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
3,4,4,4,4,3,3,3,3,2,1,1,1,1,1,1,1
4,5,5,5,5,4,4,4,4,2,1,1,1,1,1,1,1
5,6,6,5,6,5,5,5,5,2,1,1,1,1,1,1,1
6,7,6,5,7,6,6,6,6,1,1,1,1,1,1,1,1
7,8,6,6,7,7,7,7,7,1,1,1,1,1,1,1,1
8,8,7,7,7,7,8,8,8,1,1,1,1,1,1,1,1
9,8,8,8,8,7,9,9,9,1,1,1,1,1,1,1,1
10,9,9,8,8,8,10,10,9,2,1,1,1,1,1,1,1
11,9,10,8,8,9,11,11,9,3,2,1,1,1,1,1,1
12,9,10,9,9,10,11,11,10,4,3,1,1,1,1,1,1
13,10,10,10,10,10,11,11,10,4,4,1,1,1,1,1,1
14,10,11,11,11,10,12,12,10,4,5,1,1,1,1,1,1
15,10,11,12,12,9,13,12,11,5,6,1,1,1,1,1,1
16,11,11,13,12,8,14,12,12,5,6,1,1,1,1,1,1
17,12,12,14,12,7,14,13,13,5,6,1,1,1,1,1,1
18,13,13,15,13,6,14,13,14,6,7,2,1,1,1,1,1
19,14,14,15,14,5,15,13,15,6,7,3,2,1,1,1,1
20,14,14,15,14,4,15,14,16,6,7,3,3,1,1,1,1
21,14,14,16,14,3,15,15,17,5,8,3,3,1,1,1,1
22,15,15,17,15,2,16,16,17,4,8,2,3,1,1,1,1
23,16,15,18,16,1,16,16,17,3,8,2,2,1,1,1,1
24,16,15,18,17,1,16,16,17,2,9,2,1,2,1,1,1
25,16,16,18,18,1,17,17,17,1,9,1,1,3,2,1,1
26,17,16,19,18,1,17,17,18,1,9,1,1,3,3,1,1
27,18,16,20,18,1,17,17,19,1,10,1,1,3,4,1,1
28,19,15,20,19,1,18,18,19,1,10,1,1,4,5,1,1
29,20,14,20,20,1,19,18,19,1,10,1,1,4,6,1,1
30,21,14,21,20,1,19,18,20,1,11,1,1,4,6,1,1
31,22,14,21,20,1,19,19,21,1,11,1,1,5,6,1,1
32,22,13,21,21,2,20,20,21,1,11,1,1,6,7,1,1
33,22,12,22,22,3,20,20,21,2,12,1,1,7,7,1,1
34,23,12,22,22,3,20,20,22,3,12,1,1,7,7,1,1
35,23,12,22,22,3,21,21,22,4,12,1,1,7,8,1,1
36,23,11,23,23,3,22,22,22,5,13,1,1,7,8,1,1
37,23,11,23,23,2,23,23,21,5,13,1,1,7,8,1,1
38,24,11,23,23,1,23,24,20,5,13,1,1,7,8,1,1
39,25,10,24,22,1,23,25,19,5,14,1,1,7,8,1,1
40,24,9,23,21,1,22,25,18,5,15,2,1,7,9,1,1
41,23,8,22,20,1,21,25,17,4,16,3,1,8,9,1,1
42,22,7,21,19,2,20,24,16,3,17,4,1,8,9,1,1
43,21,6,20,19,2,19,23,16,2,18,4,1,8,9,1,1
44,20,5,19,19,2,18,22,16,1,19,4,1,7,10,1,1
45,19,4,18,18,1,17,21,15,1,20,5,1,6,11,1,1
46,18,3,17,17,1,16,20,15,1,21,6,1,5,12,1,1
47,17,2,16,16,1,15,19,15,1,22,6,2,4,11,1,1
48,16,1,15,15,1,14,18,14,1,23,6,2,3,10,1,1
49,15,1,14,14,2,13,17,13,1,24,6,2,2,9,1,1
50,14,1,13,13,3,12,16,13,1,25,6,1,1,8,1,1
51,13,2,12,12,4,11,15,13,1,24,7,1,1,7,1,1
52,12,3,11,11,4,10,14,12,1,23,8,1,1,6,1,1
53,11,3,10,10,4,9,13,11,1,22,8,1,1,5,1,1
54,10,3,9,9,3,8,12,10,1,21,8,1,1,4,1,1
55,9,4,8,8,2,7,11,9,2,20,9,1,1,3,1,1
56,8,4,7,7,1,6,10,8,2,19,9,1,1,2,1,1
57,7,4,6,6,1,5,9,7,2,18,9,1,1,1,1,1
58,6,5,5,5,1,4,8,6,1,17,10,1,1,1,1,1
59,5,6,4,4,1,3,7,5,1,16,11,1,1,1,1,1
60,4,7,3,3,2,2,6,4,1,15,12,2,1,2,1,1
61,3,7,2,2,2,1,5,3,1,14,12,2,1,3,1,1
62,2,7,1,1,2,1,4,2,1,13,12,2,1,4,1,1
63,1,8,1,1,1,1,3,1,1,12,12,1,1,5,1,1
64,1,9,1,1,1,2,2,1,1,11,13,1,1,5,1,1
65,1,9,2,2,1,3,1,1,1,10,13,1,1,5,1,1
66,2,9,3,3,1,3,1,2,1,9,13,1,1,6,1,1
67,3,10,4,4,1,3,1,3,1,8,14,1,1,7,1,1
68,4,10,5,5,1,4,2,4,1,7,14,1,1,7,1,1
69,5,10,6,6,1,5,3,4,1,6,14,1,1,7,1,1
70,6,11,7,7,1,6,3,4,1,5,15,1,1,8,1,1
71,6,11,8,7,1,7,3,5,1,4,16,1,1,9,1,1
72,6,11,9,7,1,7,4,6,1,3,17,1,1,9,1,1
73,7,12,10,8,1,7,5,7,1,2,18,1,1,9,1,1
74,8,12,11,9,1,8,6,8,1,1,19,1,1,10,1,1
75,9,12,12,10,1,9,7,9,1,1,20,1,1,10,1,1
76,10,13,13,10,1,10,8,10,1,1,21,1,1,10,1,1
77,11,14,14,10,1,10,8,11,1,2,22,1,1,11,1,1
78,12,15,15,11,2,10,8,11,1,3,23,1,1,12,1,1
79,13,14,15,11,3,11,9,11,1,4,24,1,1,12,1,1
80,14,13,15,11,4,12,10,12,1,5,25,1,1,12,1,1
81,14,12,16,10,5,13,11,12,1,5,24,1,1,12,1,1
82,14,11,16,9,5,14,12,12,1,5,23,1,1,11,1,1
83,15,10,16,8,5,15,13,13,2,6,22,1,1,10,1,1
84,15,9,16,7,4,15,14,13,3,7,21,1,1,9,1,1
85,15,8,17,7,3,15,15,13,4,8,20,1,1,8,1,1
86,16,7,17,7,2,15,15,12,4,9,19,1,1,7,1,1
87,17,6,17,7,1,16,15,11,4,10,18,1,1,6,1,1
88,18,5,18,7,1,17,16,10,3,11,17,1,1,5,1,1
89,19,4,18,6,1,18,17,9,2,12,16,1,1,4,1,1
90,19,3,18,6,1,19,18,8,2,12,15,1,1,3,1,1
91,19,2,19,6,1,20,19,8,2,12,14,1,1,2,1,1
92,20,1,19,5,1,21,19,8,2,13,13,1,1,1,1,1
93,21,1,19,4,1,21,19,8,2,13,12,1,1,1,1,1
94,21,1,20,4,1,21,19,8,1,13,11,1,1,1,1,1
95,21,2,20,4,1,22,20,7,1,14,10,1,1,1,1,1
96,22,3,20,3,2,22,20,7,1,14,9,1,1,1,1,1
97,22,4,21,2,3,22,20,7,1,14,8,1,1,1,1,1
98,22,5,22,1,4,23,20,6,1,15,7,1,1,1,1,1
99,23,6,23,1,5,22,21,6,2,15,6,1,1,1,1,1
100,23,7,24,1,5,21,22,6,2,15,5,1,1,1,1,1
101,23,7,25,2,5,20,23,5,2,16,4,1,1,1,1,1
102,24,7,24,3,6,19,23,5,1,17,3,1,1,1,1,1
103,25,7,23,4,7,18,23,5,1,18,2,1,1,1,1,1
104,24,7,22,4,8,17,24,4,1,19,1,1,1,1,1,1
105,23,8,21,4,9,16,23,3,1,20,1,1,1,1,1,1
106,22,8,20,3,10,15,22,2,1,21,1,1,1,1,1,1
107,21,8,19,2,11,14,21,1,1,22,2,1,1,1,1,1
108,20,9,18,1,12,13,20,1,2,23,3,2,1,1,1,1
109,19,9,17,1,12,12,19,1,3,24,4,3,1,1,1,1
110,18,9,16,1,12,11,18,2,4,25,4,4,1,1,1,1
111,17,10,15,1,11,10,17,3,5,24,4,5,1,1,1,1
112,16,10,14,1,10,9,16,3,6,23,5,6,1,1,1,1
113,15,10,13,1,10,8,15,3,7,22,5,7,1,1,1,1
114,14,11,12,1,10,7,14,2,7,21,5,7,1,1,1,1
115,13,12,11,2,9,6,13,1,7,20,6,7,1,1,1,1
116,12,13,10,3,8,5,12,1,6,19,7,6,1,1,1,1
117,11,14,9,3,7,4,11,1,5,18,8,5,1,1,1,1
118,10,15,8,3,6,3,10,1,4,17,9,4,1,1,1,1
119,9,16,7,2,5,2,9,1,3,16,9,3,1,1,1,1
120,8,17,6,1,4,1,8,1,2,15,9,2,1,1,1,1
121,7,18,5,1,3,1,7,1,1,14,10,1,1,1,1,1
122,6,19,4,1,2,1,6,1,1,13,10,1,1,1,1,1
123,5,20,3,1,1,2,5,1,1,12,10,1,1,1,1,1
124,4,21,2,1,1,3,4,1,1,11,11,1,1,1,1,1
125,3,22,1,1,1,4,3,1,1,10,12,1,1,1,1,1
126,2,23,1,2,1,4,2,1,1,9,12,1,1,1,1,1
127,1,24,1,2,1,4,1,1,1,8,12,1,1,1,1,1
128,1,25,2,2,1,4,1,1,1,7,13,1,1,1,1,1
129,1,24,2,1,2,5,1,1,1,6,13,1,1,1,1,1
130,2,23,2,1,2,5,2,2,1,5,13,1,1,1,1,1
131,3,22,3,1,2,5,3,2,1,4,14,1,1,1,1,1
132,4,21,4,1,1,6,3,2,1,3,14,1,1,1,1,1
133,5,20,5,1,1,6,3,1,1,2,14,1,1,1,1,1
134,5,19,5,1,1,6,3,1,1,1,15,1,1,1,1,1
