id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,1,0,21,44,21,23,44,0
passenger2,6,1,0,5,48,5,43,48,1
passenger3,8,1,0,7,22,7,15,22,2
passenger4,7,1,0,8,38,8,30,38,3
passenger5,10,1,1,10,59,9,49,58,4
passenger6,17,1,1,21,63,20,42,62,5
passenger7,11,1,1,13,29,12,16,28,6
passenger8,9,1,1,9,63,8,54,62,7
passenger9,14,1,2,15,60,13,45,58,8
passenger10,16,1,2,17,59,15,42,57,9
passenger11,2,1,2,3,6,1,3,4,10
passenger12,23,1,2,26,58,24,32,56,11
passenger13,23,1,2,26,60,24,34,58,12
passenger14,16,1,3,20,57,17,37,54,13
passenger15,15,1,4,18,52,14,34,48,14
passenger16,18,1,4,21,68,17,47,64,15
passenger17,12,1,4,13,44,9,31,40,0
passenger18,10,1,4,11,48,7,37,44,1
passenger19,10,1,4,11,22,7,11,18,2
passenger20,5,1,4,4,38,0,34,34,3
passenger21,22,1,4,28,59,24,31,55,4
passenger22,9,1,5,9,63,4,54,58,5
passenger23,8,1,6,8,29,2,21,23,6
passenger24,25,1,6,29,63,23,34,57,7
passenger25,14,1,6,15,60,9,45,54,8
passenger26,16,1,6,17,59,11,42,53,9
passenger27,7,1,7,16,26,9,10,19,10
passenger28,8,1,7,9,58,2,49,51,11
passenger29,19,1,8,20,60,12,40,52,12
passenger30,12,1,8,14,57,6,43,49,13
passenger31,5,1,9,46,52,37,6,43,14
passenger32,22,1,9,27,68,18,41,59,15
passenger33,11,1,9,10,44,1,34,35,0
passenger34,18,1,9,23,48,14,25,39,1
passenger35,10,1,9,11,22,2,11,13,2
passenger36,15,1,10,20,38,10,18,28,3
passenger37,20,1,10,24,59,14,35,49,4
passenger38,23,1,10,31,63,21,32,53,5
passenger39,6,1,10,22,29,12,7,19,6
passenger40,18,1,11,20,63,9,43,52,7
passenger41,23,1,12,28,60,16,32,48,8
passenger42,17,1,12,20,59,8,39,47,9
passenger43,5,1,12,12,26,0,14,14,10
passenger44,6,1,12,49,58,37,9,46,11
passenger45,6,1,12,53,60,41,7,48,12
passenger46,4,1,12,52,57,40,5,45,13
passenger47,20,1,13,25,52,12,27,39,14
passenger48,25,1,13,32,68,19,36,55,15
passenger49,14,1,14,17,44,3,27,30,0
passenger50,16,1,14,19,48,5,29,34,1
passenger51,20,1,14,47,86,33,39,72,2
passenger52,11,1,14,14,38,0,24,24,3
passenger53,13,1,14,15,59,1,44,45,4
passenger54,16,1,16,18,63,2,45,47,5
passenger55,9,1,16,17,29,1,12,13,6
passenger56,3,1,17,59,63,42,4,46,7
passenger57,15,1,17,18,60,1,42,43,8
passenger58,21,1,18,26,59,8,33,41,9
passenger59,3,1,18,22,26,4,4,8,10
passenger60,7,1,18,46,58,28,12,40,11
passenger61,8,1,19,49,60,30,11,41,12
passenger62,21,1,19,27,57,8,30,38,13
passenger63,14,1,19,33,52,14,19,33,14
passenger64,14,1,19,49,68,30,19,49,15
passenger65,17,1,21,24,44,3,20,23,0
passenger66,8,1,21,35,48,14,13,27,1
passenger67,19,1,22,44,86,22,42,64,2
passenger68,2,1,22,35,38,13,3,16,3
passenger69,4,1,23,54,59,31,5,36,4
passenger70,21,1,23,27,63,4,36,40,5
passenger71,17,1,23,51,93,28,42,70,6
passenger72,6,1,24,52,63,28,11,39,7
passenger73,12,1,24,41,60,17,19,36,8
passenger74,3,1,25,55,59,30,4,34,9
passenger75,18,1,25,47,90,22,43,65,10
passenger76,20,1,25,31,58,6,27,33,11
passenger77,8,1,25,49,60,24,11,35,12
passenger78,10,1,26,40,57,14,17,31,13
passenger79,7,1,26,42,52,16,10,26,14
passenger80,11,1,26,54,68,28,14,42,15
passenger81,8,1,26,35,44,9,9,18,0
passenger82,7,1,26,38,48,12,10,22,1
passenger83,12,1,27,35,86,8,51,59,2
passenger84,22,1,27,65,96,38,31,69,3
passenger85,20,1,27,32,59,5,27,32,4
passenger86,9,1,28,49,63,21,14,35,5
passenger87,24,1,28,64,93,36,29,65,6
passenger88,7,1,28,49,63,21,14,35,7
passenger89,23,1,28,28,60,0,32,32,8
passenger90,9,1,29,42,59,13,17,30,9
passenger91,14,1,29,41,90,12,49,61,10
passenger92,6,1,29,49,58,20,9,29,11
passenger93,20,1,29,31,60,2,29,31,12
passenger94,9,1,30,43,57,13,14,27,13
passenger95,22,1,31,77,117,46,40,86,14
passenger96,3,1,31,64,68,33,4,37,15
passenger97,14,1,32,63,110,31,47,78,0
passenger98,5,1,32,42,48,10,6,16,1
passenger99,23,1,33,52,86,19,34,53,2
passenger100,12,1,33,53,96,20,43,63,3
passenger101,18,1,33,36,59,3,23,26,4
passenger102,23,1,33,33,63,0,30,30,5
passenger103,14,1,34,46,93,12,47,59,6
passenger104,3,1,34,59,63,25,4,29,7
passenger105,7,1,34,50,60,16,10,26,8
passenger106,7,1,35,47,59,12,12,24,9
passenger107,23,1,35,56,90,21,34,55,10
passenger108,23,1,35,90,118,55,28,83,11
passenger109,13,1,35,40,60,5,20,25,12
passenger110,23,1,35,89,127,54,38,92,13
passenger111,7,1,36,42,52,6,10,16,14
passenger112,18,1,36,41,68,5,27,32,15
passenger113,11,1,36,58,110,22,52,74,0
passenger114,7,1,37,38,48,1,10,11,1
passenger115,8,1,37,73,86,36,13,49,2
passenger116,12,1,37,53,96,16,43,59,3
passenger117,10,1,37,46,59,9,13,22,4
passenger118,7,1,38,53,63,15,10,25,5
passenger119,10,1,38,40,93,2,53,55,6
passenger120,5,1,38,55,63,17,8,25,7
passenger121,25,1,38,92,128,54,36,90,8
passenger122,11,1,38,38,59,0,21,21,9
passenger123,4,1,39,85,90,46,5,51,10
passenger124,15,1,39,76,118,37,42,79,11
passenger125,23,1,40,98,124,58,26,84,12
passenger126,10,1,40,40,57,0,17,17,13
passenger127,22,1,40,77,117,37,40,77,14
passenger128,16,1,40,45,68,5,23,28,15
passenger129,19,1,41,72,110,31,38,69,0
passenger130,9,1,41,58,116,17,58,75,1
passenger131,2,1,41,83,86,42,3,45,2
passenger132,10,1,42,49,96,7,47,54,3
passenger133,24,1,42,92,125,50,33,83,4
passenger134,20,1,43,88,129,45,41,86,5
passenger135,20,1,43,58,93,15,35,50,6
passenger136,23,1,43,97,123,54,26,80,7
passenger137,10,1,43,45,60,2,15,17,8
passenger138,9,1,43,43,59,0,16,16,9
passenger139,24,1,43,59,90,16,31,47,10
passenger140,15,1,43,76,118,33,42,75,11
passenger141,9,1,44,46,60,2,14,16,12
passenger142,8,1,44,46,57,2,11,13,13
passenger143,23,1,44,80,117,36,37,73,14
passenger144,3,1,45,64,68,19,4,23,15
passenger145,3,1,45,48,110,3,62,65,0
passenger146,19,1,45,72,116,27,44,71,1
passenger147,2,1,46,83,86,37,3,40,2
passenger148,6,1,46,85,96,39,11,50,3
passenger149,25,1,47,95,125,48,30,78,4
passenger150,12,1,47,78,129,31,51,82,5
passenger151,19,1,47,55,93,8,38,46,6
passenger152,13,1,48,79,123,31,44,75,7
passenger153,4,1,48,55,60,7,5,12,8
passenger154,6,1,48,50,59,2,9,11,9
passenger155,20,1,48,51,90,3,39,42,10
passenger156,4,1,50,53,58,3,5,8,11
passenger157,16,1,51,81,124,30,43,73,12
passenger158,10,1,51,68,127,17,59,76,13
passenger159,10,1,52,63,117,11,54,65,14
passenger160,24,1,52,101,136,49,35,84,15
passenger161,16,1,52,67,110,15,43,58,0
passenger162,16,1,52,67,116,15,49,64,1
passenger163,10,1,53,69,86,16,17,33,2
passenger164,11,1,53,78,96,25,18,43,3
passenger165,18,1,54,82,125,28,43,71,4
passenger166,2,1,54,60,63,6,3,9,5
passenger167,7,1,54,83,93,29,10,39,6
passenger168,16,1,54,84,123,30,39,69,7
passenger169,16,1,55,77,128,22,51,73,8
passenger170,4,1,55,64,125,9,61,70,9
passenger171,20,1,55,65,90,10,25,35,10
passenger172,15,1,56,76,118,20,42,62,11
passenger173,7,1,56,68,124,12,56,68,12
passenger174,20,1,57,82,127,25,45,70,13
passenger175,25,1,57,84,117,27,33,60,14
passenger176,12,1,57,81,136,24,55,79,15
passenger177,8,1,58,99,110,41,11,52,0
passenger178,9,1,58,58,116,0,58,58,1
passenger179,16,1,58,61,86,3,25,28,2
passenger180,3,1,58,92,96,34,4,38,3
passenger181,13,1,59,73,125,14,52,66,4
passenger182,2,1,59,60,63,1,3,4,5
passenger183,2,1,59,96,156,37,60,97,6
passenger184,12,1,60,76,123,16,47,63,7
passenger185,19,1,60,82,128,22,46,68,8
passenger186,23,1,60,91,125,31,34,65,9
passenger187,4,1,60,85,90,25,5,30,10
passenger188,7,1,60,66,118,6,52,58,11
passenger189,12,1,61,75,124,14,49,63,12
passenger190,15,1,61,75,127,14,52,66,13
passenger191,25,1,61,84,117,23,33,56,14
passenger192,18,1,61,91,136,30,45,75,15
passenger193,14,1,62,63,110,1,47,48,0
passenger194,3,1,62,120,186,58,66,124,1
passenger195,3,1,62,80,86,18,6,24,2
passenger196,5,1,63,88,96,25,8,33,3
passenger197,17,1,64,79,125,15,46,61,4
passenger198,9,1,64,73,129,9,56,65,5
passenger199,7,1,65,83,93,18,10,28,6
passenger200,18,1,65,88,123,23,35,58,7
passenger201,21,1,66,86,128,20,42,62,8
passenger202,12,1,67,74,125,7,51,58,9
passenger203,23,1,68,126,154,58,28,86,10
passenger204,19,1,69,82,118,13,36,49,11
passenger205,19,1,70,86,124,16,38,54,12
passenger206,22,1,70,86,127,16,41,57,13
passenger207,6,1,70,124,175,54,51,105,14
passenger208,20,1,71,95,136,24,41,65,15
passenger209,24,1,71,79,110,8,31,39,0
passenger210,25,1,72,80,116,8,36,44,1
passenger211,15,1,73,109,127,36,18,54,2
passenger212,20,1,73,125,158,52,33,85,3
passenger213,23,1,73,89,125,16,36,52,4
passenger214,22,1,74,94,129,20,35,55,5
passenger215,23,1,74,128,156,54,28,82,6
passenger216,21,1,75,93,123,18,30,48,7
passenger217,11,1,76,116,128,40,12,52,8
passenger218,19,1,76,83,125,7,42,49,9
passenger219,11,1,76,76,90,0,14,14,10
passenger220,21,1,76,86,118,10,32,42,11
passenger221,21,1,76,90,124,14,34,48,12
passenger222,24,1,76,92,127,16,35,51,13
passenger223,16,1,77,100,117,23,17,40,14
passenger224,13,1,77,84,136,7,52,59,15
passenger225,5,1,77,118,178,41,60,101,0
passenger226,17,1,78,92,116,14,24,38,1
passenger227,15,1,78,109,127,31,18,49,2
passenger228,14,1,78,113,158,35,45,80,3
passenger229,18,1,78,82,125,4,43,47,4
passenger230,22,1,78,94,129,16,35,51,5
passenger231,5,1,79,87,93,8,6,14,6
passenger232,12,1,79,110,123,31,13,44,7
passenger233,19,1,80,82,128,2,46,48,8
passenger234,21,1,80,87,125,7,38,45,9
