tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
3,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1
4,5,5,5,5,4,4,4,4,3,3,2,3,3,2,1,1
5,6,6,6,5,5,5,5,5,4,4,2,4,4,3,2,2
6,7,6,7,5,6,6,6,6,5,5,1,5,5,4,3,3
7,8,6,8,6,7,7,7,7,6,6,1,6,6,5,4,4
8,9,7,8,7,8,8,8,8,7,7,1,7,7,6,5,5
9,10,8,8,7,9,9,8,9,8,8,2,8,8,7,6,6
10,11,9,9,7,10,9,8,9,9,9,3,8,9,8,7,7
11,11,10,10,8,10,9,9,9,10,10,4,8,10,9,8,8
12,11,10,10,9,10,10,10,10,11,11,5,9,11,10,9,9
13,12,10,10,10,11,11,11,11,12,12,5,10,12,11,10,10
14,12,11,9,11,12,12,11,12,13,13,5,11,13,12,11,11
15,12,12,8,11,13,13,11,13,14,14,6,12,14,12,12,12
16,13,13,7,11,13,14,10,14,14,15,7,13,15,12,13,13
17,14,14,6,12,13,15,9,15,14,16,7,14,16,13,14,14
18,14,15,5,13,14,16,9,16,15,16,7,15,17,14,15,15
19,14,16,4,14,15,16,9,17,15,16,6,16,18,15,15,16
20,15,16,3,15,16,16,8,18,15,17,5,17,19,16,15,17
21,16,16,2,15,17,17,7,18,16,17,4,18,19,16,16,18
22,16,17,1,15,18,17,6,18,17,17,3,19,19,16,17,18
23,16,18,1,14,19,17,6,19,18,18,3,20,20,17,18,18
24,17,18,1,13,20,18,6,20,19,19,3,21,21,18,19,19
25,17,18,2,12,20,19,5,21,20,20,2,22,22,19,20,20
26,17,17,3,11,20,20,4,22,21,21,1,23,23,20,20,21
27,16,16,4,10,21,21,3,23,22,21,1,23,23,21,20,22
28,15,15,5,9,22,21,2,24,23,21,1,23,23,21,19,22
29,14,14,6,8,22,21,1,25,23,20,2,22,22,21,18,22
30,13,13,7,7,22,22,1,25,23,19,3,21,21,20,17,23
31,12,12,8,6,21,23,1,25,22,18,4,20,20,19,16,24
32,11,11,9,5,20,23,2,24,21,17,5,20,20,18,15,25
33,10,10,10,4,20,23,3,23,20,16,6,20,20,17,14,25
34,9,9,11,3,20,23,4,22,19,15,7,19,19,16,14,25
35,8,8,12,2,19,23,5,21,18,14,8,18,18,15,14,24
36,8,8,12,2,18,22,6,20,17,13,9,17,17,14,13,23
37,8,8,12,2,18,21,7,19,16,12,10,16,16,13,12,22
38,7,7,13,1,18,20,8,18,15,11,11,15,15,12,11,21
39,6,7,14,1,17,19,9,17,14,11,12,14,14,11,10,20
40,5,7,15,1,16,18,10,16,13,11,13,13,13,10,9,19
41,4,6,16,2,15,17,10,15,12,10,14,12,13,10,8,18
42,3,5,17,3,14,16,10,14,12,9,14,11,13,10,7,18
43,2,5,18,4,13,15,11,13,12,9,14,10,12,9,7,18
44,1,5,19,5,12,14,12,12,11,9,15,9,11,9,7,17
45,1,4,19,6,11,13,13,11,10,9,16,8,10,9,6,16
46,1,3,19,7,10,12,14,10,10,8,17,7,9,8,5,16
47,2,2,20,8,10,11,14,9,10,7,18,7,9,8,5,16
48,3,1,20,9,10,10,14,8,9,7,18,7,9,8,5,15
49,3,1,20,10,9,9,15,7,8,7,18,6,8,7,4,14
50,3,1,21,10,8,9,16,7,7,6,19,6,8,6,3,14
51,4,2,22,10,7,9,17,7,7,6,20,6,8,5,2,14
52,5,3,23,11,6,8,17,6,7,6,20,5,7,4,1,13
53,6,4,23,12,5,7,17,6,6,5,20,4,6,4,1,12
54,7,5,23,12,4,7,18,6,5,4,21,4,6,4,1,11
55,8,6,22,12,4,7,19,5,4,3,22,4,6,3,2,11
56,9,7,21,13,4,6,19,5,4,3,23,3,5,2,3,11
57,10,8,20,14,3,5,19,5,4,3,23,2,4,1,4,10
58,11,9,19,15,2,4,20,4,3,2,23,1,3,1,5,9
59,11,9,18,16,1,3,20,3,2,1,24,1,2,1,6,8
60,11,9,17,17,1,2,20,3,1,1,24,1,1,2,7,7
61,12,10,16,18,1,2,21,3,1,1,24,2,1,3,8,6
62,13,11,16,19,2,2,22,2,1,2,23,3,1,4,9,5
63,14,12,16,20,3,1,23,1,2,3,22,4,2,5,10,4
64,14,13,15,21,4,1,24,1,3,4,21,5,3,6,10,3
65,14,14,14,22,5,1,24,1,4,4,20,6,4,7,10,3
66,15,15,13,22,6,2,24,2,5,4,20,7,5,8,11,3
67,16,16,12,22,7,3,23,3,6,5,20,7,6,9,12,2
68,16,16,11,21,8,4,22,4,7,6,19,7,7,10,13,1
69,16,16,10,20,9,5,21,5,8,7,18,8,7,10,14,1
70,17,17,10,19,10,6,20,6,9,8,17,9,7,10,15,1
71,18,18,10,18,11,7,19,7,10,9,16,10,8,11,16,2
72,19,19,9,17,12,8,18,8,11,10,15,11,9,12,17,3
73,19,19,8,16,13,9,17,9,12,11,14,12,10,13,18,4
74,19,19,8,15,13,9,16,10,13,12,13,13,11,14,19,5
75,20,20,8,14,13,9,15,11,14,12,12,14,12,15,20,6
76,21,21,7,13,14,10,14,12,15,12,11,15,12,15,21,7
77,22,22,6,12,15,11,13,12,16,13,11,15,12,15,22,8
78,23,23,5,11,16,12,12,12,16,14,11,15,13,16,22,9
79,24,24,4,11,17,12,11,13,16,15,10,16,14,17,22,10
80,24,25,3,11,17,12,10,13,17,16,9,17,15,18,23,11
81,24,25,3,10,17,13,9,13,18,17,8,18,16,19,23,12
82,23,25,3,9,18,14,8,14,19,18,7,19,16,20,23,12
83,22,24,2,8,18,15,7,15,19,19,6,19,16,20,24,12
84,21,23,2,7,18,16,7,16,19,19,5,19,17,20,25,13
85,20,22,2,6,19,17,7,16,20,19,4,20,18,21,25,13
86,19,21,1,6,20,18,6,16,21,20,4,21,19,22,25,13
87,18,20,1,6,21,19,5,17,21,21,4,21,19,22,24,14
88,17,19,1,5,22,20,5,18,21,21,3,21,19,22,23,15
89,16,19,2,5,23,20,5,18,22,21,2,22,20,23,22,16
90,15,19,3,5,23,20,4,18,23,22,1,23,21,23,21,17
91,15,18,4,4,23,21,3,19,24,23,1,23,21,23,21,18
92,15,17,4,3,24,21,2,20,25,23,1,23,21,24,21,18
93,14,17,4,3,24,21,1,21,25,23,2,22,22,24,20,18
94,13,17,4,3,24,22,1,21,25,22,3,21,22,24,19,19
95,12,16,5,2,25,22,1,21,24,21,4,20,22,25,19,20
96,11,15,5,1,25,22,2,22,23,20,5,19,22,25,19,20
97,10,14,5,1,25,23,2,23,22,19,6,18,22,25,19,20
98,9,13,6,1,24,24,2,23,21,18,7,17,23,24,18,21
99,8,12,7,2,23,24,3,23,20,17,8,16,23,23,17,22
100,8,12,8,3,22,24,4,22,20,16,8,15,23,22,16,23
101,8,12,9,4,21,23,5,21,20,15,8,15,22,22,16,24
102,7,11,10,5,20,22,6,20,19,15,9,15,21,22,16,24
103,7,10,11,6,19,21,7,19,18,15,10,14,20,21,15,24
104,7,9,12,7,18,20,8,18,17,14,11,13,19,20,14,25
105,6,8,13,8,17,19,9,17,17,13,12,12,18,19,13,25
106,5,8,13,9,17,18,9,16,17,12,12,11,17,18,12,25
107,4,8,13,9,17,17,9,15,16,11,12,10,16,17,11,24
108,3,7,14,9,16,16,10,14,15,10,13,9,15,16,10,23
109,2,6,15,10,15,15,10,13,14,9,13,8,14,15,9,22
110,1,5,15,11,15,14,10,12,13,9,13,8,13,14,8,21
111,1,4,15,12,15,13,10,12,13,9,14,8,12,14,7,20
112,1,4,14,13,14,13,11,12,13,8,15,7,11,14,6,19
113,2,4,13,14,13,13,12,11,12,8,15,6,10,13,5,18
114,2,3,12,14,12,12,13,10,12,8,15,5,9,12,4,17
115,2,2,11,14,11,11,14,9,12,7,16,4,8,11,3,16
116,3,1,10,15,10,10,15,8,11,7,17,3,7,10,2,15
117,4,1,9,16,9,9,16,7,11,7,17,2,6,9,1,14
118,5,1,9,17,8,8,17,6,11,6,17,1,5,8,1,14
119,5,2,9,17,7,8,18,5,10,5,18,1,4,7,1,14
120,5,3,8,17,6,8,19,4,9,4,19,1,3,6,2,13
121,6,3,7,18,5,7,20,3,8,4,20,2,2,6,3,13
122,7,3,6,19,4,6,21,2,7,4,20,3,2,6,4,13
123,7,4,5,19,3,5,21,1,6,3,20,4,2,5,5,12
124,7,5,4,19,2,4,21,1,5,2,21,5,1,4,6,11
125,8,6,3,20,1,4,22,1,4,1,22,6,1,3,6,10
126,9,7,2,20,1,4,22,2,3,1,23,6,1,2,6,10
127,10,8,1,20,1,3,22,3,2,1,23,6,2,1,7,10
128,10,9,1,21,2,2,23,4,1,2,23,7,2,1,7,9
129,10,10,1,22,3,1,23,5,1,3,22,8,2,1,7,8
130,11,11,2,23,4,1,23,5,1,3,21,9,3,2,8,7
131,12,12,3,24,4,1,22,5,2,3,20,10,4,3,9,6
132,13,13,4,24,4,2,21,6,3,4,19,11,5,4,10,5
133,13,14,5,24,5,3,20,6,4,5,18,12,6,4,10,4
134,13,14,6,23,6,4,19,6,5,6,17,13,7,4,10,3
