id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,1,0,277,296,277,19,296,6
passenger2,6,1,0,5,22,5,17,22,0
passenger3,8,1,0,9,22,9,13,22,1
passenger4,7,1,0,6,25,6,19,25,2
passenger5,10,1,1,9,42,8,33,41,6
passenger6,17,1,1,1059,1077,1058,18,1076,6
passenger7,11,1,1,12,42,11,30,41,6
passenger8,9,1,1,10,22,9,12,21,0
passenger9,14,1,2,101,122,99,21,120,6
passenger10,16,1,2,277,296,275,19,294,6
passenger11,2,1,2,3,6,1,3,4,3
passenger12,23,1,2,1415,1443,1413,28,1441,11
passenger13,23,1,2,34,62,32,28,60,12
passenger14,16,1,3,313,332,310,19,329,6
passenger15,15,1,4,148,168,144,20,164,6
passenger16,18,1,4,19,62,15,43,58,11
passenger17,12,1,4,17,42,13,25,38,6
passenger18,10,1,4,9,42,5,33,38,6
passenger19,10,1,4,9,42,5,33,38,6
passenger20,5,1,4,4,22,0,18,18,1
passenger21,22,1,4,29,62,25,33,58,12
passenger22,9,1,5,13,25,8,12,20,2
passenger23,8,1,6,10,25,4,15,19,2
passenger24,25,1,6,1889,1915,1883,26,1909,11
passenger25,14,1,6,101,122,95,21,116,6
passenger26,16,1,6,313,332,307,19,326,6
passenger27,7,1,7,7,25,0,18,18,2
passenger28,8,1,7,10,25,3,15,18,2
passenger29,19,1,8,22,62,14,40,54,12
passenger30,12,1,8,17,42,9,25,34,6
passenger31,5,1,9,19,25,10,6,16,2
passenger32,22,1,9,1204,1233,1195,29,1224,11
passenger33,11,1,9,12,42,3,30,33,6
passenger34,18,1,9,19,62,10,43,53,12
passenger35,10,1,9,9,42,0,33,33,6
passenger36,15,1,10,189,209,179,20,199,6
passenger37,20,1,10,23,62,13,39,52,11
passenger38,23,1,10,34,62,24,28,52,12
passenger39,6,1,10,13,22,3,9,12,1
passenger40,18,1,11,19,62,8,43,51,11
passenger41,23,1,12,34,62,22,28,50,12
passenger42,17,1,12,1059,1077,1047,18,1065,6
passenger43,5,1,12,16,22,4,6,10,1
passenger44,6,1,12,13,22,1,9,10,1
passenger45,6,1,12,13,22,1,9,10,1
passenger46,4,1,12,15,22,3,7,10,3
passenger47,20,1,13,23,62,10,39,49,11
passenger48,25,1,13,1991,2017,1978,26,2004,12
passenger49,14,1,14,101,122,87,21,108,6
passenger50,16,1,14,313,332,299,19,318,6
passenger51,20,1,14,23,62,9,39,48,11
passenger52,11,1,14,14,42,0,28,28,6
passenger53,13,1,14,20,42,6,22,28,6
passenger54,16,1,16,313,332,297,19,316,6
passenger55,9,1,16,44,54,28,10,38,2
passenger56,3,1,17,18,22,1,4,5,3
passenger57,15,1,17,189,209,172,20,192,6
passenger58,21,1,18,26,62,8,36,44,12
passenger59,3,1,18,18,22,0,4,4,0
passenger60,7,1,18,37,54,19,17,36,2
passenger61,8,1,19,41,54,22,13,35,2
passenger62,21,1,19,32,62,13,30,43,11
passenger63,14,1,19,101,122,82,21,103,6
passenger64,14,1,19,101,122,82,21,103,6
passenger65,17,1,21,1059,1077,1038,18,1056,6
passenger66,8,1,21,41,54,20,13,33,2
passenger67,19,1,22,22,62,0,40,40,12
passenger68,2,1,22,23,48,1,25,26,4
passenger69,4,1,23,30,54,7,24,31,2
passenger70,21,1,23,32,62,9,30,39,11
passenger71,17,1,23,1059,1077,1036,18,1054,6
passenger72,6,1,24,31,48,7,17,24,4
passenger73,12,1,24,59,82,35,23,58,6
passenger74,3,1,25,26,48,1,22,23,4
passenger75,18,1,25,81,118,56,37,93,12
passenger76,20,1,25,25,62,0,37,37,11
passenger77,8,1,25,59,74,34,15,49,4
passenger78,10,1,26,53,82,27,29,56,6
passenger79,7,1,26,34,48,8,14,22,4
passenger80,11,1,26,56,82,30,26,56,6
passenger81,8,1,26,59,74,33,15,48,4
passenger82,7,1,26,34,48,8,14,22,4
passenger83,12,1,27,59,82,32,23,55,6
passenger84,22,1,27,29,62,2,33,35,12
passenger85,20,1,27,27,62,0,35,35,11
passenger86,9,1,28,62,74,34,12,46,4
passenger87,24,1,28,1728,1755,1700,27,1727,12
passenger88,7,1,28,34,48,6,14,20,4
passenger89,23,1,28,1465,1493,1437,28,1465,12
passenger90,9,1,29,62,74,33,12,45,4
passenger91,14,1,29,101,122,72,21,93,6
passenger92,6,1,29,31,48,2,17,19,4
passenger93,20,1,29,29,62,0,33,33,11
passenger94,9,1,30,62,74,32,12,44,4
passenger95,22,1,31,31,62,0,31,31,12
passenger96,3,1,31,58,86,27,28,55,2
passenger97,14,1,32,101,122,69,21,90,6
passenger98,5,1,32,33,54,1,21,22,2
