tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1
2,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1
3,4,4,4,2,1,1,4,1,1,1,1,2,2,1,1,1
4,5,5,5,2,1,1,5,1,1,1,1,3,3,1,1,1
5,6,5,6,2,1,1,6,1,1,1,1,4,4,1,1,1
6,6,5,7,1,1,1,7,1,1,1,1,5,5,1,1,1
7,6,6,7,1,1,1,8,1,1,1,1,6,6,1,1,1
8,7,7,7,1,1,1,9,1,1,1,1,7,7,1,1,1
9,8,8,7,1,1,1,10,1,1,1,1,8,8,1,1,1
10,9,8,8,1,1,1,10,1,1,1,1,9,9,1,1,1
11,9,8,8,1,1,1,10,1,1,1,1,10,10,1,1,1
12,9,7,8,1,1,1,11,1,1,1,1,11,11,1,1,1
13,8,6,9,2,1,1,11,1,1,1,1,12,12,1,1,1
14,7,6,9,3,1,1,11,1,1,1,1,13,13,1,1,1
15,6,6,9,4,1,1,11,1,1,1,1,14,14,1,1,1
16,5,5,8,4,1,1,11,1,1,1,1,15,15,1,1,1
17,4,5,7,4,1,1,12,1,1,1,1,16,16,1,1,1
18,3,5,6,3,1,1,12,1,1,1,1,17,17,1,1,1
19,3,4,5,3,1,1,12,1,1,1,1,18,18,1,1,1
20,3,3,5,3,1,1,13,1,1,1,1,18,18,1,1,1
21,2,2,5,2,1,1,13,1,1,1,1,18,18,1,1,1
22,1,1,4,1,1,1,13,1,1,1,1,19,19,1,1,1
23,1,1,3,1,2,1,14,1,1,1,1,20,19,1,1,1
24,1,1,2,1,2,1,15,1,1,1,1,20,19,1,1,1
25,1,1,1,1,2,1,16,1,1,1,1,20,20,1,1,1
26,1,1,1,1,3,1,17,1,1,1,1,20,21,1,1,1
27,1,1,1,1,3,1,16,1,1,1,1,20,21,1,1,1
28,1,1,2,1,3,1,15,1,1,1,1,20,21,1,1,1
29,1,1,3,1,4,1,14,1,1,1,1,20,22,1,1,1
30,1,1,4,1,5,1,13,1,1,1,1,20,22,1,1,1
31,1,1,4,1,6,1,12,1,1,1,1,20,22,1,1,1
32,1,1,4,1,6,1,11,1,1,1,1,21,22,1,1,1
33,1,1,5,1,6,1,10,1,1,1,1,21,22,1,1,1
34,1,1,5,1,7,1,9,1,1,1,1,21,23,1,1,1
35,2,1,5,1,7,1,8,1,1,1,1,22,23,1,1,1
36,3,1,6,1,7,1,7,1,1,1,1,23,23,1,1,1
37,3,1,7,1,7,1,6,1,1,1,1,24,24,1,1,1
38,3,1,7,1,7,1,5,1,1,1,1,25,25,1,1,1
39,4,1,7,1,8,1,4,1,1,1,1,24,24,1,1,1
40,4,1,7,1,9,1,3,1,1,1,1,23,23,1,1,1
41,4,1,8,1,8,1,2,1,1,1,1,22,22,1,1,1
42,5,2,8,1,7,1,1,1,1,1,1,21,21,1,1,1
43,5,2,8,1,6,1,1,2,1,1,1,20,20,1,1,1
44,5,2,9,1,5,1,1,3,1,1,1,19,19,1,1,1
45,4,1,9,1,4,1,2,4,1,1,1,18,18,1,1,1
46,3,1,9,1,3,1,3,5,1,1,1,17,17,1,1,1
47,3,1,8,1,2,1,4,6,1,1,1,16,16,1,1,1
48,3,2,7,1,1,1,5,7,1,1,1,15,15,1,1,1
49,2,2,6,1,1,1,6,8,1,1,1,14,14,1,1,1
50,1,2,5,1,1,1,7,9,1,1,1,13,13,1,1,1
51,1,1,4,1,2,1,8,10,1,1,1,12,12,1,1,1
52,1,1,3,1,3,1,9,10,1,1,1,11,11,1,1,1
53,2,1,2,1,4,1,10,10,1,1,1,10,10,1,1,1
54,3,1,1,1,5,1,10,10,1,1,1,9,9,1,1,1
55,4,2,1,1,6,1,10,10,1,1,1,8,8,1,1,1
56,4,2,1,1,7,1,11,11,1,1,1,7,7,1,1,1
57,4,2,2,1,7,1,11,11,1,1,1,6,6,1,1,1
58,5,1,3,1,7,1,11,11,1,1,1,5,5,1,1,1
59,6,1,3,1,8,1,12,12,1,1,1,4,4,1,1,1
60,6,1,3,2,8,1,12,12,1,1,1,3,3,1,1,1
61,6,2,4,2,8,1,12,12,1,1,1,2,2,1,1,1
62,7,2,4,2,9,1,13,12,1,1,1,1,1,1,1,1
63,7,2,4,3,9,1,14,12,1,1,1,1,1,1,1,1
64,7,3,5,3,9,1,15,13,1,1,1,1,1,1,1,1
65,6,3,5,3,9,1,16,14,1,1,1,2,2,1,1,1
66,5,3,5,2,9,1,17,15,1,1,1,3,3,1,1,1
67,4,2,6,1,8,1,16,16,1,1,1,4,4,1,1,1
68,3,1,6,1,7,1,15,15,1,1,1,5,5,1,1,1
69,2,1,6,1,6,1,14,14,1,1,1,6,6,1,1,1
70,1,1,7,1,5,1,13,13,1,1,1,7,7,1,1,1
71,1,1,8,1,4,1,12,12,1,1,1,8,8,1,1,1
72,1,1,8,1,3,1,11,11,1,1,1,9,9,1,1,1
73,2,1,8,1,2,1,10,10,1,1,1,10,10,1,1,1
74,3,1,9,1,1,1,9,9,1,1,1,11,11,1,1,1
75,4,1,9,1,1,1,8,8,1,1,1,12,12,1,1,1
76,5,1,9,1,1,1,7,7,1,1,1,13,13,1,1,1
77,6,1,8,1,1,1,6,6,1,1,1,14,14,1,1,1
78,7,1,7,1,1,1,5,5,1,1,1,15,15,1,1,1
79,7,1,6,1,1,1,4,4,1,1,1,16,16,1,1,1
80,7,1,6,1,1,1,3,3,1,1,1,17,17,1,1,1
81,6,1,6,1,1,1,2,2,1,1,1,18,18,1,1,1
82,5,1,5,1,1,1,1,1,1,1,1,18,18,1,1,1
83,5,1,4,1,1,1,1,1,2,2,1,18,18,1,1,1
84,5,1,3,1,1,1,1,1,3,3,1,19,19,1,1,1
85,4,1,2,1,1,1,2,2,4,4,1,19,19,1,1,1
86,4,1,1,1,1,1,3,3,5,5,1,19,19,1,1,1
87,4,1,1,1,1,1,4,4,6,6,1,19,20,1,1,1
88,3,1,1,1,1,1,5,5,7,7,1,19,20,1,1,1
89,2,1,2,1,1,1,6,6,8,8,1,19,20,1,1,1
90,1,1,2,1,1,1,7,7,9,9,1,20,21,1,1,1
91,1,1,2,1,1,1,8,8,10,10,1,20,22,1,1,1
92,1,1,2,1,1,1,9,9,11,11,1,20,23,1,1,1
93,2,1,2,1,1,1,10,10,12,12,1,21,24,1,1,1
94,3,1,3,1,1,1,11,11,12,12,1,22,25,1,1,1
95,4,1,4,1,1,1,12,11,12,12,1,23,24,1,1,1
96,4,1,4,1,1,1,12,11,12,13,1,24,23,1,1,1
97,4,1,4,1,1,1,12,12,12,13,1,25,22,1,1,1
98,5,1,5,1,1,1,13,12,13,13,1,24,21,1,1,1
99,5,2,5,1,1,1,13,12,13,13,1,23,20,1,1,1
100,5,2,5,1,1,1,13,13,13,14,1,22,19,1,1,1
101,5,2,5,1,1,1,14,13,13,14,1,21,18,1,1,1
102,6,1,5,1,1,1,14,13,13,14,1,20,17,1,1,1
103,6,1,6,1,1,1,14,14,14,15,1,19,16,1,1,1
104,6,1,6,1,1,1,15,14,15,15,1,18,15,1,1,1
105,7,2,6,1,1,1,16,14,15,15,1,17,14,1,1,1
106,7,3,7,1,1,1,17,15,15,16,1,16,13,1,1,1
107,7,3,7,1,1,1,16,15,16,17,1,15,12,1,1,1
108,8,3,7,1,1,1,15,15,16,17,1,14,11,1,1,1
109,8,2,8,1,1,1,14,16,16,17,1,13,10,1,1,1
110,8,1,7,1,1,1,13,17,15,16,1,12,9,1,1,1
111,9,1,6,1,1,1,12,16,14,15,1,11,8,1,1,1
112,8,1,5,1,1,1,11,15,14,14,1,10,7,1,1,1
113,7,1,4,1,1,1,10,14,14,13,1,9,6,1,1,1
114,6,1,3,1,1,1,9,13,13,12,1,8,5,1,1,1
115,5,1,2,1,1,1,8,12,12,11,1,7,4,1,1,1
116,4,1,1,1,1,1,7,11,11,10,1,6,3,1,1,1
117,3,1,1,1,1,1,6,10,10,9,1,5,2,1,1,1
118,2,1,1,1,1,1,5,9,9,8,1,4,1,1,1,1
119,1,1,2,1,1,1,4,8,8,7,1,3,1,1,1,1
120,1,1,3,1,1,1,3,7,7,6,1,2,1,1,1,1
121,1,1,3,1,1,1,2,6,6,5,1,1,2,1,1,1
122,2,1,3,1,1,1,1,5,5,4,1,1,3,1,1,1
123,3,1,4,1,1,1,1,4,4,3,1,1,4,1,1,1
124,4,1,4,1,1,1,1,3,3,2,1,2,5,1,1,1
125,4,2,4,2,1,1,2,2,2,1,1,3,6,1,1,1
126,4,2,4,2,1,1,3,1,1,1,1,4,7,1,1,1
127,4,2,4,2,1,1,4,1,1,1,1,5,8,1,1,1
128,4,1,5,1,1,1,5,1,1,2,1,6,9,1,1,1
129,5,1,5,1,2,1,6,2,2,3,1,7,10,1,1,1
130,5,1,5,1,2,1,7,3,3,4,1,8,11,1,1,1
131,5,1,6,1,2,1,8,4,4,5,1,9,12,1,1,1
132,6,1,6,1,3,1,9,5,5,6,1,10,13,1,1,1
133,6,1,6,1,3,1,10,6,6,7,1,11,14,1,1,1
134,6,2,7,1,3,1,10,7,7,8,1,12,15,1,1,1
135,7,2,7,1,3,1,10,8,8,9,1,13,16,1,1,1
136,7,2,7,1,2,1,11,9,9,10,1,14,17,1,1,1
137,7,1,8,1,1,1,11,10,10,11,1,15,18,1,1,1
138,8,1,8,1,1,1,11,10,10,12,1,16,18,1,1,1
139,8,1,8,1,1,1,12,10,10,13,1,17,18,1,1,1
140,8,2,9,1,1,1,12,11,11,13,1,18,19,1,1,1
141,9,3,8,1,1,1,12,12,11,13,1,18,19,1,1,1
142,8,3,7,1,1,1,13,12,11,14,1,18,19,1,1,1
143,7,3,6,1,1,1,13,12,12,15,1,18,20,1,1,1
144,6,4,5,1,1,1,13,13,12,15,1,18,20,1,1,1
145,5,4,4,1,1,1,14,14,12,15,1,19,20,1,1,1
146,4,4,3,2,1,1,14,15,12,15,1,19,21,1,1,1
147,3,5,2,2,1,1,14,15,13,15,1,19,22,1,1,1
148,2,5,1,2,1,1,15,15,13,15,1,20,23,1,1,1
149,1,5,1,1,1,1,15,16,13,16,1,20,24,1,1,1
150,1,6,1,1,1,1,15,16,14,16,1,20,25,1,1,1
151,1,7,2,1,1,1,16,16,15,16,1,21,24,1,1,1
152,2,8,3,1,1,1,17,17,16,16,1,22,23,1,1,1
153,2,8,3,1,1,1,16,16,17,17,1,23,22,1,1,1
154,2,8,3,1,1,1,15,15,16,17,1,24,21,1,1,1
155,3,8,4,1,1,1,14,14,15,17,1,25,20,1,1,1
156,3,9,5,1,1,1,13,13,14,16,1,24,19,1,1,1
157,3,8,6,1,1,1,12,12,13,15,1,23,18,1,1,1
158,3,7,7,1,1,1,11,11,12,14,1,22,17,1,1,1
159,4,6,7,1,1,1,10,10,11,13,1,21,16,1,1,1
160,5,5,7,1,1,1,9,9,10,12,1,20,15,1,1,1
161,5,4,7,1,1,1,8,8,9,11,1,19,14,1,1,1
162,5,3,8,1,1,1,7,7,8,10,1,18,13,1,1,1
163,6,2,8,1,1,1,6,6,7,9,1,17,12,1,1,1
164,7,1,8,1,1,1,5,5,6,8,1,16,11,1,1,1
165,8,1,8,1,1,1,4,4,5,7,1,15,10,1,1,1
166,8,1,9,1,1,1,3,3,4,6,1,14,9,1,1,1
167,8,2,8,2,1,1,2,2,3,5,1,13,8,1,1,1
168,9,2,7,2,1,1,1,1,2,4,1,12,7,1,1,1
169,9,2,6,2,1,1,1,1,1,3,1,11,6,1,1,1
170,9,2,5,3,1,1,1,1,1,2,1,10,5,1,1,1
171,8,3,4,3,1,1,2,2,1,1,1,9,4,1,1,1
172,7,4,3,3,1,1,3,3,2,1,1,8,3,1,1,1
173,6,5,2,2,2,1,4,4,3,1,1,7,2,1,1,1
174,5,5,1,1,2,1,5,5,4,2,1,6,1,1,1,1
175,4,5,1,1,2,1,6,6,5,3,1,5,1,1,1,1
176,3,5,1,1,1,1,7,7,6,4,1,4,1,1,1,1
177,2,5,2,1,1,1,8,8,7,5,1,3,2,1,1,1
178,1,5,2,1,1,1,9,9,8,6,1,2,3,1,1,1
179,1,5,2,1,1,1,10,10,9,7,1,1,4,1,1,1
180,1,5,2,1,1,1,11,10,10,8,1,1,5,1,1,1
181,2,6,3,1,1,1,12,10,10,9,1,1,6,1,1,1
182,3,6,4,1,1,1,13,11,10,10,1,2,7,1,1,1
183,3,6,5,1,1,1,13,11,11,10,1,3,8,1,1,1
184,3,7,6,1,1,1,13,11,11,10,1,4,9,1,1,1
185,4,8,7,1,1,1,13,12,11,11,1,5,10,1,1,1
186,5,8,7,1,1,1,14,12,12,11,1,6,11,1,1,1
187,5,8,7,2,1,1,14,12,12,11,1,7,12,1,1,1
188,5,9,8,2,1,1,14,13,12,12,1,8,13,1,1,1
189,6,8,8,2,1,1,15,13,12,12,1,9,14,1,1,1
190,7,7,8,1,1,1,15,13,12,12,1,10,15,1,1,1
191,7,6,9,1,1,1,15,14,13,13,1,11,16,1,1,1
192,7,5,9,1,1,1,16,14,13,13,1,12,17,1,1,1
193,8,4,9,1,1,1,17,14,13,13,1,13,18,1,1,1
194,8,3,8,1,1,1,16,15,14,14,1,14,18,1,1,1
195,8,2,7,1,1,1,15,16,14,14,1,15,18,1,1,1
196,9,1,6,1,1,1,14,17,14,14,1,16,19,1,1,1
197,9,1,5,1,1,1,13,16,15,15,1,17,19,1,1,1
198,9,1,5,2,1,1,12,15,16,16,1,18,19,1,1,1
199,8,2,5,2,1,1,11,14,17,17,1,18,19,1,1,1
200,7,3,5,2,1,1,10,13,16,16,1,18,19,1,1,1
