id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,5,0,15,30,15,15,30,0
passenger2,7,6,0,6,9,6,3,9,1
passenger3,9,17,0,8,18,8,10,18,2
passenger4,10,9,0,9,12,9,3,12,3
passenger5,13,16,1,13,18,12,5,17,4
passenger6,1,23,1,1,31,0,30,30,5
passenger7,23,16,1,23,34,22,11,33,6
passenger8,15,18,1,15,22,14,7,21,7
passenger9,12,10,2,13,17,11,4,15,8
passenger10,9,4,2,10,17,8,7,15,9
passenger11,22,9,2,25,46,23,21,44,10
passenger12,8,25,2,9,28,7,19,26,11
passenger13,13,16,2,14,19,12,5,17,12
passenger14,7,19,3,11,25,8,14,22,13
passenger15,12,4,4,15,27,11,12,23,14
passenger16,21,11,4,30,46,26,16,42,15
passenger17,17,9,4,48,58,44,10,54,0
passenger18,15,20,4,22,31,18,9,27,1
passenger19,23,6,4,32,62,28,30,58,2
passenger20,17,23,4,22,32,18,10,28,3
passenger21,17,4,4,21,40,17,19,36,4
passenger22,5,6,5,7,10,2,3,5,5
passenger23,3,19,6,59,85,53,26,79,6
passenger24,25,13,6,31,49,25,18,43,7
passenger25,15,20,6,24,31,18,7,25,8
passenger26,11,12,6,28,31,22,3,25,9
passenger27,15,8,7,16,49,9,33,42,10
passenger28,2,15,7,65,88,58,23,81,11
passenger29,21,2,8,28,57,20,29,49,12
passenger30,6,7,8,8,11,0,3,3,13
passenger31,21,13,9,52,64,43,12,55,14
passenger32,14,17,9,17,22,8,5,13,15
passenger33,7,18,9,26,71,17,45,62,0
passenger34,1,3,9,58,62,49,4,53,1
passenger35,21,17,9,26,45,17,19,36,2
passenger36,5,11,10,60,70,50,10,60,3
passenger37,2,17,10,44,67,34,23,57,4
passenger38,19,7,10,25,57,15,32,47,5
passenger39,9,6,10,45,54,35,9,44,6
passenger40,10,7,11,54,59,43,5,48,7
passenger41,7,11,12,48,54,36,6,42,8
passenger42,22,20,12,45,49,33,4,37,9
passenger43,8,24,12,49,75,37,26,63,10
passenger44,6,23,12,55,106,43,51,94,11
passenger45,8,14,12,47,75,35,28,63,12
passenger46,6,20,12,48,72,36,24,60,13
passenger47,8,22,13,21,75,8,54,62,14
passenger48,3,13,13,60,72,47,12,59,15
passenger49,4,23,14,97,134,83,37,120,0
passenger50,11,17,14,16,26,2,10,12,1
passenger51,22,14,14,29,52,15,23,38,2
passenger52,2,6,14,85,91,71,6,77,3
passenger53,6,23,14,34,77,20,43,63,4
passenger54,23,12,16,31,46,15,15,30,5
passenger55,23,7,16,23,51,7,28,35,6
passenger56,17,10,17,19,54,2,35,37,7
passenger57,7,11,17,48,54,31,6,37,8
passenger58,9,6,18,24,75,6,51,57,9
passenger59,9,4,18,46,111,28,65,93,10
passenger60,25,10,18,28,47,10,19,29,11
passenger61,3,15,19,54,78,35,24,59,12
passenger62,23,9,19,81,103,62,22,84,13
passenger63,22,16,19,75,83,56,8,64,14
passenger64,19,8,19,26,53,7,27,34,15
passenger65,1,9,21,177,191,156,14,170,0
passenger66,24,20,21,101,109,80,8,88,1
passenger67,20,22,22,23,29,1,6,7,2
passenger68,10,9,22,51,54,29,3,32,3
passenger69,24,15,23,80,93,57,13,70,4
passenger70,8,7,23,54,57,31,3,34,5
passenger71,22,2,23,26,111,3,85,88,6
passenger72,2,19,24,66,93,42,27,69,7
passenger73,1,5,24,68,74,44,6,50,8
passenger74,25,11,25,116,140,91,24,115,9
passenger75,19,13,25,30,38,5,8,13,10
passenger76,3,5,25,62,70,37,8,45,11
passenger77,20,3,25,25,54,0,29,29,12
passenger78,15,9,26,31,41,5,10,15,13
passenger79,10,24,26,35,95,9,60,69,14
passenger80,16,9,26,39,50,13,11,24,15
passenger81,10,18,26,39,71,13,32,45,0
passenger82,1,6,26,58,67,32,9,41,1
