id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,5,0,23,78,23,55,78,0
passenger2,7,6,0,6,73,6,67,73,1
passenger3,9,17,0,10,26,10,16,26,2
passenger4,10,9,0,9,57,9,48,57,3
passenger5,13,16,1,16,23,15,7,22,0
passenger6,1,23,1,1,49,0,48,48,4
passenger7,23,16,1,119,136,118,17,135,1
passenger8,15,18,1,22,29,21,7,28,2
passenger9,12,10,2,13,54,11,41,52,3
passenger10,9,4,2,10,81,8,71,79,0
passenger11,22,9,2,35,64,33,29,62,1
passenger12,8,25,2,7,54,5,47,52,2
passenger13,13,16,2,16,25,14,9,23,3
passenger14,7,19,3,6,30,3,24,27,0
passenger15,12,4,4,15,77,11,62,73,1
passenger16,21,11,4,40,80,36,40,76,2
passenger17,17,9,4,30,57,26,27,53,3
passenger18,15,20,4,20,33,16,13,29,0
passenger19,23,6,4,119,160,115,41,156,1
passenger20,17,23,4,26,48,22,22,44,2
passenger21,17,4,4,30,73,26,43,69,3
passenger22,5,6,5,7,10,2,3,5,4
passenger23,3,19,6,10,38,4,28,32,5
passenger24,25,13,6,129,158,123,29,152,0
passenger25,15,20,6,20,29,14,9,23,1
passenger26,11,12,6,14,17,8,3,11,2
passenger27,15,8,7,22,60,15,38,53,3
passenger28,2,15,7,7,30,0,23,23,5
passenger29,21,2,8,39,80,31,41,72,3
passenger30,6,7,8,10,15,2,5,7,4
passenger31,21,13,9,120,150,111,30,141,3
passenger32,14,17,9,19,30,10,11,21,3
passenger33,7,18,9,15,36,6,21,27,4
passenger34,1,3,9,9,13,0,4,4,6
passenger35,21,17,9,120,142,111,22,133,3
passenger36,5,11,10,14,24,4,10,14,5
passenger37,2,17,10,11,39,1,28,29,7
passenger38,19,7,10,35,64,25,29,54,3
passenger39,9,6,10,10,75,0,65,65,0
passenger40,10,7,11,11,70,0,59,59,1
passenger41,7,11,12,15,25,3,10,13,4
passenger42,22,20,12,123,133,111,10,121,3
passenger43,8,24,12,18,52,6,34,40,4
