tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1
4,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1
5,6,6,6,6,3,1,1,1,1,1,1,1,1,1,1,1
6,7,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1
7,7,7,8,8,5,2,1,1,1,1,1,1,1,1,1,1
8,7,7,8,9,5,2,1,1,1,1,1,1,1,1,1,1
9,8,8,8,10,5,2,1,1,1,1,1,1,1,1,1,1
10,9,9,9,10,6,3,1,1,1,1,1,1,1,1,1,1
11,9,10,9,10,6,3,1,2,1,1,1,1,1,1,1,1
12,9,10,9,11,6,3,2,2,1,1,1,1,1,1,1,1
13,10,10,10,12,6,4,3,2,1,1,1,1,1,1,1,1
14,11,11,11,12,6,5,3,3,1,1,1,1,1,1,1,1
15,12,12,11,12,7,5,3,4,2,1,1,1,1,1,1,1
16,13,12,11,13,7,5,4,5,2,1,1,1,1,1,1,1
17,13,12,12,13,7,6,4,6,2,1,1,1,1,1,1,1
18,13,13,12,13,8,6,4,7,3,1,1,1,1,1,1,1
19,14,14,12,14,8,6,5,7,4,1,1,1,1,1,1,1
20,15,15,13,14,8,7,6,7,5,2,1,1,1,1,1,1
21,15,15,14,14,9,8,7,8,6,3,1,1,1,1,1,1
22,15,15,15,15,9,9,8,9,6,3,1,1,1,1,1,1
23,16,16,15,15,9,10,9,9,6,3,1,1,1,1,1,1
24,16,17,15,15,10,11,10,9,7,4,2,1,1,1,1,1
25,16,18,16,16,11,11,11,10,8,5,2,1,1,1,1,1
26,17,19,17,16,11,11,12,10,8,6,2,1,1,1,1,1
27,17,19,17,16,11,12,13,10,8,7,3,2,1,1,1,1
28,17,19,17,16,12,13,13,10,7,8,3,3,1,1,1,1
29,18,20,18,16,13,14,13,11,7,8,3,4,2,2,1,1
30,19,20,18,17,14,15,14,11,7,8,3,5,3,2,1,1
31,19,20,18,17,14,15,14,11,6,9,3,5,4,2,2,1
32,19,21,19,17,14,15,14,12,6,10,3,5,5,3,3,1
33,20,21,19,17,15,16,15,13,6,11,3,5,6,4,4,1
34,20,21,19,18,16,17,15,14,7,12,4,5,6,5,5,1
35,20,22,20,19,17,18,15,15,7,13,4,5,6,6,6,1
36,21,22,20,19,18,18,15,15,7,14,4,5,6,7,7,1
37,22,22,20,19,18,18,15,15,8,15,4,5,6,8,8,1
38,22,23,20,20,18,19,15,16,9,15,4,6,7,9,9,1
39,22,24,20,21,18,19,16,17,10,15,5,7,7,10,10,1
40,23,25,21,21,18,19,17,17,10,15,5,8,7,11,11,1
41,23,24,21,21,19,19,18,17,10,15,5,9,7,12,11,1
42,23,23,21,22,20,19,19,17,11,16,6,10,7,12,11,1
43,24,22,21,21,20,20,19,17,11,17,7,11,8,12,11,1
44,25,21,21,20,20,20,19,18,11,17,7,12,8,13,10,1
45,24,20,22,19,21,20,19,18,12,17,7,12,8,13,9,2
46,23,19,22,18,22,21,19,18,13,18,7,12,9,13,9,3
47,22,18,22,17,22,21,20,19,14,19,7,13,10,14,9,3
48,22,17,23,16,22,21,21,20,15,20,8,14,11,15,9,3
49,22,16,23,15,23,22,22,21,16,20,8,15,12,16,9,3
50,21,16,23,14,23,22,23,22,17,20,8,16,12,17,8,4
51,20,16,24,13,23,22,23,22,17,21,9,16,12,18,7,5
52,19,15,24,12,24,23,23,22,17,21,9,16,13,19,7,5
53,19,14,24,11,24,23,22,23,17,21,9,16,13,19,7,5
54,19,14,25,10,24,23,21,24,18,21,10,17,13,19,6,6
55,18,14,25,10,25,24,21,24,19,22,11,17,13,20,6,7
56,17,13,25,10,25,24,21,24,19,23,11,17,13,20,6,7
57,16,13,24,9,25,24,20,23,19,23,11,18,13,20,5,7
58,15,13,24,9,24,23,19,22,20,23,12,18,14,19,5,8
59,14,12,24,9,23,22,19,21,21,22,13,18,14,18,5,8
60,14,11,23,8,22,21,19,20,21,21,14,19,14,18,4,8
61,14,11,22,8,21,20,18,20,21,20,15,19,15,18,4,9
62,13,11,21,8,20,19,17,20,20,19,16,19,15,17,4,9
63,12,10,20,8,19,18,17,19,19,18,16,20,15,17,4,9
64,12,9,20,7,18,17,17,18,18,17,16,21,16,17,4,10
65,12,9,20,7,17,16,16,17,17,16,17,22,16,16,3,11
66,11,9,19,7,16,15,16,17,16,15,18,22,16,15,3,12
67,10,8,18,6,15,14,16,17,15,14,19,22,17,14,3,13
68,10,8,18,6,14,14,15,16,14,13,19,23,18,14,2,14
69,10,8,18,6,13,14,14,15,13,12,19,24,18,14,2,14
70,9,7,17,5,12,13,13,14,12,12,20,24,18,13,2,14
71,8,7,16,5,12,12,13,13,11,12,21,24,19,13,2,15
72,7,7,16,5,12,12,13,12,11,12,21,25,20,13,1,16
73,7,6,16,4,11,12,12,11,11,12,21,25,21,12,2,17
74,7,6,15,4,10,13,12,10,10,13,22,25,21,11,3,18
75,6,6,14,4,10,14,12,9,10,14,22,24,21,10,4,18
76,6,5,13,4,10,14,11,9,10,14,22,23,21,9,5,18
77,6,4,13,3,9,14,11,9,9,14,23,22,22,9,6,18
78,5,4,13,3,8,15,11,8,8,15,24,21,23,9,7,18
79,5,4,12,3,7,16,10,8,8,15,24,20,24,8,7,18
80,5,3,11,2,6,16,9,8,8,15,24,20,24,8,7,18
81,4,3,11,2,6,16,9,7,9,16,23,20,24,8,8,18
82,4,3,11,2,6,17,9,7,10,17,23,19,23,8,9,18
83,4,2,11,1,6,17,8,7,10,17,23,19,22,8,10,19
84,3,1,11,1,6,17,7,6,10,17,22,19,21,7,11,19
85,3,1,10,1,5,16,6,6,11,17,21,18,20,6,11,19
86,3,1,9,2,4,16,5,6,12,18,21,17,19,5,11,20
87,3,2,9,3,4,16,4,6,12,18,21,16,18,5,12,20
88,3,3,9,4,4,16,3,6,12,18,20,16,17,5,12,20
89,3,4,8,5,3,15,2,5,13,19,19,16,16,6,12,21
90,2,5,7,6,3,15,2,5,13,19,18,15,15,7,12,22
91,2,6,7,7,3,15,2,5,13,19,18,15,14,7,12,22
92,2,7,7,7,2,14,1,4,14,18,18,15,13,7,13,22
93,1,8,6,7,2,13,1,4,14,18,17,14,13,7,13,22
94,1,9,6,8,2,13,1,4,14,18,16,13,13,7,13,23
95,1,10,6,9,3,13,1,3,14,17,15,12,12,8,14,23
96,2,10,6,9,3,13,1,2,14,17,14,11,11,9,15,23
97,3,10,6,9,3,13,2,2,15,17,14,11,11,9,16,24
98,4,11,7,10,4,13,3,2,16,16,14,11,11,9,17,24
99,4,12,8,10,5,12,4,3,16,15,13,10,10,10,18,24
100,4,13,8,10,6,12,5,4,16,14,13,10,9,11,19,25
101,5,14,8,11,6,12,6,5,17,14,13,10,9,11,20,25
102,6,14,9,12,6,11,7,6,17,14,12,9,9,11,21,25
103,7,14,10,13,6,11,8,7,17,13,11,8,8,12,21,24
104,8,15,10,13,7,11,9,8,18,13,10,7,7,12,21,23
105,9,15,10,13,8,10,10,9,19,13,9,6,7,12,22,22
106,10,15,11,13,8,9,11,10,19,12,8,5,7,13,22,21
107,11,16,11,14,8,9,11,11,19,12,7,5,6,13,22,21
108,12,17,11,14,9,9,11,12,20,12,7,5,6,13,23,21
109,13,17,12,14,10,9,12,13,20,11,7,5,6,13,24,20
110,14,17,13,15,10,8,13,14,20,11,6,5,5,13,25,19
111,15,18,13,16,10,8,14,15,21,11,6,5,5,14,25,18
112,15,19,13,17,11,8,15,16,21,10,6,4,5,14,25,17
113,15,19,14,18,12,7,15,16,21,10,5,4,4,14,24,17
114,16,19,14,18,13,7,15,16,22,10,4,4,4,15,23,17
115,17,19,14,18,14,7,16,17,22,9,4,3,4,16,23,16
116,18,20,15,19,15,6,16,17,22,9,4,3,3,17,23,16
117,19,21,16,20,16,6,16,17,23,9,4,3,3,18,22,16
118,20,22,17,20,17,6,17,17,24,9,4,2,3,19,21,15
119,21,23,17,20,18,5,18,17,24,9,3,2,2,20,20,14
120,21,23,17,21,19,5,18,18,24,8,2,2,2,20,19,14
121,21,23,18,21,20,5,18,19,25,8,2,1,2,20,18,14
122,22,24,18,21,21,4,18,20,25,8,2,1,3,21,17,13
123,23,24,18,22,21,3,19,21,25,7,1,1,4,21,17,13
124,23,24,19,22,21,2,20,21,25,6,1,2,5,21,17,13
125,23,25,20,22,22,2,20,21,25,6,1,2,6,20,16,12
126,24,24,20,23,22,2,20,22,24,6,2,2,6,19,16,12
127,24,23,20,23,22,1,21,22,23,6,3,3,6,18,16,12
128,24,22,21,23,22,1,21,22,22,5,3,4,6,17,15,12
129,25,21,22,22,21,1,21,23,21,5,3,4,7,16,15,12
130,25,20,22,22,20,2,20,24,20,5,4,4,7,16,15,11
131,25,19,22,22,19,3,19,24,19,4,5,5,7,16,14,11
132,24,18,21,21,18,4,18,24,18,4,5,6,7,15,13,11
133,23,18,20,20,18,4,17,23,18,4,5,7,8,14,13,10
134,22,18,19,20,18,4,17,22,18,3,6,7,8,14,13,10
