id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,5,0,29,85,29,56,85,0
passenger2,7,6,0,6,78,6,72,78,0
passenger3,9,17,0,12,32,12,20,32,0
passenger4,10,9,0,15,73,15,58,73,0
passenger5,13,16,1,24,29,23,5,28,0
passenger6,1,23,1,1,57,0,56,56,1
passenger7,23,16,1,57,74,56,17,73,1
passenger8,15,18,1,123,133,122,10,132,0
passenger9,12,10,2,21,70,19,49,68,0
passenger10,9,4,2,12,88,10,76,86,0
passenger11,22,9,2,145,175,143,30,173,0
passenger12,8,25,2,9,49,7,40,47,0
passenger13,13,16,2,117,127,115,10,125,0
passenger14,7,19,3,6,36,3,30,33,0
passenger15,12,4,4,21,88,17,67,84,0
passenger16,21,11,4,41,67,37,26,63,0
passenger17,17,9,4,32,73,28,41,69,0
passenger18,15,20,4,123,139,119,16,135,0
passenger19,23,6,4,45,78,41,33,74,0
passenger20,17,23,4,32,45,28,13,41,0
passenger21,17,4,4,130,184,126,54,180,0
passenger22,5,6,5,7,10,2,3,5,1
passenger23,3,19,6,10,43,4,33,37,2
passenger24,25,13,6,63,82,57,19,76,1
passenger25,15,20,6,37,50,31,13,44,1
passenger26,11,12,6,27,30,21,3,24,1
passenger27,15,8,7,37,93,30,56,86,1
passenger28,2,15,7,7,35,0,28,28,2
passenger29,21,2,8,53,109,45,56,101,1
passenger30,6,7,8,10,15,2,5,7,1
passenger31,21,13,9,142,166,133,24,157,0
passenger32,14,17,9,120,130,111,10,121,0
passenger33,7,18,9,15,44,6,29,35,1
passenger34,1,3,9,9,13,0,4,4,3
passenger35,21,17,9,142,158,133,16,149,0
passenger36,5,11,10,14,28,4,14,18,2
passenger37,2,17,10,11,40,1,29,30,4
passenger38,19,7,10,47,96,37,49,86,1
passenger39,9,6,10,21,99,11,78,89,1
passenger40,10,7,11,24,96,13,72,85,1
passenger41,7,11,12,15,27,3,12,15,1
passenger42,22,20,12,145,153,133,8,141,0
passenger43,8,24,12,18,60,6,42,48,1
passenger44,6,23,12,12,57,0,45,45,1
passenger45,8,14,12,18,34,6,16,22,1
passenger46,6,20,12,12,50,0,38,38,1
passenger47,8,22,13,21,51,8,30,38,2
passenger48,3,13,13,13,31,0,18,18,3
passenger49,4,23,14,16,55,2,39,41,3
passenger50,11,17,14,18,32,4,14,18,0
passenger51,22,14,14,145,163,131,18,149,0
passenger52,2,6,14,15,21,1,6,7,5
passenger53,6,23,14,17,54,3,37,40,2
passenger54,23,12,16,148,170,132,22,154,0
passenger55,23,7,16,215,251,199,36,235,0
passenger56,17,10,17,40,71,23,31,54,4
passenger57,7,11,17,18,26,1,8,9,4
passenger58,9,6,18,22,84,4,62,66,4
passenger59,9,4,18,22,92,4,70,74,4
passenger60,25,10,18,146,174,128,28,156,4
passenger61,3,15,19,21,37,2,16,18,6
passenger62,23,9,19,140,177,121,37,158,4
passenger63,22,16,19,137,161,118,24,142,4
passenger64,19,8,19,44,77,25,33,58,4
passenger65,1,9,21,21,51,0,30,30,7
passenger66,24,20,21,57,69,36,12,48,2
passenger67,20,22,22,46,52,24,6,30,3
passenger68,10,9,22,24,93,2,69,71,3
passenger69,24,15,23,58,77,35,19,54,3
passenger70,8,7,23,23,99,0,76,76,2
passenger71,22,2,23,52,110,29,58,87,3
passenger72,2,19,24,24,69,0,45,45,7
passenger73,1,5,24,24,30,0,6,6,8
passenger74,25,11,25,155,171,130,16,146,3
passenger75,19,13,25,43,81,18,38,56,3
passenger76,3,5,25,27,39,2,12,14,7
passenger77,20,3,25,46,107,21,61,82,3
passenger78,15,9,26,34,74,8,40,48,4
passenger79,10,24,26,26,58,0,32,32,3
passenger80,16,9,26,37,74,11,37,48,4
passenger81,10,18,26,26,40,0,14,14,3
passenger82,1,6,26,26,33,0,7,7,9
passenger83,16,3,27,37,95,10,58,68,4
passenger84,20,14,27,47,65,20,18,38,4
passenger85,6,19,27,27,48,0,21,21,5
passenger86,25,11,28,60,89,32,29,61,2
passenger87,8,15,28,28,37,0,9,9,6
passenger88,2,13,28,31,50,3,19,22,10
passenger89,1,11,28,28,44,0,16,16,10
passenger90,19,23,29,43,54,14,11,25,2
passenger91,3,7,29,29,43,0,14,14,7
passenger92,11,15,29,29,35,0,6,6,2
passenger93,25,18,29,60,75,31,15,46,2
passenger94,14,2,30,31,98,1,67,68,4
passenger95,3,4,31,31,34,0,3,3,7
passenger96,17,9,31,40,74,9,34,43,4
passenger97,7,17,32,34,57,2,23,25,8
