id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,5,0,23,84,23,61,84,0
passenger2,7,6,0,6,80,6,74,80,1
passenger3,9,17,0,8,28,8,20,28,2
passenger4,10,9,0,13,64,13,51,64,3
passenger5,13,16,1,14,23,13,9,22,0
passenger6,1,23,1,1,42,0,41,41,4
passenger7,23,16,1,44,53,43,9,52,5
passenger8,15,18,1,22,29,21,7,28,1
passenger9,12,10,2,15,39,13,24,37,2
passenger10,9,4,2,10,79,8,69,77,3
passenger11,22,9,2,39,76,37,37,74,0
passenger12,8,25,2,9,50,7,41,48,1
passenger13,13,16,2,18,25,16,7,23,2
passenger14,7,19,3,6,26,3,20,23,3
passenger15,12,4,4,11,87,7,76,83,0
passenger16,21,11,4,38,70,34,32,66,1
passenger17,17,9,4,28,42,24,14,38,2
passenger18,15,20,4,20,29,16,9,25,3
passenger19,23,6,4,124,166,120,42,162,0
passenger20,17,23,4,26,44,22,18,40,1
passenger21,17,4,4,28,55,24,27,51,2
passenger22,5,6,5,5,8,0,3,3,5
passenger23,3,19,6,10,36,4,26,30,6
passenger24,25,13,6,134,166,128,32,160,3
passenger25,15,20,6,20,33,14,13,27,0
passenger26,11,12,6,14,17,8,3,11,1
passenger27,15,8,7,22,45,15,23,38,2
passenger28,2,15,7,7,30,0,23,23,6
passenger29,21,2,8,36,93,28,57,85,0
passenger30,6,7,8,8,11,0,3,3,4
passenger31,21,13,9,36,68,27,32,59,0
passenger32,14,17,9,17,26,8,9,17,0
passenger33,7,18,9,11,31,2,20,22,5
passenger34,1,3,9,9,13,0,4,4,7
passenger35,21,17,9,36,56,27,20,47,0
passenger36,5,11,10,14,24,4,10,14,6
passenger37,2,17,10,11,34,1,23,24,8
passenger38,19,7,10,30,80,20,50,70,0
passenger39,9,6,10,10,73,0,63,63,3
passenger40,10,7,11,11,48,0,37,37,2
passenger41,7,11,12,12,22,0,10,10,4
passenger42,22,20,12,39,49,27,10,37,0
passenger43,8,24,12,15,45,3,30,33,4
passenger44,6,23,12,17,48,5,31,36,6
passenger45,8,14,12,14,22,2,8,10,5
passenger46,6,20,12,17,43,5,26,31,6
passenger47,8,22,13,15,39,2,24,26,4
passenger48,3,13,13,13,27,0,14,14,7
passenger49,4,23,14,16,47,2,31,33,7
passenger50,11,17,14,14,26,0,12,12,1
passenger51,22,14,14,39,65,25,26,51,0
passenger52,2,6,14,15,21,1,6,7,9
passenger53,6,23,14,17,48,3,31,34,6
passenger54,23,12,16,124,152,108,28,136,0
passenger55,23,7,16,124,163,108,39,147,0
passenger56,17,10,17,26,73,9,47,56,0
passenger57,7,11,17,18,26,1,8,9,8
passenger58,9,6,18,18,72,0,54,54,4
passenger59,9,4,18,18,78,0,60,60,4
passenger60,25,10,18,128,158,110,30,140,0
passenger61,3,15,19,21,37,2,16,18,10
passenger62,23,9,19,128,175,109,47,156,3
passenger63,22,16,19,35,49,16,14,30,3
passenger64,19,8,19,26,67,7,41,48,3
passenger65,1,9,21,21,54,0,33,33,11
passenger66,24,20,21,131,145,110,14,124,3
passenger67,20,22,22,35,41,13,6,19,1
passenger68,10,9,22,23,64,1,41,42,8
passenger69,24,15,23,131,160,108,29,137,3
passenger70,8,7,23,25,80,2,55,57,9
passenger71,22,2,23,35,86,12,51,63,3
passenger72,2,19,24,24,72,0,48,48,11
passenger73,1,5,24,24,30,0,6,6,12
passenger74,25,11,25,225,252,200,27,227,3
passenger75,19,13,25,26,56,1,30,31,3
passenger76,3,5,25,27,39,2,12,14,11
passenger77,20,3,25,29,82,4,53,57,3
passenger78,15,9,26,28,63,2,35,37,4
passenger79,10,24,26,29,56,3,27,30,9
passenger80,16,9,26,26,65,0,39,39,5
passenger81,10,18,26,29,44,3,15,18,9
passenger82,1,6,26,26,33,0,7,7,13
passenger83,16,3,27,27,77,0,50,50,5
passenger84,20,14,27,29,53,2,24,26,3
passenger85,6,19,27,42,72,15,30,45,11
passenger86,25,11,28,225,252,197,27,224,3
passenger87,8,15,28,28,37,0,9,9,10
passenger88,2,13,28,29,47,1,18,19,14
passenger89,1,11,28,28,40,0,12,12,15
passenger90,19,23,29,32,44,3,12,15,1
passenger91,3,7,29,29,46,0,17,17,11
passenger92,11,15,29,32,38,3,6,9,9
passenger93,25,18,29,225,239,196,14,210,3
passenger94,14,2,30,30,76,0,46,46,7
passenger95,3,4,31,31,34,0,3,3,11
passenger96,17,9,31,32,63,1,31,32,4
passenger97,7,17,32,34,48,2,14,16,12
passenger98,21,11,32,32,60,0,28,28,3
passenger99,23,19,33,128,148,95,20,115,3
passenger100,18,22,33,33,41,0,8,8,5
passenger101,5,19,33,34,60,1,26,27,14
passenger102,24,25,33,222,225,189,3,192,3
passenger103,15,19,34,37,46,3,9,12,10
passenger104,23,22,34,128,139,94,11,105,3
passenger105,23,21,34,128,142,94,14,108,3
passenger106,10,19,35,39,52,4,13,17,12
passenger107,11,21,35,36,106,1,70,71,2
passenger108,21,24,35,38,47,3,9,12,1
passenger109,15,12,35,37,69,2,32,34,10
passenger110,5,16,35,35,53,0,18,18,14
passenger111,15,13,36,37,66,1,29,30,10
passenger112,17,22,36,36,45,0,9,9,8
passenger113,4,11,36,36,60,0,24,24,11
passenger114,19,21,37,37,43,0,6,6,7
passenger115,20,22,37,37,41,0,4,4,5
passenger116,25,16,37,225,245,188,20,208,3
passenger117,7,15,37,38,61,1,23,24,13
passenger118,18,3,38,39,76,1,37,38,8
passenger119,19,14,38,38,67,0,29,29,6
passenger120,24,6,38,222,261,184,39,223,3
passenger121,23,12,38,128,170,90,42,132,3
passenger122,15,17,38,38,42,0,4,4,10
passenger123,15,23,39,39,53,0,14,14,9
passenger124,5,19,39,39,72,0,33,33,11
passenger125,25,6,40,225,261,185,36,221,3
passenger126,7,12,40,40,54,0,14,14,13
passenger127,19,24,40,40,51,0,11,11,6
passenger128,20,12,40,40,62,0,22,22,7
passenger129,17,6,41,42,83,1,41,42,10
passenger130,12,5,41,43,93,2,50,52,15
passenger131,1,22,41,64,109,23,45,68,2
passenger132,21,13,42,43,59,1,16,17,7
passenger133,1,3,42,64,68,22,4,26,2
passenger134,3,18,43,58,99,15,41,56,2
passenger135,6,7,43,43,46,0,3,3,11
passenger136,22,20,43,125,145,82,20,102,3
passenger137,8,15,43,43,61,0,18,18,13
passenger138,6,22,43,43,79,0,36,36,11
passenger139,3,19,43,58,102,15,44,59,2
passenger140,13,19,43,47,59,4,12,16,15
passenger141,12,4,44,44,96,0,52,52,15
passenger142,19,16,44,47,67,3,20,23,9
passenger143,12,10,44,44,103,0,59,59,14
passenger144,9,13,45,46,57,1,11,12,13
passenger145,7,8,45,46,51,1,5,6,11
