tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1
3,4,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1
4,5,5,5,5,2,4,1,1,1,1,1,1,1,1,1,1
5,6,6,6,6,3,5,1,1,1,1,1,1,1,1,1,1
6,7,7,7,7,4,5,1,1,1,1,1,1,1,1,1,1
7,8,7,8,7,5,5,2,1,1,1,1,1,1,1,1,1
8,9,7,9,7,6,6,2,1,1,1,1,1,1,1,1,1
9,10,8,9,8,6,6,2,1,1,1,1,1,1,1,1,1
10,11,8,9,9,6,6,3,1,1,1,1,1,1,1,1,1
11,12,8,10,9,7,7,3,1,2,1,1,1,1,1,1,1
12,12,9,10,9,7,7,3,2,2,1,1,1,1,1,1,1
13,12,10,10,10,7,7,4,3,2,1,1,1,1,1,1,1
14,13,11,11,10,7,8,5,3,3,1,1,1,1,1,1,1
15,13,11,12,10,8,8,5,3,4,2,1,1,1,1,1,1
16,13,11,12,11,8,8,5,4,5,2,1,1,1,1,1,1
17,14,12,12,12,8,9,6,4,6,2,1,1,1,1,1,1
18,14,12,13,13,9,10,6,4,7,3,1,1,1,1,1,1
19,14,12,13,14,9,11,6,5,7,4,1,1,1,1,1,1
20,15,13,13,15,9,12,7,6,7,5,2,1,1,1,1,1
21,15,14,14,15,10,13,8,7,8,6,3,1,1,1,1,1
22,15,15,15,15,11,14,9,8,9,6,3,1,1,1,1,1
23,16,15,15,16,11,14,10,9,10,6,3,1,1,1,1,1
24,16,15,15,17,11,14,11,10,10,7,4,2,1,1,1,1
25,16,16,16,18,12,15,11,11,10,8,5,2,1,1,1,1
26,17,17,16,19,13,16,11,12,11,8,6,2,1,1,1,1
27,17,17,16,19,14,16,12,13,11,8,7,3,2,1,1,1
28,17,17,17,19,15,16,13,13,11,9,8,3,3,1,1,1
29,18,18,17,20,15,16,14,13,12,10,8,3,4,2,2,1
30,19,18,17,20,15,17,15,14,13,10,8,3,5,3,2,1
31,19,18,16,20,16,18,15,14,14,10,9,3,5,4,2,2
32,19,19,15,21,17,18,15,14,15,11,10,3,5,5,3,3
33,20,19,14,21,17,18,16,15,16,11,11,3,6,6,4,4
34,20,19,13,21,17,18,17,16,17,11,12,4,7,6,5,5
35,20,20,12,22,18,18,18,17,17,12,13,4,7,6,5,6
36,21,20,11,22,19,19,19,18,17,13,14,4,7,6,5,7
37,21,20,11,22,20,20,19,19,17,14,15,4,8,6,5,8
38,21,21,11,23,21,20,19,19,17,15,15,4,9,7,6,9
39,22,21,10,24,22,20,19,19,18,15,15,5,10,7,7,10
40,22,21,10,25,22,21,19,20,18,15,15,5,10,7,8,11
41,22,22,10,24,22,22,19,20,18,15,16,5,10,7,9,11
42,23,22,9,23,23,22,19,20,19,16,17,6,11,7,10,11
43,24,22,9,22,23,22,20,21,20,17,17,6,12,8,11,12
44,25,23,9,21,23,23,20,21,21,18,17,6,13,8,12,12
45,24,23,8,20,24,23,20,21,22,18,18,6,14,8,12,12
46,23,23,8,19,24,23,21,22,22,18,19,7,15,9,12,12
47,22,24,8,18,24,22,22,23,22,19,19,7,16,9,13,13
48,21,24,7,17,24,21,23,23,21,19,19,7,17,9,13,13
49,20,24,7,16,23,20,23,23,20,19,20,7,17,9,13,13
50,20,25,7,16,22,19,23,22,19,20,20,7,17,10,13,14
51,20,25,6,16,21,18,24,21,18,21,20,8,18,11,14,15
52,19,25,5,15,20,17,24,20,17,22,21,8,19,11,15,16
53,18,25,5,14,19,16,24,19,17,23,21,8,19,11,16,16
54,18,25,5,14,18,16,24,18,17,23,21,9,19,12,16,16
55,18,24,4,14,17,16,23,17,17,23,21,9,20,12,16,17
56,17,23,4,13,16,16,22,16,17,24,21,9,20,12,17,17
57,17,22,4,13,15,15,21,15,16,24,20,9,20,13,18,17
58,17,21,3,13,14,14,20,14,15,24,19,9,19,13,18,18
59,16,20,3,12,13,14,19,13,14,24,19,10,18,13,18,19
60,16,19,3,11,12,14,18,13,13,23,19,11,18,14,19,19
61,16,18,2,11,11,13,17,13,12,22,18,11,18,15,19,19
62,15,17,2,11,10,12,17,12,11,21,17,11,17,15,19,20
63,15,16,2,10,9,11,17,12,10,20,16,12,17,15,20,20
64,15,15,1,9,9,10,17,12,9,19,15,13,17,16,21,20
65,14,14,1,9,9,9,16,11,9,18,14,14,16,16,22,19
66,14,13,1,9,8,9,15,10,9,17,13,14,15,16,22,18
67,14,12,2,8,8,9,14,9,8,16,13,14,14,17,22,18
68,13,12,3,8,8,8,14,8,8,16,13,15,14,18,23,18
69,13,12,3,8,7,7,14,7,8,16,12,16,14,18,24,17
70,13,11,3,7,7,6,13,6,7,15,12,17,13,18,24,17
71,12,11,4,7,7,5,13,5,6,14,12,18,12,19,24,17
72,11,11,4,7,6,4,13,4,6,13,11,19,11,20,25,16
73,10,11,4,6,6,4,12,3,6,12,10,19,10,21,25,16
74,10,10,5,6,6,4,11,3,5,11,10,19,9,21,25,16
75,10,9,6,6,5,4,10,3,4,10,10,20,9,21,24,15
76,9,8,6,5,5,4,10,2,3,9,9,21,9,21,23,14
77,9,8,6,5,5,3,10,2,3,9,8,21,9,22,22,14
78,9,8,7,5,4,3,11,2,3,9,8,21,8,22,21,14
79,8,7,8,4,4,3,12,1,2,8,8,22,8,22,20,13
80,7,6,8,4,4,2,13,1,2,7,7,22,8,23,20,13
81,7,6,8,4,3,2,14,1,2,7,7,22,9,24,20,13
82,7,6,8,3,2,2,15,2,3,7,7,21,9,24,19,12
83,6,6,8,3,2,3,16,3,4,7,6,21,9,24,19,11
84,5,6,9,3,2,4,16,4,5,8,6,21,10,23,19,11
85,5,5,9,3,1,5,16,5,6,9,6,20,10,23,18,11
86,5,4,9,2,1,6,17,6,7,10,7,19,10,23,18,10
87,4,3,10,2,1,6,17,7,7,10,8,18,11,23,18,10
88,4,3,11,2,1,6,17,7,7,10,9,17,11,24,17,10
89,4,3,11,1,1,7,18,7,8,11,10,16,11,24,16,9
90,3,2,11,1,1,8,18,8,9,12,11,15,11,24,16,8
91,3,2,12,1,1,9,18,9,10,12,12,14,12,25,16,7
92,3,2,13,2,1,9,19,10,10,12,13,13,12,25,15,6
93,2,3,14,3,2,9,20,11,10,13,13,12,12,25,15,5
94,2,4,14,4,3,8,20,12,9,14,13,11,13,24,15,5
95,2,5,14,4,4,7,20,13,8,14,14,10,13,23,14,5
96,1,6,15,4,4,6,21,13,7,14,14,9,13,22,13,4
97,1,6,16,5,4,5,22,13,6,15,14,8,14,22,12,4
98,1,6,17,6,5,5,22,14,5,16,14,7,15,22,12,4
99,2,7,18,7,6,5,22,14,5,17,15,6,16,22,12,3
100,3,8,18,7,7,5,23,14,5,17,16,6,17,21,11,3
101,4,8,18,7,7,6,23,14,5,17,17,6,17,21,11,3
102,5,8,19,8,7,6,23,14,5,18,17,5,17,21,11,2
103,6,9,19,9,8,6,24,14,5,19,17,4,18,21,10,1
104,7,9,19,10,9,7,24,15,5,20,18,4,19,21,10,1
105,8,9,20,11,10,8,24,15,5,20,18,4,20,20,10,1
106,9,10,21,12,11,8,23,15,5,20,18,3,21,19,9,2
107,10,10,21,13,12,8,22,16,5,21,19,3,21,19,8,3
108,11,10,21,13,12,9,21,17,6,22,19,3,21,19,7,4
109,11,11,22,13,12,9,21,17,7,22,19,3,22,18,6,5
110,11,11,22,13,13,9,21,17,7,22,20,3,22,18,6,5
111,12,11,22,14,13,10,20,18,7,23,21,2,22,18,6,5
112,13,12,23,14,13,11,19,19,8,23,21,2,22,17,5,5
113,14,13,24,14,14,12,18,19,9,23,21,2,22,17,5,6
114,15,13,25,15,15,13,17,19,9,24,20,1,23,17,5,6
115,16,13,25,16,15,14,16,19,9,24,19,1,23,16,4,6
116,17,14,25,17,15,15,16,20,9,24,18,1,23,16,4,6
117,18,14,25,18,16,16,16,20,9,23,17,2,22,16,4,7
118,18,14,25,18,16,17,15,20,9,22,17,3,21,15,4,8
119,18,15,24,18,16,18,14,21,9,21,17,4,20,14,3,9
120,19,15,23,19,16,19,14,22,10,20,16,5,19,13,3,9
121,20,15,22,20,17,20,14,23,11,19,16,5,18,12,3,9
122,21,16,21,20,17,21,13,23,11,18,16,5,18,11,2,10
123,22,16,20,20,17,22,12,23,11,17,15,6,18,10,1,10
124,23,16,19,21,18,22,12,24,12,17,15,7,17,10,1,10
125,23,17,18,22,19,22,12,24,12,17,15,8,16,10,1,11
126,23,18,17,22,20,21,12,24,12,16,15,9,15,10,2,12
127,24,19,16,22,20,20,12,25,13,15,14,9,14,9,2,13
128,25,20,15,23,20,19,12,25,13,14,13,9,13,8,2,14
129,25,21,14,23,21,18,12,25,13,13,13,10,13,8,3,15
130,25,21,13,23,21,18,11,24,14,12,13,11,13,8,4,16
131,24,21,12,24,21,18,11,23,14,11,12,11,12,7,5,16
132,23,22,11,24,22,17,11,22,14,10,12,11,11,7,6,16
133,22,22,10,24,23,16,10,21,15,9,12,12,10,7,7,17
134,21,22,9,25,23,16,9,20,15,8,11,13,9,6,8,17
