id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,5,0,15,38,15,23,38,0
passenger2,7,6,0,6,61,6,55,61,1
passenger3,9,17,0,8,18,8,10,18,2
passenger4,10,9,0,9,50,9,41,50,3
passenger5,13,16,1,13,18,12,5,17,4
passenger6,1,23,1,1,31,0,30,30,5
passenger7,23,16,1,23,34,22,11,33,6
passenger8,15,18,1,15,22,14,7,21,7
passenger9,12,10,2,13,37,11,24,35,8
passenger10,9,4,2,10,73,8,63,71,9
passenger11,22,9,2,25,46,23,21,44,10
passenger12,8,25,2,9,28,7,19,26,11
passenger13,13,16,2,14,19,12,5,17,12
passenger14,7,19,3,11,25,8,14,22,13
passenger15,12,4,4,15,61,11,46,57,14
passenger16,21,11,4,30,46,26,16,42,15
passenger17,17,9,4,18,30,14,12,26,0
passenger18,15,20,4,16,23,12,7,19,1
passenger19,23,6,4,32,62,28,30,58,2
passenger20,17,23,4,18,26,14,8,22,3
passenger21,17,4,4,21,60,17,39,56,4
passenger22,5,6,5,7,10,2,3,5,5
passenger23,3,19,6,59,91,53,32,85,6
passenger24,25,13,6,31,49,25,18,43,7
passenger25,15,20,6,18,25,12,7,19,8
passenger26,11,12,6,14,17,8,3,11,9
passenger27,15,8,7,16,49,9,33,42,10
passenger28,2,15,7,65,100,58,35,93,11
passenger29,21,2,8,28,73,20,45,65,12
passenger30,6,7,8,8,11,0,3,3,13
passenger31,21,13,9,26,44,17,18,35,14
passenger32,14,17,9,17,22,8,5,13,15
passenger33,7,18,9,34,77,25,43,68,0
passenger34,1,3,9,70,74,61,4,65,1
passenger35,21,17,9,26,45,17,19,36,2
passenger36,5,11,10,56,84,46,28,74,3
passenger37,2,17,10,66,95,56,29,85,4
passenger38,19,7,10,25,67,15,42,57,5
passenger39,9,6,10,45,54,35,9,44,6
passenger40,10,7,11,54,59,43,5,48,7
passenger41,7,11,12,42,68,30,26,56,8
passenger42,22,20,12,29,41,17,12,29,9
passenger43,8,24,12,49,95,37,46,83,10
passenger44,6,23,12,55,118,43,63,106,11
passenger45,8,14,12,59,95,47,36,83,12
passenger46,6,20,12,58,100,46,42,88,13
passenger47,8,22,13,55,99,42,44,86,14
passenger48,3,13,13,60,82,47,22,69,15
passenger49,4,23,14,41,84,27,43,70,0
passenger50,11,17,14,52,94,38,42,80,1
passenger51,22,14,14,29,52,15,23,38,2
passenger52,2,6,14,63,73,49,10,59,3
passenger53,6,23,14,54,105,40,51,91,4
passenger54,23,12,16,31,54,15,23,38,5
passenger55,23,7,16,23,51,7,28,35,6
passenger56,17,10,17,19,54,2,35,37,7
passenger57,7,11,17,42,68,25,26,51,8
passenger58,9,6,18,62,69,44,7,51,9
passenger59,9,4,18,46,55,28,9,37,10
passenger60,25,10,18,28,47,10,19,29,11
passenger61,3,15,19,70,98,51,28,79,12
passenger62,23,9,19,31,51,12,20,32,13
passenger63,22,16,19,29,37,10,8,18,14
passenger64,19,8,19,26,53,7,27,34,15
passenger65,1,9,21,46,60,25,14,39,0
passenger66,24,20,21,29,37,8,8,16,1
passenger67,20,22,22,23,29,1,6,7,2
passenger68,10,9,22,47,50,25,3,28,3
passenger69,24,15,23,30,41,7,11,18,4
passenger70,8,7,23,64,67,41,3,44,5
passenger71,22,2,23,26,62,3,36,39,6
passenger72,2,19,24,66,93,42,27,69,7
passenger73,1,5,24,52,58,28,6,34,8
passenger74,25,11,25,34,56,9,22,31,9
passenger75,19,13,25,30,38,5,8,13,10
passenger76,3,5,25,62,76,37,14,51,11
passenger77,20,3,25,25,70,0,45,45,12
passenger78,15,9,26,41,51,15,10,25,13
passenger79,10,24,26,51,103,25,52,77,14
passenger80,16,9,26,39,50,13,11,24,15
passenger81,10,18,26,27,77,1,50,51,0
passenger82,1,6,26,70,79,44,9,53,1
passenger83,16,3,27,48,67,21,19,40,2
passenger84,20,14,27,31,41,4,10,14,3
passenger85,6,19,27,54,99,27,45,72,4
passenger86,25,11,28,37,57,9,20,29,5
passenger87,8,15,28,48,83,20,35,55,6
passenger88,2,13,28,66,81,38,15,53,7
passenger89,1,11,28,52,68,24,16,40,8
passenger90,19,23,29,44,112,15,68,83,9
passenger91,3,7,29,58,64,29,6,35,10
passenger92,11,15,29,44,100,15,56,71,11
passenger93,25,18,29,34,43,5,9,14,12
passenger94,14,2,30,44,66,14,22,36,13
passenger95,3,4,31,64,67,33,3,36,14
passenger96,17,9,31,36,50,5,14,19,15
passenger97,7,17,32,34,74,2,40,42,0
passenger98,21,11,32,34,52,2,18,20,1
passenger99,23,19,33,33,41,0,8,8,2
passenger100,18,22,33,35,109,2,74,76,3
passenger101,5,19,33,57,99,24,42,66,4
passenger102,24,25,33,34,37,1,3,4,5
passenger103,15,19,34,37,91,3,54,57,6
passenger104,23,22,34,35,38,1,3,4,7
passenger105,23,21,34,92,96,58,4,62,8
passenger106,10,19,35,59,100,24,41,65,9
passenger107,11,21,35,42,88,7,46,53,10
passenger108,21,24,35,112,121,77,9,86,11
passenger109,15,12,35,48,53,13,5,18,12
passenger110,5,16,35,61,88,26,27,53,13
passenger111,15,13,36,40,44,4,4,8,14
passenger112,17,22,36,36,97,0,61,61,15
passenger113,4,11,36,41,64,5,23,28,0
passenger114,19,21,37,40,104,3,64,67,1
passenger115,20,22,37,38,108,1,70,71,2
passenger116,25,16,37,116,129,79,13,92,3
passenger117,7,15,37,51,89,14,38,52,4
passenger118,18,3,38,46,73,8,27,35,5
passenger119,19,14,38,91,120,53,29,82,6
passenger120,24,6,38,104,140,66,36,102,7
passenger121,23,12,38,92,113,54,21,75,8
passenger122,15,17,38,50,94,12,44,56,9
passenger123,15,23,39,78,92,39,14,53,10
passenger124,5,19,39,58,108,19,50,69,11
passenger125,25,6,40,118,153,78,35,113,12
passenger126,7,12,40,55,80,15,25,40,13
passenger127,19,24,40,92,103,52,11,63,14
passenger128,20,12,40,93,121,53,28,81,15
passenger129,17,6,41,74,107,33,33,66,0
passenger130,12,5,41,49,64,8,15,23,1
passenger131,1,22,41,71,108,30,37,67,2
passenger132,21,13,42,106,136,64,30,94,3
passenger133,1,3,42,69,73,27,4,31,4
passenger134,3,18,43,73,102,30,29,59,5
passenger135,6,7,43,54,69,11,15,26,6
passenger136,22,20,43,100,112,57,12,69,7
passenger137,8,15,43,63,76,20,13,33,8
passenger138,6,22,43,69,109,26,40,66,9
passenger139,3,19,43,58,84,15,26,41,10
passenger140,13,19,43,94,108,51,14,65,11
passenger141,12,4,44,53,67,9,14,23,12
passenger142,19,16,44,97,122,53,25,78,13
passenger143,12,10,44,47,51,3,4,7,14
passenger144,9,13,45,50,82,5,32,37,15
passenger145,7,8,45,54,57,9,3,12,0
passenger146,7,1,45,58,70,13,12,25,1
passenger147,24,6,46,112,142,66,30,96,2
passenger148,5,4,46,56,59,10,3,13,3
passenger149,25,12,47,111,134,64,23,87,4
passenger150,9,11,47,61,87,14,26,40,5
passenger151,3,8,47,59,72,12,13,25,6
passenger152,7,21,48,59,97,11,38,49,7
passenger153,2,11,48,49,68,1,19,20,8
passenger154,20,21,48,103,106,55,3,58,9
passenger155,13,6,48,74,135,26,61,87,10
passenger156,9,6,50,50,55,0,5,5,11
passenger157,17,8,51,102,147,51,45,96,12
passenger158,16,17,51,88,91,37,3,40,13
passenger159,24,10,52,103,130,51,27,78,14
passenger160,25,11,52,104,124,52,20,72,15
passenger161,18,17,52,77,92,25,15,40,0
passenger162,21,12,52,104,131,52,27,79,1
passenger163,20,9,53,104,135,51,31,82,2
passenger164,13,18,53,88,99,35,11,46,3
passenger165,16,2,54,92,160,38,68,106,4
passenger166,21,19,54,107,123,53,16,69,5
passenger167,3,25,54,59,105,5,46,51,6
passenger168,17,3,54,89,147,35,58,93,7
passenger169,13,21,55,72,88,17,16,33,8
passenger170,7,24,55,66,115,11,49,60,9
passenger171,11,6,55,70,135,15,65,80,10
passenger172,9,14,56,86,97,30,11,41,11
passenger173,18,24,56,105,115,49,10,59,12
passenger174,5,25,57,61,111,4,50,54,13
passenger175,14,4,57,83,144,26,61,87,14
passenger176,24,9,57,101,130,44,29,73,15
passenger177,16,18,58,71,77,13,6,19,0
passenger178,1,6,58,70,79,12,9,21,1
passenger179,18,9,58,98,135,40,37,77,2
passenger180,1,21,58,66,106,8,40,48,3
passenger181,4,3,59,60,63,1,3,4,4
passenger182,15,3,59,97,155,38,58,96,5
passenger183,17,14,59,87,120,28,33,61,6
passenger184,17,13,60,89,123,29,34,63,7
passenger185,20,17,60,85,104,25,19,44,8
passenger186,11,1,60,86,162,26,76,102,9
passenger187,7,4,60,64,141,4,77,81,10
passenger188,1,7,60,68,80,8,12,20,11
passenger189,6,2,61,63,73,2,10,12,12
passenger190,8,13,61,74,83,13,9,22,13
passenger191,5,7,61,70,74,9,4,13,14
passenger192,1,2,61,64,67,3,3,6,15
passenger193,4,12,62,113,137,51,24,75,0
passenger194,17,20,62,94,101,32,7,39,1
passenger195,16,24,62,92,112,30,20,50,2
passenger196,7,20,63,76,103,13,27,40,3
passenger197,24,15,64,108,125,44,17,61,4
passenger198,22,4,64,110,152,46,42,88,5
passenger199,22,15,65,98,117,33,19,52,6
passenger200,6,2,65,72,150,7,78,85,7
passenger201,18,11,66,81,116,15,35,50,8
passenger202,8,10,67,79,83,12,4,16,9
passenger203,25,11,68,98,120,30,22,52,10
passenger204,2,7,69,71,80,2,9,11,11
passenger205,4,18,70,77,105,7,28,35,12
passenger206,21,22,70,103,106,33,3,36,13
passenger207,16,20,70,87,95,17,8,25,14
passenger208,11,16,71,78,87,7,9,16,15
passenger209,3,14,71,116,141,45,25,70,0
passenger210,14,1,72,89,158,17,69,86,1
passenger211,14,19,73,88,101,15,13,28,2
passenger212,10,14,73,81,91,8,10,18,3
passenger213,8,7,73,80,145,7,65,72,4
passenger214,4,9,74,76,83,2,7,9,5
passenger215,21,24,74,95,102,21,7,28,6
passenger216,16,12,75,86,126,11,40,51,7
passenger217,11,16,76,116,159,40,43,83,8
passenger218,20,11,76,103,138,27,35,62,9
passenger219,15,12,76,78,117,2,39,41,10
passenger220,8,2,76,83,161,7,78,85,11
passenger221,11,18,76,88,105,12,17,29,12
passenger222,18,25,76,94,111,18,17,35,13
passenger223,1,20,77,151,192,74,41,115,14
passenger224,20,11,77,93,124,16,31,47,15
passenger225,8,9,77,103,130,26,27,53,0
passenger226,18,22,78,97,107,19,10,29,1
passenger227,17,13,78,95,127,17,32,49,2
passenger228,17,2,78,96,159,18,63,81,3
passenger229,16,2,78,92,160,14,68,82,4
passenger230,24,23,78,114,117,36,3,39,5
passenger231,13,10,79,79,130,0,51,51,6
passenger232,19,16,79,93,118,14,25,39,7
passenger233,18,13,80,81,110,1,29,30,8
passenger234,6,2,80,151,159,71,8,79,9
passenger235,8,14,81,129,165,48,36,84,10
passenger236,11,13,81,90,94,9,4,13,11
passenger237,7,24,81,82,115,1,33,34,12
passenger238,10,22,82,134,203,52,69,121,13
passenger239,10,12,82,130,172,48,42,90,14
passenger240,16,7,82,87,134,5,47,52,15
passenger241,6,10,82,107,133,25,26,51,0
passenger242,21,4,82,104,149,22,45,67,1
passenger243,11,17,82,83,95,1,12,13,2
passenger244,18,11,83,99,142,16,43,59,3
passenger245,3,1,83,157,163,74,6,80,4
passenger246,12,21,83,90,107,7,17,24,5
passenger247,1,23,83,147,191,64,44,108,6
passenger248,17,1,83,89,153,6,64,70,7
passenger249,9,6,84,120,127,36,7,43,8
passenger250,24,14,84,115,131,31,16,47,9
passenger251,9,7,84,126,132,42,6,48,10
passenger252,15,1,85,100,164,15,64,79,11
passenger253,7,5,85,150,156,65,6,71,12
passenger254,16,17,86,88,91,2,3,5,13
passenger255,12,4,86,126,144,40,18,58,14
passenger256,10,22,86,127,182,41,55,96,15
passenger257,6,5,86,107,110,21,3,24,0
passenger258,3,21,86,152,200,66,48,114,1
passenger259,3,15,87,151,179,64,28,92,2
passenger260,25,17,87,116,126,29,10,39,3
passenger261,11,6,87,137,148,50,11,61,4
passenger262,1,4,87,161,166,74,5,79,5
passenger263,24,4,88,102,140,14,38,52,6
passenger264,1,21,88,153,187,65,34,99,7
passenger265,11,9,88,116,120,28,4,32,8
passenger266,18,14,89,97,131,8,34,42,9
passenger267,23,12,89,92,117,3,25,28,10
passenger268,18,22,89,105,115,16,10,26,11
passenger269,12,8,89,91,147,2,56,58,12
passenger270,25,6,89,111,144,22,33,55,13
passenger271,1,15,90,151,181,61,30,91,14
passenger272,25,3,90,104,144,14,40,54,15
passenger273,22,21,91,155,168,64,13,77,0
passenger274,24,11,91,111,134,20,23,43,1
passenger275,7,13,92,139,173,47,34,81,2
passenger276,4,22,92,153,191,61,38,99,3
passenger277,17,13,92,95,131,3,36,39,4
passenger278,13,18,92,93,102,1,9,10,5
passenger279,14,21,92,120,187,28,67,95,6
passenger280,24,16,93,104,118,11,14,25,7
passenger281,19,8,93,100,123,7,23,30,8
passenger282,1,11,94,162,180,68,18,86,9
passenger283,22,4,94,103,141,9,38,47,10
passenger284,14,5,94,97,154,3,57,60,11
passenger285,11,4,95,140,159,45,19,64,12
passenger286,19,21,95,97,103,2,6,8,13
passenger287,19,18,95,110,113,15,3,18,14
passenger288,6,14,95,137,168,42,31,73,15
passenger289,3,10,95,116,133,21,17,38,0
passenger290,13,17,95,128,188,33,60,93,1
passenger291,3,21,95,151,193,56,42,98,2
passenger292,12,23,96,139,194,43,55,98,3
passenger293,14,18,96,128,192,32,64,96,4
passenger294,21,4,96,107,152,11,45,56,5
passenger295,13,1,96,123,147,27,24,51,6
passenger296,12,21,97,126,187,29,61,90,7
passenger297,22,8,97,171,205,74,34,108,8
passenger298,10,14,98,141,185,43,44,87,9
passenger299,10,5,98,123,138,25,15,40,10
passenger300,8,11,98,147,178,49,31,80,11
passenger301,13,24,98,134,212,36,78,114,12
passenger302,14,10,99,126,134,27,8,35,13
passenger303,17,20,99,116,192,17,76,93,14
passenger304,11,13,99,124,165,25,41,66,15
passenger305,6,22,100,107,155,7,48,55,0
passenger306,22,5,100,107,146,7,39,46,1
passenger307,9,7,100,135,139,35,4,39,2
passenger308,24,2,100,113,159,13,46,59,3
passenger309,6,8,101,148,172,47,24,71,4
passenger310,15,7,101,131,145,30,14,44,5
passenger311,14,19,101,120,181,19,61,80,6
