tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,2,1,2,2,1,1,1,1,1,1,1,1
3,4,4,4,4,3,1,3,3,2,2,2,2,2,1,1,1
4,5,5,5,5,4,2,4,4,3,3,3,3,3,2,1,1
5,6,6,6,6,5,3,5,5,4,4,4,4,4,3,2,2
6,7,7,7,7,6,4,6,6,5,5,5,5,5,4,3,3
7,8,7,8,8,7,5,7,7,6,6,6,6,6,5,4,4
8,9,7,9,9,8,5,8,8,7,7,7,7,7,6,5,5
9,10,8,9,10,9,5,9,9,8,8,8,8,8,6,6,6
10,11,9,9,10,10,6,10,10,9,9,9,8,9,6,7,7
11,12,10,10,10,11,6,11,11,10,9,10,8,10,7,8,8
12,13,11,11,11,12,6,12,12,11,9,11,9,11,7,9,9
13,14,12,12,12,13,7,13,13,12,10,12,10,12,7,10,10
14,15,13,13,13,13,8,14,14,12,11,13,11,13,8,11,11
15,16,14,14,14,13,9,15,15,12,11,14,12,13,9,12,12
16,16,15,15,15,14,10,16,15,13,11,15,13,13,10,12,13
17,16,15,16,16,15,11,17,15,14,12,15,14,14,11,12,14
18,17,15,17,17,16,12,18,16,15,12,15,15,15,12,13,14
19,17,16,17,17,16,13,19,17,15,12,16,16,16,13,14,14
20,17,17,17,17,16,14,20,17,15,13,17,17,16,14,15,15
21,16,18,18,18,17,15,21,17,16,14,18,18,16,15,16,16
22,15,19,19,19,17,16,22,18,17,15,19,19,17,16,17,17
23,14,20,20,20,17,17,23,18,18,16,20,20,18,17,18,17
24,13,20,20,21,18,18,23,18,19,17,21,21,19,18,19,17
25,12,20,20,22,19,19,23,19,20,18,22,22,20,19,20,18
26,11,21,21,23,20,19,22,20,20,19,22,23,20,19,21,19
27,10,22,21,23,21,19,22,21,20,20,22,24,20,19,21,19
28,10,23,21,23,22,20,22,22,19,21,21,25,21,20,21,19
29,10,24,22,22,23,21,21,23,18,22,20,25,21,21,22,20
30,9,24,22,21,24,22,20,24,17,22,19,25,21,22,22,21
31,9,24,22,20,24,23,19,25,16,22,19,24,22,23,22,21
32,9,23,23,20,24,23,18,25,15,23,19,23,23,23,21,21
33,8,22,23,20,23,23,17,25,14,24,18,22,24,23,20,20
34,7,21,23,19,22,24,16,24,13,25,17,21,25,22,19,19
35,7,21,23,18,21,24,16,23,12,25,16,20,25,21,18,18
36,7,21,22,18,20,24,16,23,11,25,15,19,25,20,17,17
37,6,20,21,18,19,25,15,23,10,24,14,18,24,19,16,17
38,5,20,20,17,18,25,15,22,10,23,13,17,23,18,16,17
39,5,20,20,16,17,25,15,22,10,22,13,16,22,17,16,16
40,5,19,20,15,16,24,14,22,9,21,13,15,21,16,15,16
41,4,19,19,14,15,23,13,21,8,20,12,14,20,15,15,16
42,4,19,19,14,15,22,12,20,7,20,11,13,19,15,15,15
43,4,18,19,14,15,21,11,19,7,20,11,12,18,15,14,14
44,3,17,18,13,14,20,10,18,7,19,11,11,18,14,13,13
45,2,16,17,12,13,19,9,17,6,19,10,11,18,14,13,12
46,1,15,17,11,12,18,9,16,5,19,9,11,17,14,13,11
47,1,14,17,10,11,18,9,15,4,18,9,10,16,13,12,11
48,1,13,16,10,10,18,8,14,3,17,9,10,15,12,12,11
49,2,12,16,10,9,17,8,13,2,16,8,10,15,11,12,10
50,3,12,16,9,8,16,8,13,2,15,8,9,15,10,11,9
51,4,12,15,9,7,15,7,13,2,15,8,9,14,9,10,9
52,5,11,14,9,7,14,7,12,1,15,7,9,13,9,10,9
53,6,11,14,8,7,13,7,11,1,14,6,8,12,9,10,8
54,7,11,14,7,6,12,6,10,1,13,5,7,12,8,9,8
55,7,10,13,6,6,12,6,10,2,12,4,6,12,7,8,8
56,7,9,12,5,6,12,6,10,3,11,4,6,11,7,8,7
57,8,8,11,5,5,11,5,9,4,11,4,6,10,7,8,6
58,8,7,10,5,5,11,4,8,5,11,3,5,9,6,7,5
59,8,7,9,4,5,11,3,7,5,10,3,5,8,6,6,4
60,9,7,8,4,4,10,3,7,5,10,3,5,8,6,5,3
61,9,6,7,4,4,9,3,7,6,10,4,4,8,5,4,3
62,9,6,6,3,4,9,2,6,7,9,5,3,7,5,4,3
63,10,6,6,2,3,9,2,5,8,9,6,3,6,5,4,2
64,11,5,6,2,3,8,2,4,8,9,7,3,6,4,3,1
65,11,5,5,2,3,8,3,3,8,8,7,2,6,3,3,1
66,11,5,4,1,2,8,4,2,9,7,7,2,5,2,3,1
67,12,4,3,1,2,7,5,2,10,7,8,2,4,2,4,2
68,13,3,3,1,2,7,6,2,11,7,9,1,4,2,4,2
69,14,2,3,2,1,7,7,3,11,6,10,1,4,3,4,2
70,15,1,2,3,1,6,7,4,11,6,11,1,3,4,5,3
71,16,1,1,4,1,5,7,5,12,6,11,2,3,5,5,4
72,16,1,1,5,2,4,8,6,13,5,11,2,3,6,5,5
73,16,2,1,6,3,3,8,6,13,4,12,2,2,7,6,6
74,17,3,2,6,3,3,8,6,13,4,13,3,2,8,7,7
75,17,3,3,6,3,3,9,7,14,4,13,4,2,8,7,8
76,17,3,4,7,4,4,10,8,15,5,13,5,3,8,7,9
77,18,4,5,7,5,4,11,9,15,6,14,5,4,9,8,10
78,18,5,6,7,6,4,12,10,15,7,15,5,4,10,9,11
79,18,6,7,8,7,5,13,11,16,8,15,6,4,11,10,11
80,19,6,8,9,8,6,13,12,17,8,15,7,5,12,11,11
81,20,6,9,10,8,7,13,13,18,8,16,7,6,12,12,12
82,21,7,10,10,8,8,14,13,18,9,17,7,7,12,13,13
83,22,8,11,10,9,9,15,13,18,10,18,8,7,13,14,13
84,23,9,11,11,10,9,15,14,19,10,19,8,7,13,14,13
85,23,10,11,11,11,9,15,15,20,10,19,8,8,13,14,14
86,23,11,12,11,12,10,16,16,20,11,19,9,9,14,15,15
87,22,12,13,12,13,11,17,16,20,11,20,9,10,15,16,16
88,21,13,14,13,14,11,17,16,21,11,21,9,11,16,16,16
89,20,14,14,13,15,11,17,17,21,12,21,10,11,16,16,16
90,19,14,14,13,15,12,18,17,21,13,21,11,11,16,17,17
91,18,14,15,14,15,12,19,17,22,14,22,11,12,17,18,18
92,17,15,16,14,16,12,19,18,23,15,23,11,12,17,19,19
93,17,16,16,14,16,13,19,19,23,16,23,12,12,17,19,20
94,17,17,16,15,16,13,20,19,23,17,23,13,13,18,19,20
95,16,17,17,16,17,13,21,19,22,17,24,13,14,18,20,20
96,15,17,17,17,17,14,21,20,21,17,24,13,14,18,20,21
97,14,18,17,17,17,15,21,21,21,18,24,14,14,19,20,22
98,13,18,18,17,18,15,22,21,21,18,25,14,15,19,21,22
99,12,18,18,18,19,15,22,21,20,18,25,14,15,19,22,22
100,11,19,18,18,19,16,22,22,19,19,25,15,15,20,22,23
101,10,20,19,18,19,17,23,22,19,19,24,15,16,20,22,24
102,9,20,19,19,20,18,24,22,19,19,23,15,17,20,23,24
103,8,20,19,20,21,18,24,23,18,20,22,16,17,21,24,24
104,8,21,20,20,22,18,24,24,17,20,22,17,17,21,24,25
105,8,21,20,20,23,19,25,24,17,20,22,18,18,21,24,25
106,7,21,20,21,23,20,25,24,17,21,21,18,18,22,23,25
107,6,22,21,21,23,21,25,23,16,21,20,18,18,22,22,24
108,6,22,22,21,24,21,24,22,15,21,19,19,19,22,21,23
109,6,22,22,22,24,21,23,21,14,22,18,19,20,23,20,22
110,5,23,22,22,24,22,22,21,13,22,17,19,21,24,19,21
111,5,24,23,22,25,22,21,21,13,22,16,20,22,25,19,20
112,5,24,24,23,25,22,20,20,13,23,15,21,22,25,19,19
113,4,24,24,24,25,23,19,20,12,23,14,21,22,25,18,18
114,4,23,24,24,24,24,18,20,12,23,14,21,23,24,18,17
115,4,22,23,24,23,24,17,19,12,24,14,22,24,23,18,16
116,3,21,22,25,22,24,16,18,11,24,13,22,24,22,17,16
117,3,20,21,25,21,23,15,17,11,24,12,22,24,21,17,16
118,3,19,20,25,20,23,15,16,11,23,12,23,25,20,17,15
119,2,18,19,24,19,23,15,16,10,22,12,23,25,19,17,14
120,2,17,18,23,18,22,14,16,9,21,11,23,25,18,16,13
121,2,17,17,22,18,21,14,15,9,20,11,24,24,17,15,12
122,3,17,16,21,18,20,14,14,9,19,11,24,23,16,14,12
123,4,16,15,20,17,19,13,13,8,18,10,24,22,16,13,12
124,4,16,15,19,16,19,13,13,8,18,10,23,21,16,13,11
125,4,16,15,18,15,19,13,13,8,18,10,22,20,15,13,11
126,5,15,14,17,15,18,12,12,7,17,9,21,19,14,12,11
127,6,14,13,17,15,17,11,12,6,17,9,20,18,14,12,10
128,7,13,13,17,14,17,11,12,6,17,9,19,17,14,12,10
129,8,13,13,16,14,17,11,11,6,16,8,18,16,13,11,10
130,9,13,12,16,14,16,10,10,5,15,8,17,15,12,10,9
131,9,12,12,16,13,15,10,9,5,14,8,16,15,11,10,9
132,9,12,12,15,13,15,10,9,5,14,7,15,15,11,10,9
133,10,12,11,14,13,15,9,9,4,14,7,15,14,11,9,8
134,10,11,10,14,12,14,8,8,4,13,7,15,13,10,9,7
