id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,16,5,0,21,36,21,15,36,6
passenger2,7,6,0,6,15,6,9,15,0
passenger3,9,17,0,8,26,8,18,26,7
passenger4,10,9,0,9,40,9,31,40,8
passenger5,13,16,1,16,21,15,5,20,6
passenger6,1,23,1,1,34,0,33,33,11
passenger7,23,16,1,35,52,34,17,51,12
passenger8,15,18,1,17,22,16,5,21,13
passenger9,12,10,2,17,35,15,18,33,7
passenger10,9,4,2,10,21,8,11,19,0
passenger11,22,9,2,32,65,30,33,63,12
passenger12,8,25,2,8,42,6,34,40,13
passenger13,13,16,2,14,21,12,7,19,8
passenger14,7,19,3,7,25,4,18,22,12
passenger15,12,4,4,13,39,9,26,35,6
passenger16,21,11,4,30,66,26,36,62,13
passenger17,17,9,4,26,38,22,12,34,7
passenger18,15,20,4,17,28,13,11,24,12
passenger19,23,6,4,38,73,34,35,69,13
passenger20,17,23,4,21,35,17,14,31,12
passenger21,17,4,4,24,49,20,25,45,8
passenger22,5,6,5,18,25,13,7,20,0
passenger23,3,19,6,81,107,75,26,101,11
passenger24,25,13,6,42,62,36,20,56,13
passenger25,15,20,6,17,28,11,11,22,12
passenger26,11,12,6,10,13,4,3,7,6
passenger27,15,8,7,22,41,15,19,34,7
passenger28,2,15,7,8,37,1,29,30,9
passenger29,21,2,8,30,79,22,49,71,13
passenger30,6,7,8,15,28,7,13,20,0
passenger31,21,13,9,30,62,21,32,53,13
passenger32,14,17,9,17,24,8,7,15,8
passenger33,7,18,9,9,25,0,16,16,11
passenger34,1,3,9,9,13,0,4,4,1
passenger35,21,17,9,30,52,21,22,43,13
passenger36,5,11,10,17,29,7,12,19,9
passenger37,2,17,10,10,42,0,32,32,9
passenger38,19,7,10,25,71,15,46,61,12
passenger39,9,6,10,10,15,0,5,5,0
passenger40,10,7,11,11,44,0,33,33,7
passenger41,7,11,12,44,52,32,8,40,7
passenger42,22,20,12,32,44,20,12,32,12
passenger43,8,24,12,12,37,0,25,25,11
passenger44,6,23,12,76,117,64,41,105,11
