tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
2,3,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1
3,4,1,1,1,1,1,4,4,4,1,1,1,3,3,1,1
4,5,1,1,1,1,1,5,5,5,1,1,2,4,4,1,1
5,6,1,1,1,1,1,6,6,6,1,1,3,5,5,1,1
6,7,1,1,1,1,1,7,7,7,1,1,4,6,6,1,1
7,7,1,1,1,1,1,8,8,8,1,1,5,7,7,1,1
8,7,1,1,1,1,1,9,9,9,2,1,6,7,8,1,1
9,8,1,1,1,1,1,10,9,10,2,1,7,7,8,1,1
10,9,1,1,1,1,1,11,9,10,2,1,7,8,8,1,1
11,9,1,1,1,1,1,11,10,10,2,1,7,9,9,1,1
12,9,2,1,1,1,1,11,10,11,2,1,8,10,10,1,1
13,8,3,1,1,1,1,12,10,12,3,1,8,11,11,1,1
14,7,3,1,1,1,1,12,11,13,3,1,8,12,12,1,1
15,6,3,1,1,1,1,12,11,13,3,1,8,13,13,2,1
16,6,2,1,1,1,1,13,11,13,4,1,9,14,14,3,1
17,6,2,1,1,1,1,13,12,14,5,1,10,15,15,4,1
18,5,2,1,1,1,1,13,12,14,5,1,11,15,15,4,1
19,5,3,1,1,1,1,14,12,14,5,1,12,15,15,4,1
20,5,4,1,1,1,1,15,13,15,6,2,13,16,16,5,1
21,4,5,1,1,1,1,16,14,16,7,3,14,17,17,6,1
22,4,6,1,1,1,1,16,15,16,7,3,15,17,18,7,1
23,4,6,1,1,1,1,16,15,16,7,3,16,17,18,8,1
24,5,6,2,1,1,1,15,15,17,8,4,17,18,18,9,1
25,6,7,3,1,1,1,14,16,17,9,5,18,19,19,10,2
26,6,8,3,1,1,1,13,17,17,10,6,18,19,20,11,2
27,6,8,3,2,1,1,12,17,16,10,7,18,19,20,12,2
28,7,8,4,3,1,1,11,17,16,10,8,19,20,20,13,3
29,7,7,5,4,2,1,10,16,16,11,8,20,20,20,14,4
30,7,7,5,5,3,1,9,15,15,11,8,21,20,21,15,5
31,8,7,5,5,4,1,8,14,14,11,9,22,21,21,16,6
32,9,7,6,5,5,1,7,13,14,12,10,22,22,21,17,6
33,9,7,7,4,6,1,7,12,14,13,11,22,22,21,18,6
34,9,7,8,3,6,1,7,11,13,13,12,23,22,21,18,7
35,8,7,9,3,6,1,6,10,12,13,13,23,23,22,18,8
36,7,7,9,3,5,1,5,10,11,14,14,23,23,22,19,9
37,6,7,9,4,4,1,5,10,10,15,15,24,23,22,20,10
38,6,7,9,5,3,1,5,9,10,15,15,24,24,23,20,10
39,6,7,9,6,3,1,4,9,10,15,15,24,25,23,20,10
40,5,7,9,7,3,1,4,9,9,15,14,24,24,23,21,11
