tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
5,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1
6,5,5,5,5,4,4,4,4,1,1,1,1,1,1,1,1
7,6,6,6,6,5,5,5,5,1,1,2,2,2,1,1,1
8,7,6,7,7,6,6,6,6,1,1,2,3,3,1,1,1
9,8,6,8,7,7,7,7,7,1,2,2,4,4,1,1,1
10,9,6,8,7,8,8,8,8,1,3,3,5,5,1,1,1
11,10,6,8,7,9,9,9,9,1,4,4,5,6,1,1,1
12,11,6,8,7,10,10,10,9,1,5,5,5,7,1,1,1
13,12,6,8,7,10,11,11,9,1,6,6,6,8,1,1,1
14,13,6,8,7,10,12,11,9,1,7,7,7,9,1,1,1
15,14,6,8,7,10,13,11,9,1,8,8,8,10,1,1,1
16,15,6,8,7,10,14,11,9,1,9,9,9,11,1,1,1
17,16,6,8,7,10,15,11,9,1,10,10,10,12,1,2,2
18,16,6,8,7,10,16,11,9,1,10,10,11,13,1,3,3
19,16,6,8,7,10,17,11,9,2,10,10,12,14,2,4,4
20,16,5,8,7,10,17,11,9,3,11,10,13,15,3,5,5
21,16,4,8,7,10,17,11,9,4,12,10,14,16,4,6,6
22,16,3,8,7,10,17,11,9,4,13,10,15,17,5,6,6
23,16,2,8,7,10,17,11,9,4,14,10,16,18,5,6,6
24,16,1,8,7,10,17,11,9,5,15,10,17,19,5,7,7
25,16,1,8,7,10,17,11,9,6,16,10,18,20,6,8,8
26,16,1,8,7,10,17,11,9,7,16,10,19,21,6,8,9
27,16,2,8,7,10,17,11,9,8,16,10,20,22,6,8,10
28,16,2,8,6,10,17,11,9,9,16,10,21,22,7,9,11
29,16,2,7,5,10,17,11,9,10,16,10,22,22,7,10,11
30,16,3,6,4,10,17,11,9,11,16,10,23,23,7,11,11
31,16,4,5,3,10,17,11,9,12,16,10,23,23,8,11,12
32,16,4,4,2,10,17,11,9,12,16,10,23,23,9,11,13
33,16,4,3,1,10,17,11,9,12,16,10,23,23,9,12,13
34,16,5,2,1,10,17,11,9,13,16,10,23,23,9,13,13
35,16,6,1,1,10,17,11,9,14,16,10,23,23,10,14,14
36,16,7,1,2,10,17,11,9,14,16,10,23,23,10,15,14
37,16,8,1,3,10,17,11,9,14,16,10,23,23,10,15,14
38,16,8,2,4,10,17,11,9,15,16,10,23,23,11,15,15
39,16,8,3,5,10,17,11,8,16,16,10,23,23,12,16,16
40,16,9,3,6,9,17,11,7,16,16,10,23,23,13,17,17
41,16,10,3,6,8,17,11,6,16,16,10,23,23,14,18,18
42,16,11,4,6,7,17,11,5,17,16,10,23,23,15,18,18
43,16,12,5,7,6,17,11,4,17,16,10,23,23,16,18,18
44,16,13,6,7,5,17,11,3,17,16,10,23,23,16,19,19
45,16,14,7,7,4,17,11,2,18,16,10,23,23,16,20,19
46,16,14,7,8,3,17,11,1,18,16,10,23,23,17,21,19
47,16,14,7,9,2,17,11,1,18,16,10,23,23,18,22,20
48,16,15,8,9,1,17,11,1,19,16,10,23,23,19,22,20
49,16,16,9,9,1,17,11,2,20,16,10,23,23,20,22,20
50,16,17,10,10,1,17,11,3,21,16,10,23,23,20,23,21
51,16,17,11,11,2,17,11,4,22,16,10,23,23,20,24,22
52,16,17,12,12,3,17,11,4,23,16,9,23,23,19,25,23
53,16,18,13,12,3,17,11,4,23,16,8,23,23,18,25,23
54,16,19,14,12,3,17,11,5,23,16,7,23,23,17,25,23
55,16,19,14,13,4,17,11,5,22,16,6,23,23,16,25,24
56,16,19,14,14,5,17,11,5,21,16,5,23,23,15,25,25
57,16,20,15,14,6,17,11,6,20,16,4,23,23,14,25,25
58,16,21,16,14,7,17,11,7,19,16,3,23,23,13,25,25
59,16,21,17,15,8,17,11,7,18,16,2,23,23,12,25,25
60,16,21,18,16,8,17,11,7,17,16,1,23,23,11,25,25
61,16,20,18,17,8,17,11,8,16,16,1,23,23,10,25,25
62,16,19,18,18,9,17,11,9,15,16,1,23,23,9,25,25
63,16,18,19,19,9,17,11,10,14,16,2,23,23,8,25,25
64,16,17,20,20,9,17,11,10,13,16,2,23,23,7,25,25
65,16,16,21,20,10,17,11,10,12,16,2,23,23,6,25,25
66,16,15,22,20,10,17,11,11,11,16,3,23,23,5,25,25
67,16,14,22,21,10,17,11,11,10,16,4,23,23,4,25,25
68,16,13,22,22,11,17,11,11,9,16,5,23,23,3,25,25
69,16,12,23,22,12,17,11,12,8,16,6,23,23,2,25,25
70,16,11,23,22,13,17,11,13,7,16,7,23,23,1,25,25
71,16,10,23,23,14,17,11,14,6,16,8,23,23,1,25,25
72,16,9,22,24,15,17,11,15,5,16,9,23,23,1,25,25
73,16,8,21,24,15,17,11,16,4,16,10,23,23,2,25,25
74,16,7,20,24,15,17,11,16,3,16,10,23,23,3,25,25
75,16,6,19,23,16,17,11,16,2,16,10,23,23,3,25,25
76,16,5,18,22,17,17,11,17,1,16,11,23,23,3,25,25
77,16,4,17,21,18,17,11,18,1,16,11,23,23,4,25,25
78,16,3,16,20,19,17,11,19,1,16,11,23,23,5,25,25
79,16,2,15,19,19,17,11,20,2,16,12,23,23,5,25,25
80,16,1,14,18,19,17,11,21,3,16,13,23,23,5,25,25
81,16,1,13,17,20,17,11,22,3,16,14,23,23,6,25,25
82,16,1,12,16,20,17,11,22,3,16,15,23,23,7,25,25
83,16,2,11,15,20,17,11,22,4,16,16,23,23,7,25,25
84,16,3,10,14,21,17,10,23,5,16,16,23,23,7,25,25
85,16,3,9,13,22,17,9,23,6,16,16,23,23,8,25,25
86,16,3,8,12,23,17,8,23,7,16,17,23,23,9,25,25
87,16,4,7,11,23,17,7,24,7,16,18,23,23,9,25,25
88,16,5,6,10,23,17,6,25,7,16,18,23,23,9,25,25
89,16,6,5,9,22,17,5,25,8,16,18,23,23,10,25,25
90,16,6,4,8,21,17,4,25,9,16,19,23,23,11,25,25
91,16,6,3,7,20,17,3,24,10,16,20,23,23,12,25,25
92,16,7,2,6,19,17,2,23,11,16,21,23,23,12,25,25
93,16,7,1,5,18,17,1,22,11,16,22,23,23,12,25,25
94,16,7,1,4,17,17,1,21,11,16,23,23,23,13,25,25
95,16,8,1,3,16,17,1,20,12,16,24,23,23,14,25,25
96,16,8,2,2,15,17,2,19,13,16,24,23,23,15,25,25
97,16,8,3,1,14,17,3,18,14,16,24,23,23,15,25,25
98,16,9,4,1,13,17,4,17,15,16,23,23,23,15,25,25
99,16,10,5,1,12,17,5,16,15,16,22,23,23,16,25,25
100,16,10,6,2,11,17,6,15,15,16,21,23,23,17,25,25
101,16,10,7,3,10,17,7,14,16,16,20,23,23,17,25,25
102,16,11,7,3,9,17,7,13,17,16,19,23,23,17,25,25
103,16,11,7,3,8,17,7,12,18,16,18,23,23,18,25,25
104,16,11,8,4,7,17,8,11,19,16,17,23,23,18,25,25
105,16,12,8,4,6,17,9,10,20,16,16,23,23,18,25,25
106,16,12,8,4,5,17,10,9,20,16,15,23,23,19,25,25
107,16,12,9,5,4,17,11,8,20,16,14,23,23,20,25,25
108,16,13,10,5,3,17,12,7,21,16,13,23,23,21,25,25
109,16,14,10,5,2,17,12,6,21,16,12,23,23,21,25,25
110,16,15,10,6,1,17,12,5,21,16,11,23,23,21,25,25
111,16,16,11,6,1,17,13,4,22,16,10,23,23,22,25,25
112,16,17,11,6,1,17,14,3,22,16,9,23,23,23,25,25
113,16,17,11,7,2,17,15,2,22,16,8,23,23,23,25,25
114,16,17,12,8,3,17,15,1,23,16,7,23,23,23,25,25
115,16,18,12,9,4,17,15,1,23,16,6,23,23,22,25,25
116,16,18,12,9,4,17,16,1,23,16,5,23,23,21,25,25
117,16,18,13,9,4,17,17,2,22,16,4,23,23,20,25,25
118,16,19,13,10,5,17,17,2,21,16,3,23,23,19,25,25
119,16,20,13,11,5,17,17,2,20,16,2,23,23,18,25,25
120,16,20,14,12,5,17,18,3,19,16,1,23,23,17,25,25
121,16,20,15,12,6,17,19,3,18,16,1,23,23,16,25,25
122,16,19,16,12,6,17,20,3,17,16,1,23,23,15,25,25
123,16,18,17,13,6,17,20,4,16,16,2,23,23,14,25,25
124,15,17,18,14,7,17,20,5,15,15,3,23,23,13,25,25
125,14,16,18,15,8,17,21,6,14,14,4,23,23,12,25,25
126,13,15,18,15,9,17,22,7,13,13,4,23,23,11,25,25
127,12,14,19,15,10,17,23,8,12,12,4,23,23,10,25,25
128,11,13,20,16,11,17,23,9,11,11,5,23,23,9,25,25
129,10,12,21,17,12,17,23,9,10,10,6,23,23,8,25,25
130,9,11,22,18,12,17,24,9,9,9,7,23,23,7,25,25
131,8,10,23,19,12,17,24,10,8,8,7,23,23,6,25,25
132,7,9,23,20,13,17,24,10,7,7,7,23,23,5,25,25
133,6,8,23,21,13,17,23,10,6,6,8,23,23,4,25,25
134,5,7,22,22,13,17,22,11,5,5,9,23,23,3,25,25
135,4,6,21,22,14,17,21,12,4,4,10,23,23,2,25,25
136,3,5,20,22,15,17,20,13,3,3,11,23,23,1,25,25
137,2,4,19,23,16,17,19,14,2,2,12,23,23,1,25,25
138,1,3,18,23,17,17,18,15,1,1,12,23,23,1,25,25
139,1,2,17,23,18,17,17,16,1,1,12,23,23,2,25,25
140,1,1,16,22,19,17,16,17,1,1,13,23,23,2,25,25
141,2,1,15,21,19,17,15,18,2,2,14,23,23,2,25,25
142,2,1,14,20,19,17,14,19,3,2,15,23,23,3,25,25
143,2,2,13,19,20,17,13,19,4,2,15,23,23,4,25,25
144,3,3,12,18,20,17,12,19,5,3,15,23,23,5,25,25
145,4,4,11,17,20,17,11,20,5,4,16,23,23,6,25,25
146,4,5,10,16,21,17,10,20,5,4,16,23,23,6,25,25
147,4,5,9,15,22,17,9,20,6,4,16,23,23,6,25,25
148,5,5,8,14,23,17,8,21,7,5,17,23,23,7,25,25
149,5,6,7,13,24,17,7,22,8,5,18,23,23,7,25,25
150,5,7,6,12,25,17,6,23,9,5,19,23,23,7,25,25
151,6,7,5,11,25,17,5,23,10,6,20,23,23,8,25,25
152,7,7,4,10,25,17,4,23,11,6,20,23,23,9,25,25
153,8,8,3,9,24,17,3,24,11,6,20,23,23,10,25,25
154,8,8,2,8,23,17,2,24,11,7,21,23,23,11,25,25
155,8,8,1,7,22,17,1,24,12,8,22,23,23,12,25,25
156,9,9,1,6,21,17,1,23,13,9,23,23,23,13,25,25
157,9,10,1,5,20,17,1,22,13,10,24,23,23,14,25,25
158,9,11,2,4,19,17,2,21,13,11,25,23,23,15,25,25
159,10,12,3,3,18,17,2,20,14,11,25,23,23,16,25,25
160,11,12,4,2,17,17,2,19,15,11,25,23,23,17,25,25
161,12,12,5,1,16,17,3,18,15,12,24,23,23,18,25,25
162,13,13,6,1,15,17,4,17,15,13,23,23,23,18,25,25
163,14,14,6,1,14,17,5,16,16,13,22,23,23,18,25,25
164,15,15,6,2,13,17,6,15,16,13,21,23,23,19,25,25
165,16,16,7,3,12,16,7,14,16,14,20,23,23,19,25,25
166,16,17,7,4,11,15,7,13,17,14,19,23,23,19,25,25
167,16,18,7,5,10,14,7,12,17,14,18,23,23,20,25,25
168,17,19,8,6,9,13,8,11,17,15,17,23,23,20,25,25
169,17,19,8,7,8,12,9,10,18,16,16,23,23,20,25,25
170,17,19,8,8,7,11,10,9,19,17,15,23,23,21,25,25
171,16,20,9,9,6,10,11,8,19,17,14,23,23,22,25,25
172,15,20,10,10,5,9,12,7,19,17,13,23,23,22,25,25
173,14,20,11,10,4,8,13,6,20,18,12,23,23,22,25,25
174,13,21,12,10,3,7,13,5,21,18,11,23,23,23,25,25
175,12,21,12,11,2,6,13,4,21,18,10,23,23,24,25,25
176,11,21,12,12,1,5,14,3,21,17,9,23,23,24,25,25
177,10,22,13,12,1,4,15,2,22,16,8,23,23,24,25,25
178,9,22,14,12,1,3,16,1,23,15,7,23,23,25,25,25
179,8,22,14,13,2,2,17,1,24,14,6,23,23,25,25,25
180,7,21,14,13,3,1,17,1,24,13,5,23,23,25,25,25
181,6,20,15,13,3,1,17,2,24,12,4,23,23,24,25,25
182,5,19,16,14,3,1,18,3,23,11,3,23,23,23,25,25
183,4,18,17,14,4,2,19,4,22,10,2,23,23,22,25,25
184,3,17,18,14,4,2,19,5,21,9,1,23,23,21,25,25
185,2,16,19,15,4,2,19,6,20,8,1,23,23,20,25,25
186,1,15,19,16,5,3,20,7,19,7,1,23,23,19,25,25
187,1,14,19,17,6,4,21,8,18,6,2,23,23,18,25,25
188,1,13,20,17,7,5,21,9,17,5,2,23,23,17,25,25
189,2,12,21,17,7,5,21,10,16,4,2,23,23,16,25,25
190,3,11,21,18,7,5,22,10,15,3,3,23,23,15,25,25
191,3,10,21,19,8,6,23,10,14,2,3,23,23,14,25,25
192,3,9,22,19,9,7,24,11,13,1,3,23,23,13,25,25
193,4,8,22,19,9,7,25,11,12,1,4,23,23,12,25,25
194,5,7,22,20,9,7,25,11,11,1,5,23,23,11,25,25
195,5,6,23,20,10,8,25,12,10,2,6,23,23,10,25,25
196,5,5,24,20,11,9,24,13,9,3,7,23,23,9,25,25
197,6,4,25,19,11,10,23,13,8,4,8,23,23,8,25,25
198,7,3,25,18,11,11,22,13,7,5,8,23,23,7,25,25
199,8,2,25,17,12,11,21,14,6,5,8,23,23,6,25,25
200,8,1,24,16,12,11,20,15,5,5,9,23,23,5,25,25
201,8,1,23,15,12,12,19,16,4,6,9,23,23,4,25,25
202,9,1,22,14,13,12,18,17,3,7,9,23,23,3,25,25
203,9,2,21,13,13,12,17,17,2,7,10,23,23,2,25,25
204,9,3,20,12,13,13,16,17,1,7,11,23,23,1,25,25
205,10,3,19,11,14,14,15,18,1,8,12,23,23,1,25,25
206,11,3,18,10,15,15,14,18,1,9,12,23,23,1,25,25
207,12,4,17,9,16,16,13,18,2,10,12,23,23,2,25,25
208,13,4,16,8,17,17,12,19,3,11,13,23,23,2,25,25
209,13,4,15,7,18,18,11,20,4,12,13,23,23,2,25,25
210,13,5,14,6,19,18,10,21,5,12,13,23,23,3,25,25
211,14,6,13,5,20,18,9,21,6,12,14,23,23,3,25,25
212,15,7,12,4,21,19,8,21,7,13,15,23,23,3,25,25
213,15,7,11,3,21,20,7,20,8,14,16,23,23,4,25,25
214,15,7,10,2,21,21,6,19,8,14,16,23,23,5,25,25
215,16,8,9,1,22,21,5,18,8,14,16,23,23,6,25,25
216,17,8,8,1,23,21,4,17,9,15,17,23,23,6,25,25
217,18,8,7,1,24,22,3,16,10,16,18,23,23,6,25,25
218,19,9,6,2,25,23,2,15,11,17,19,23,23,7,25,25
219,20,10,5,2,25,23,1,14,12,17,19,23,23,8,25,25
220,20,11,4,2,25,23,1,13,13,17,19,23,23,9,25,25
221,20,11,3,3,24,22,1,12,14,18,20,23,23,9,25,25
222,21,11,2,4,23,21,2,11,14,19,21,23,23,9,25,25
223,22,12,1,5,22,20,3,10,14,20,22,23,23,10,25,25
224,23,12,1,5,21,19,4,9,15,21,23,23,23,11,25,25
225,23,12,1,5,20,18,4,8,15,21,23,23,23,12,25,25
226,23,13,2,6,19,17,4,7,15,21,23,23,23,13,25,25
227,24,14,2,7,18,16,5,6,16,22,22,23,23,14,25,25
228,24,15,2,7,17,15,6,5,17,22,21,23,23,15,25,25
229,24,15,3,7,16,14,6,4,18,22,20,23,23,15,25,25
230,23,15,4,8,15,13,6,3,18,21,19,23,23,15,25,25
231,22,16,4,8,14,12,7,2,18,20,18,23,23,16,25,25
