id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,1,16,0,0,23,0,23,23,0
passenger2,1,6,0,0,7,0,7,7,0
passenger3,1,8,0,0,13,0,13,13,0
passenger4,1,7,0,0,10,0,10,10,0
passenger5,1,10,1,1,14,0,13,13,1
passenger6,1,17,1,1,25,0,24,24,1
passenger7,1,11,1,1,17,0,16,16,1
passenger8,1,9,1,1,11,0,10,10,1
passenger9,1,14,2,2,19,0,17,17,2
passenger10,1,16,2,2,23,0,21,21,2
passenger11,1,2,2,2,5,0,3,3,2
passenger12,1,23,2,2,32,0,30,30,2
passenger13,1,23,2,2,32,0,30,30,2
passenger14,1,16,3,3,20,0,17,17,3
passenger15,1,15,4,4,26,0,22,22,4
passenger16,1,18,4,4,31,0,27,27,4
passenger17,1,12,4,4,21,0,17,17,4
passenger18,1,10,4,4,17,0,13,13,4
passenger19,1,10,4,4,17,0,13,13,4
passenger20,1,5,4,4,10,0,6,6,4
passenger21,1,22,4,4,37,0,33,33,4
passenger22,1,9,5,5,15,0,10,10,5
passenger23,1,8,6,6,15,0,9,9,6
passenger24,1,25,6,6,38,0,32,32,6
passenger25,1,14,6,6,23,0,17,17,6
passenger26,1,16,6,6,27,0,21,21,6
passenger27,1,7,7,7,15,0,8,8,7
passenger28,1,8,7,7,18,0,11,11,7
passenger29,1,19,8,8,30,0,22,22,8
passenger30,1,12,8,8,21,0,13,13,8
passenger31,1,5,9,9,15,0,6,6,9
passenger32,1,22,9,9,40,0,31,31,9
passenger33,1,11,9,9,25,0,16,16,9
passenger34,1,18,9,9,34,0,25,25,9
passenger35,1,10,9,9,22,0,13,13,9
passenger36,1,15,10,10,28,0,18,18,10
passenger37,1,20,10,10,35,0,25,25,10
passenger38,1,23,10,10,40,0,30,30,10
passenger39,1,6,10,10,17,0,7,7,10
passenger40,1,18,11,11,30,0,19,19,11
passenger41,1,23,12,12,44,0,32,32,12
passenger42,1,17,12,12,36,0,24,24,12
passenger43,1,5,12,12,20,0,8,8,12
passenger44,1,6,12,12,23,0,11,11,12
passenger45,1,6,12,12,23,0,11,11,12
passenger46,1,4,12,12,17,0,5,5,12
passenger47,1,20,13,13,34,0,21,21,13
passenger48,1,25,13,13,41,0,28,28,13
passenger49,1,14,14,14,33,0,19,19,14
passenger50,1,16,14,14,37,0,23,23,14
passenger51,1,20,14,14,43,0,29,29,14
passenger52,1,11,14,14,26,0,12,12,14
passenger53,1,13,14,14,30,0,16,16,14
passenger54,1,16,16,16,48,0,32,32,15
passenger55,1,9,16,16,35,0,19,19,15
