tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1
7,6,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1
8,6,6,3,4,3,2,1,1,1,1,1,1,1,1,1,1
9,6,7,4,5,4,3,2,1,1,1,1,1,1,1,1,1
10,7,8,5,6,5,4,3,2,1,1,1,1,1,1,1,1
11,7,9,6,7,5,5,4,3,2,1,1,1,1,1,1,1
12,7,9,7,8,5,6,5,4,3,2,1,1,1,1,1,1
13,8,9,8,9,6,7,6,5,4,3,2,1,1,1,1,1
14,8,10,9,10,7,8,7,6,5,4,3,2,1,1,1,1
15,8,10,10,11,8,9,8,7,6,5,4,3,2,1,1,1
16,9,10,11,12,9,9,8,7,7,5,5,4,3,2,1,1
17,10,11,12,13,10,9,8,7,8,5,6,5,4,3,2,1
18,11,11,13,14,10,9,9,8,9,6,6,6,4,4,3,1
19,12,11,14,15,10,9,10,8,10,7,6,7,4,5,4,1
20,13,12,14,16,11,9,11,8,11,8,7,8,5,6,5,1
21,14,13,14,16,12,9,12,7,12,9,8,9,5,7,6,1
22,15,14,15,16,12,9,13,6,12,10,9,10,5,8,7,2
23,16,15,16,16,12,9,14,5,12,10,10,11,6,9,8,3
24,16,16,16,16,13,9,14,4,13,10,11,12,6,10,9,3
25,16,17,16,16,14,9,14,3,14,11,12,13,6,11,10,3
26,16,17,17,16,15,9,15,2,15,11,13,14,7,12,11,4
27,16,17,18,16,15,9,16,1,16,11,14,15,8,13,11,5
28,16,17,19,16,15,9,16,1,17,12,15,16,9,14,11,6
29,16,17,20,16,16,8,16,1,18,13,15,17,10,15,12,7
30,16,17,21,16,17,7,17,2,19,14,15,18,11,16,13,7
31,16,17,22,16,18,6,18,2,19,15,16,18,12,17,13,7
32,16,17,23,16,18,5,19,2,19,16,17,18,13,18,13,8
33,16,17,23,16,18,4,20,3,19,17,18,18,14,19,14,8
34,16,17,23,16,19,3,21,4,19,18,19,18,15,20,14,8
35,16,17,23,16,20,2,22,4,19,18,20,18,16,20,14,9
36,16,17,23,16,21,1,23,4,19,18,20,18,17,20,15,9
37,16,17,23,16,22,1,24,5,19,19,20,18,17,21,16,9
38,15,17,23,16,22,1,25,6,19,20,21,18,17,22,16,10
39,14,17,23,15,22,2,25,6,19,21,22,18,18,23,16,11
40,13,17,23,14,22,3,25,6,19,22,23,18,19,24,17,12
41,12,17,23,13,22,4,25,7,19,22,23,18,20,25,18,13
42,11,17,23,12,22,5,25,8,19,22,23,18,21,25,19,14
43,10,17,23,11,22,6,25,8,19,22,23,18,22,25,20,14
44,9,17,23,10,22,6,25,8,19,22,23,18,23,25,20,14
45,8,17,23,9,22,6,25,9,19,22,23,18,23,25,20,15
46,7,17,23,8,22,7,25,10,19,22,23,18,23,25,20,15
47,6,17,23,7,22,7,25,11,19,22,23,18,23,25,20,15
48,5,17,23,6,22,7,25,12,19,22,23,18,23,25,20,16
49,4,17,23,5,22,8,25,12,19,22,23,18,23,25,20,16
50,3,17,23,4,22,9,25,12,19,22,23,18,23,25,20,16
51,2,17,23,3,22,9,25,13,19,22,23,18,23,25,20,17
52,1,17,23,2,22,9,25,14,19,22,23,18,23,25,20,18
53,1,17,23,1,22,10,25,14,19,22,23,18,23,25,20,19
54,1,17,23,1,22,11,25,14,19,22,23,18,23,25,20,20
55,2,16,23,1,22,12,25,15,19,22,23,18,23,25,20,21
56,3,15,23,2,22,13,25,16,19,22,23,18,23,25,20,21
57,4,14,23,3,22,14,25,17,19,22,23,18,23,25,20,21
58,4,13,23,4,22,14,25,17,19,22,23,18,23,25,20,21
59,4,12,23,5,22,14,25,17,19,22,23,18,23,25,20,21
60,5,11,23,5,22,15,25,18,19,22,23,18,23,25,20,21
61,6,10,23,5,22,16,25,19,19,22,23,18,23,25,20,21
62,7,9,23,6,22,17,25,19,19,22,23,18,23,25,20,21
63,7,8,23,7,22,18,25,19,19,22,23,18,23,25,20,21
64,7,7,23,7,22,19,25,20,19,22,23,18,23,25,20,21
65,8,6,23,7,22,20,25,21,19,22,23,18,23,25,20,21
66,8,5,23,8,22,20,25,21,19,22,23,18,23,25,20,21
67,8,4,23,9,22,20,25,21,19,22,23,18,23,25,20,21
68,9,3,23,10,22,21,25,20,19,22,23,18,23,25,20,21
69,10,2,23,10,22,22,25,19,19,22,23,18,23,25,20,21
70,10,1,23,10,22,22,25,18,19,22,23,18,23,25,20,21
71,10,1,23,11,22,22,25,17,19,22,23,18,23,25,20,21
72,11,1,23,11,22,23,25,16,19,22,23,17,23,25,20,21
73,12,2,23,11,22,23,25,15,19,22,23,16,23,25,20,21
74,12,2,23,12,22,23,25,14,19,22,23,15,23,25,20,21
75,12,2,23,13,22,24,25,13,19,22,23,14,23,25,20,21
76,13,3,23,14,22,24,25,12,19,22,23,13,23,25,20,21
77,14,4,23,15,22,24,25,11,19,22,23,12,23,25,20,21
78,15,4,23,16,22,23,25,10,19,22,23,11,23,25,20,21
79,15,4,23,17,22,22,25,9,19,22,23,10,23,25,20,21
80,15,5,23,18,22,21,25,8,19,22,23,9,23,25,20,21
81,16,6,23,19,22,20,25,7,19,22,23,8,23,25,20,21
82,16,7,23,20,22,19,25,6,19,22,23,7,23,25,20,21
83,16,7,23,20,22,18,25,5,19,22,23,6,23,25,20,21
84,17,7,23,20,22,17,25,4,19,22,23,5,23,25,20,21
85,18,8,23,21,22,16,25,3,19,22,23,4,23,25,20,21
86,19,9,23,22,22,15,25,2,19,22,23,3,23,25,20,21
87,20,10,23,23,22,14,25,1,19,22,23,2,23,25,20,21
88,21,11,23,23,22,13,25,1,19,22,23,1,23,25,20,21
89,22,12,23,23,22,12,25,1,19,22,23,1,23,25,20,21
90,22,13,23,24,22,11,25,2,19,22,23,1,23,25,20,21
91,22,14,23,24,22,10,25,3,19,22,23,2,23,25,20,21
92,23,15,23,24,22,9,25,3,19,22,23,3,23,25,20,21
93,23,15,23,25,22,8,25,3,19,22,23,4,23,25,20,21
94,23,15,23,25,22,7,25,4,19,22,23,5,23,25,20,21
95,22,16,23,25,22,6,25,5,19,22,23,6,23,25,20,21
96,21,16,23,24,22,5,25,6,19,22,23,7,23,25,20,21
97,20,16,23,23,22,4,25,7,19,22,23,8,23,25,20,21
98,19,17,23,22,22,3,25,7,19,22,23,9,23,25,20,21
99,18,18,23,21,22,2,25,7,19,22,23,10,23,25,20,21
100,17,18,23,20,22,1,25,8,19,22,23,11,23,25,20,21
101,16,18,23,19,22,1,25,8,19,22,23,12,23,25,20,21
102,15,19,23,18,22,1,25,8,18,22,23,13,23,25,20,21
103,14,20,23,17,22,2,25,9,17,22,23,13,23,25,20,21
104,13,20,23,16,22,3,25,10,16,22,23,13,23,25,20,21
105,12,20,23,15,22,3,25,10,15,22,23,14,23,25,20,21
106,11,19,23,14,22,3,25,10,14,22,23,15,23,25,20,21
107,10,18,23,13,22,4,25,11,13,22,23,15,23,25,20,21
108,9,17,23,12,22,5,25,11,12,22,23,15,23,25,20,21
109,8,16,23,11,22,5,25,11,11,22,23,16,23,25,20,21
110,7,15,23,10,22,5,25,12,10,22,23,16,23,25,20,21
111,6,14,23,9,22,6,25,12,9,22,23,16,23,25,20,21
112,5,13,23,8,22,7,25,12,8,22,23,17,23,25,20,21
113,4,12,23,7,22,7,25,13,7,22,23,18,23,25,20,21
114,3,11,23,6,22,7,25,14,6,22,23,19,23,25,20,21
115,2,10,23,5,22,8,25,15,5,22,23,20,23,25,20,21
116,1,9,23,4,22,9,25,16,4,22,23,20,23,25,20,21
117,1,8,23,3,22,10,25,17,3,22,23,20,23,25,20,21
118,1,7,23,2,22,11,25,18,2,22,23,21,23,25,20,21
119,2,6,23,1,22,12,25,18,1,22,23,22,23,25,20,21
120,2,5,23,1,22,12,25,18,1,22,23,22,23,25,20,21
121,2,4,23,1,22,12,25,19,1,22,23,22,23,25,20,21
122,3,3,23,2,22,13,25,20,2,22,23,23,23,25,20,21
123,3,2,23,3,22,14,25,20,3,22,23,23,23,25,20,21
124,3,1,23,4,22,14,25,20,3,22,23,23,23,25,20,21
125,4,1,23,4,22,14,25,19,3,22,23,24,23,25,20,21
126,5,1,23,4,22,15,25,18,4,22,23,24,23,25,19,21
127,6,2,23,5,22,16,25,17,4,22,23,24,23,25,18,21
128,7,2,23,6,22,17,25,16,4,22,23,25,23,25,17,21
129,8,2,23,7,22,18,25,15,5,22,23,25,23,25,16,21
130,8,3,23,8,22,18,25,14,6,22,23,25,23,25,15,21
131,8,3,23,9,22,18,25,13,7,22,23,24,23,25,14,21
132,9,3,23,9,22,19,25,12,7,22,23,23,23,25,13,21
133,9,4,23,9,22,20,25,11,7,22,23,22,23,25,12,21
134,9,5,23,10,22,21,25,10,8,22,23,21,23,25,11,21
135,10,6,23,10,22,22,25,9,9,22,23,20,23,25,10,21
136,11,7,23,10,22,23,25,8,9,22,23,19,23,25,9,21
137,12,8,23,11,22,23,25,7,9,22,23,18,23,25,8,21
138,13,8,23,12,22,23,25,6,10,22,23,17,23,25,7,21
139,14,8,23,12,22,22,25,5,11,22,23,16,23,25,6,21
140,15,9,23,12,22,21,25,4,11,22,23,15,23,25,5,21
141,16,9,23,13,22,20,25,3,11,22,23,14,23,25,4,21
142,17,9,23,14,22,19,25,2,12,22,23,13,23,25,3,21
143,18,10,23,15,22,18,25,1,12,22,23,12,23,25,2,21
144,19,11,23,15,22,17,25,1,12,22,23,11,23,25,1,21
145,19,12,23,15,22,16,25,1,13,22,23,10,23,25,1,21
146,19,12,23,16,22,15,25,2,14,22,23,9,23,25,1,21
147,20,12,23,16,22,14,25,3,15,22,23,8,23,25,2,21
148,21,13,23,16,22,13,25,4,16,22,23,7,23,25,2,21
149,22,13,23,17,22,12,25,5,17,22,23,6,23,25,2,21
150,23,13,23,18,22,11,25,5,17,22,23,5,23,25,3,21
151,23,14,23,19,22,10,25,5,17,22,23,4,23,25,4,21
152,23,15,23,19,22,9,25,6,18,22,23,3,23,25,4,21
153,22,16,23,19,22,8,25,7,19,22,23,2,23,25,4,21
154,21,16,23,20,22,7,25,8,20,22,23,1,23,25,5,21
155,20,16,23,21,22,6,25,9,20,22,23,1,23,25,5,21
156,19,17,23,22,22,5,25,10,20,22,23,1,23,25,5,21
157,18,18,23,23,22,4,25,11,21,22,23,2,23,25,6,21
158,17,19,23,24,22,3,25,11,22,22,23,3,23,25,7,21
159,16,20,23,24,22,2,25,11,22,22,23,4,23,25,8,21
160,15,21,23,24,22,1,25,12,22,22,23,5,23,25,9,21
161,14,22,23,25,22,1,25,13,21,22,23,5,23,25,10,21
162,13,23,23,25,22,1,25,14,20,22,23,5,23,25,11,21
163,12,24,23,25,22,2,25,15,19,22,23,6,23,25,12,21
164,11,25,23,24,22,3,25,16,18,22,23,7,23,25,13,21
165,10,25,23,23,22,4,25,17,17,22,23,8,23,25,13,21
166,9,25,23,22,22,5,25,18,16,22,23,9,23,25,13,21
167,8,24,23,21,22,6,25,19,15,22,23,10,23,25,14,21
168,7,23,23,20,22,7,25,19,14,22,23,11,23,25,15,21
169,6,22,23,19,22,7,25,19,13,22,23,12,23,25,15,21
170,5,21,23,18,22,7,25,20,12,22,23,13,23,25,15,21
171,4,20,23,17,22,8,25,20,11,22,23,14,23,25,16,21
172,3,19,23,16,22,9,25,20,10,22,23,14,23,25,17,21
173,2,18,23,15,22,10,25,21,9,22,23,14,23,25,17,21
174,1,17,23,14,22,11,25,21,8,22,23,15,23,25,17,21
175,1,16,23,13,22,11,25,21,7,22,23,15,23,25,18,21
176,1,15,23,12,22,11,25,22,6,22,23,15,23,25,19,21
177,2,14,23,11,22,12,25,22,5,22,23,16,23,25,20,21
178,3,13,23,10,22,13,25,22,4,22,23,17,23,25,21,21
179,4,12,23,9,22,13,25,23,3,22,23,17,23,25,21,21
180,4,11,23,8,22,13,25,24,2,22,23,17,23,25,21,21
181,4,10,23,7,22,14,25,24,1,22,23,18,23,25,20,21
182,5,9,23,6,22,15,25,24,1,22,23,18,23,25,19,21
183,6,8,23,5,22,16,25,23,1,22,23,18,23,25,18,21
184,6,7,23,4,22,17,25,22,2,22,23,19,23,25,17,21
185,6,6,23,3,22,18,25,21,3,22,23,20,23,25,16,21
186,7,5,23,2,22,18,25,20,4,22,23,20,23,25,15,21
187,8,4,23,1,22,18,25,19,4,22,23,20,23,25,14,21
188,9,3,23,1,22,19,25,18,4,22,23,21,23,25,13,21
189,10,2,23,1,22,20,25,17,5,22,23,21,23,25,12,21
190,10,1,23,2,22,21,25,16,6,22,23,21,23,25,11,21
191,10,1,23,3,22,22,25,15,7,22,23,22,23,25,10,21
192,11,1,23,3,22,23,25,14,7,22,23,22,23,25,9,21
193,12,2,23,3,22,23,25,13,7,22,23,22,23,25,8,21
194,13,3,23,4,22,23,25,12,8,22,23,21,23,25,7,21
195,13,3,23,5,22,22,25,11,9,22,23,20,23,25,6,21
196,13,3,23,6,22,21,25,10,10,22,23,19,23,25,5,21
197,14,4,23,7,22,20,25,9,10,22,23,18,23,25,4,21
198,15,4,23,8,22,19,25,8,10,22,23,17,23,25,3,21
199,16,4,23,8,22,18,25,7,11,22,23,16,23,25,2,21
200,16,5,23,8,22,17,25,6,12,22,23,15,23,25,1,21
201,16,6,23,9,22,16,25,5,13,22,23,14,23,25,1,21
202,17,7,23,10,22,15,25,4,13,22,23,13,23,25,1,21
203,18,7,23,10,22,14,25,3,13,22,23,12,23,25,2,21
204,19,7,23,10,22,13,25,2,14,22,23,11,23,25,2,21
205,20,8,23,11,22,12,25,1,15,22,23,10,23,25,2,21
206,20,9,23,11,22,11,25,1,16,22,23,9,23,25,3,21
207,20,10,23,11,22,10,25,1,17,22,23,8,23,25,3,21
208,21,11,23,12,22,9,25,2,17,22,23,7,23,25,3,21
209,21,12,23,13,22,8,25,3,17,22,23,6,23,25,4,21
210,21,12,23,13,22,7,25,4,18,22,23,5,23,25,5,21
211,22,12,23,13,22,6,25,4,19,22,23,4,23,25,5,21
212,23,13,23,14,22,5,25,4,20,22,23,3,23,25,5,21
213,24,14,23,15,22,4,25,5,21,22,23,2,23,25,6,21
214,24,14,23,16,22,3,25,6,21,22,23,1,23,25,6,21
215,24,14,23,16,22,2,25,7,21,22,23,1,23,25,6,21
216,23,15,23,16,22,1,25,7,22,22,23,1,23,25,7,21
217,22,15,23,17,22,1,25,7,23,22,23,2,23,25,8,21
218,21,15,23,18,22,1,25,8,24,22,23,3,23,25,8,20
219,20,16,23,18,22,2,25,9,24,22,23,4,23,25,8,19
220,19,17,23,18,22,2,25,10,24,22,23,5,23,25,9,18
221,18,18,23,19,22,2,25,11,23,22,23,6,23,25,10,17
222,17,18,23,20,22,3,25,12,22,22,23,6,23,25,11,16
223,16,18,23,21,22,4,25,12,21,22,23,6,23,25,11,15
224,15,19,23,21,22,4,25,12,20,22,23,7,23,25,11,14
225,14,19,23,21,22,4,25,13,19,22,23,7,23,25,12,13
226,13,19,23,22,22,5,25,14,18,22,23,7,23,25,13,12
227,12,20,23,22,22,6,25,15,17,22,23,8,23,25,14,11
228,11,21,23,22,22,6,25,15,16,22,23,9,23,25,15,10
229,10,22,23,23,22,6,25,15,15,22,23,10,23,25,16,9
230,9,23,23,24,22,7,25,16,14,22,23,11,23,25,17,8
231,8,23,23,24,22,8,25,16,13,22,23,12,23,25,17,7
