id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,1,16,0,0,17,0,17,17,0
passenger2,1,6,0,0,7,0,7,7,1
passenger3,1,8,0,0,9,0,9,9,2
passenger4,1,7,0,0,8,0,8,8,3
passenger5,1,10,1,1,12,0,11,11,4
passenger6,1,17,1,1,19,0,18,18,5
passenger7,1,11,1,1,13,0,12,12,6
passenger8,1,9,1,1,11,0,10,10,7
passenger9,1,14,2,2,35,0,33,33,8
passenger10,1,16,2,2,25,0,23,23,9
passenger11,1,2,2,2,7,0,5,5,10
passenger12,1,23,2,2,30,0,28,28,11
passenger13,1,23,2,2,30,0,28,28,12
passenger14,1,16,3,3,43,0,40,40,13
passenger15,1,15,4,4,36,0,32,32,14
passenger16,1,18,4,4,41,0,37,37,15
passenger17,1,12,4,4,31,0,27,27,8
passenger18,1,10,4,4,17,0,13,13,9
passenger19,1,10,4,4,17,0,13,13,10
passenger20,1,5,4,4,10,0,6,6,11
passenger21,1,22,4,4,27,0,23,23,12
passenger22,1,9,5,5,32,0,27,27,13
passenger23,1,8,6,6,25,0,19,19,14
passenger24,1,25,6,6,56,0,50,50,15
passenger25,1,14,6,6,35,0,29,29,8
passenger26,1,16,6,6,25,0,19,19,9
passenger27,1,7,7,7,28,0,21,21,13
passenger28,1,8,7,7,25,0,18,18,14
passenger29,1,19,8,8,44,0,36,36,15
passenger30,1,12,8,8,31,0,23,23,8
passenger31,1,5,9,9,22,0,13,13,13
passenger32,1,22,9,9,47,0,38,38,14
passenger33,1,11,9,9,28,0,19,19,15
passenger34,1,18,9,9,45,0,36,36,8
passenger35,1,10,9,9,35,0,26,26,13
passenger36,1,15,10,10,36,0,26,26,14
passenger37,1,20,10,10,47,0,37,37,15
passenger38,1,23,10,10,52,0,42,42,8
passenger39,1,6,10,10,25,0,15,15,13
passenger40,1,18,11,11,41,0,30,30,14
passenger41,1,23,12,12,52,0,40,40,15
passenger42,1,17,12,12,42,0,30,30,8
passenger43,1,5,12,12,22,0,10,10,13
passenger44,1,6,12,12,21,0,9,9,14
passenger45,1,6,12,12,21,0,9,9,15
passenger46,1,4,12,12,21,0,9,9,8
passenger47,1,20,13,13,49,0,36,36,13
passenger48,1,25,13,13,52,0,39,39,14
passenger49,1,14,14,14,35,0,21,21,15
passenger50,1,16,14,14,39,0,25,25,8
passenger51,1,20,14,14,49,0,35,35,13
passenger52,1,11,14,14,30,0,16,16,14
passenger53,1,13,14,14,32,0,18,18,15
passenger54,1,16,16,16,39,0,23,23,8
passenger55,1,9,16,16,32,0,16,16,13
passenger56,1,3,17,76,81,59,5,64,8
passenger57,1,15,17,70,93,53,23,76,13
passenger58,1,21,18,76,109,58,33,91,8
passenger59,1,3,18,70,77,52,7,59,13
passenger60,1,7,18,76,87,58,11,69,8
passenger61,1,8,19,24,37,5,13,18,1
passenger62,1,21,19,24,58,5,34,39,1
passenger63,1,14,19,24,45,5,21,26,1
passenger64,1,14,19,24,45,5,21,26,1
passenger65,1,17,21,24,50,3,26,29,1
passenger66,1,8,21,24,37,3,13,16,1
passenger67,1,19,22,24,54,2,30,32,1
passenger68,1,2,22,24,27,2,3,5,1
passenger69,1,4,23,24,31,1,7,8,1
passenger70,1,21,23,24,58,1,34,35,1
passenger71,1,17,23,80,112,57,32,89,1
passenger72,1,6,24,80,89,56,9,65,1
passenger73,1,12,24,80,105,56,25,81,1
passenger74,1,3,25,80,84,55,4,59,1
passenger75,1,18,25,80,115,55,35,90,1
passenger76,1,20,25,80,119,55,39,94,1
passenger77,1,8,25,80,95,55,15,70,1
passenger78,1,10,26,80,99,54,19,73,1
passenger79,1,7,26,80,92,54,12,66,1
passenger80,1,11,26,80,102,54,22,76,1
passenger81,1,8,26,140,151,114,11,125,1
passenger82,1,7,26,140,148,114,8,122,1
passenger83,1,12,27,33,52,6,19,25,3
passenger84,1,22,27,33,68,6,35,41,3
passenger85,1,20,27,33,64,6,31,37,3
passenger86,1,9,28,33,47,5,14,19,3
passenger87,1,24,28,33,74,5,41,46,3
passenger88,1,7,28,33,43,5,10,15,3
passenger89,1,23,28,33,71,5,38,43,3
passenger90,1,9,29,33,47,4,14,18,3
passenger91,1,14,29,33,56,4,23,27,3
passenger92,1,6,29,33,40,4,7,11,3
passenger93,1,20,29,99,132,70,33,103,3
passenger94,1,9,30,99,113,69,14,83,3
passenger95,1,22,31,99,136,68,37,105,3
passenger96,1,3,31,99,103,68,4,72,3
passenger97,1,14,32,99,122,67,23,90,3
passenger98,1,5,32,99,107,67,8,75,3
passenger99,1,23,33,99,139,66,40,106,3
passenger100,1,12,33,99,118,66,19,85,3
passenger101,1,18,33,99,128,66,29,95,3
passenger102,1,23,33,99,139,66,40,106,3
passenger103,1,14,34,163,184,129,21,150,3
passenger104,1,3,34,163,167,129,4,133,3
passenger105,1,7,34,163,173,129,10,139,3
passenger106,1,7,35,163,173,128,10,138,3
passenger107,1,23,35,163,199,128,36,164,3
passenger108,1,23,35,163,199,128,36,164,3
passenger109,1,13,35,163,181,128,18,146,3
passenger110,1,23,35,163,199,128,36,164,3
passenger111,1,7,36,43,53,7,10,17,2
passenger112,1,18,36,43,74,7,31,38,2
passenger113,1,11,36,43,63,7,20,27,2
passenger114,1,7,37,43,53,6,10,16,2
passenger115,1,8,37,43,56,6,13,19,2
passenger116,1,12,37,43,66,6,23,29,2
