id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,1,16,0,0,17,0,17,17,0
passenger2,1,6,0,0,7,0,7,7,1
passenger3,1,8,0,0,9,0,9,9,2
passenger4,1,7,0,0,8,0,8,8,3
passenger5,1,10,1,1,12,0,11,11,4
passenger6,1,17,1,1,19,0,18,18,5
passenger7,1,11,1,1,13,0,12,12,6
passenger8,1,9,1,1,11,0,10,10,7
passenger9,1,14,2,2,17,0,15,15,8
passenger10,1,16,2,2,19,0,17,17,9
passenger11,1,2,2,2,5,0,3,3,10
passenger12,1,23,2,2,26,0,24,24,11
passenger13,1,23,2,2,26,0,24,24,12
passenger14,1,16,3,3,20,0,17,17,13
passenger15,1,15,4,4,20,0,16,16,14
passenger16,1,18,4,4,23,0,19,19,15
passenger17,1,12,4,34,53,30,19,49,0
passenger18,1,10,4,14,25,10,11,21,1
passenger19,1,10,4,18,29,14,11,25,2
passenger20,1,5,4,16,22,12,6,18,3
passenger21,1,22,4,23,52,19,29,48,4
passenger22,1,9,5,37,50,32,13,45,5
passenger23,1,8,6,25,36,19,11,30,6
passenger24,1,25,6,21,51,15,30,45,7
passenger25,1,14,6,32,53,26,21,47,8
passenger26,1,16,6,36,63,30,27,57,9
passenger27,1,7,7,8,16,1,8,9,10
passenger28,1,8,7,50,65,43,15,58,11
passenger29,1,19,8,50,81,42,31,73,12
passenger30,1,12,8,37,56,29,19,48,13
passenger31,1,5,9,36,42,27,6,33,14
passenger32,1,22,9,42,75,33,33,66,15
passenger33,1,11,9,34,50,25,16,41,0
passenger34,1,18,9,14,37,5,23,28,1
passenger35,1,10,9,18,29,9,11,20,2
passenger36,1,15,10,16,36,6,20,26,3
passenger37,1,20,10,23,48,13,25,38,4
passenger38,1,23,10,37,70,27,33,60,5
passenger39,1,6,10,25,32,15,7,22,6
passenger40,1,18,11,21,42,10,21,31,7
passenger41,1,23,12,32,66,20,34,54,8
passenger42,1,17,12,36,66,24,30,54,9
passenger43,1,5,12,24,33,12,9,21,10
passenger44,1,6,12,50,59,38,9,47,11
passenger45,1,6,12,50,58,38,8,46,12
passenger46,1,4,12,37,42,25,5,30,13
passenger47,1,20,13,36,63,23,27,50,14
passenger48,1,25,13,42,80,29,38,67,15
passenger49,1,14,14,34,57,20,23,43,0
passenger50,1,16,14,14,33,0,19,19,1
passenger51,1,20,14,18,41,4,23,27,2
passenger52,1,11,14,16,30,2,14,16,3
passenger53,1,13,14,23,39,9,16,25,4
passenger54,1,16,16,37,59,21,22,43,5
passenger55,1,9,16,25,39,9,14,23,6
passenger56,1,3,17,21,25,4,4,8,7
passenger57,1,15,17,32,56,15,24,39,8
passenger58,1,21,18,36,72,18,36,54,9
passenger59,1,3,18,24,29,6,5,11,10
passenger60,1,7,18,50,62,32,12,44,11
passenger61,1,8,19,50,62,31,12,43,12
passenger62,1,21,19,37,67,18,30,48,13
passenger63,1,14,19,36,55,17,19,36,14
passenger64,1,14,19,42,61,23,19,42,15
passenger65,1,17,21,34,62,13,28,41,0
passenger66,1,8,21,56,71,35,15,50,1
passenger67,1,19,22,62,94,40,32,72,2
passenger68,1,2,22,52,56,30,4,34,3
passenger69,1,4,23,23,28,0,5,5,4
passenger70,1,21,23,37,66,14,29,43,5
passenger71,1,17,23,25,49,2,24,26,6
passenger72,1,6,24,77,88,53,11,64,7
passenger73,1,12,24,32,49,8,17,25,8
passenger74,1,3,25,36,42,11,6,17,9
passenger75,1,18,25,25,48,0,23,23,10
passenger76,1,20,25,50,81,25,31,56,11
passenger77,1,8,25,50,62,25,12,37,12
passenger78,1,10,26,37,52,11,15,26,13
passenger79,1,7,26,36,46,10,10,20,14
passenger80,1,11,26,42,56,16,14,30,15
passenger81,1,8,26,34,45,8,11,19,0
passenger82,1,7,26,56,68,30,12,42,1
passenger83,1,12,27,62,83,35,21,56,2
passenger84,1,22,27,52,86,25,34,59,3
passenger85,1,20,27,75,104,48,29,77,4
passenger86,1,9,28,37,50,9,13,22,5
passenger87,1,24,28,67,104,39,37,76,6
passenger88,1,7,28,77,91,49,14,63,7
passenger89,1,23,28,32,66,4,34,38,8
passenger90,1,9,29,36,52,7,16,23,9
passenger91,1,14,29,67,85,38,18,56,10
passenger92,1,6,29,50,59,21,9,30,11
passenger93,1,20,29,50,84,21,34,55,12
passenger94,1,9,30,37,49,7,12,19,13
passenger95,1,22,31,36,67,5,31,36,14
passenger96,1,3,31,42,46,11,4,15,15
passenger97,1,14,32,34,57,2,23,25,0
passenger98,1,5,32,56,64,24,8,32,1
passenger99,1,23,33,62,100,29,38,67,2
passenger100,1,12,33,52,74,19,22,41,3
passenger101,1,18,33,75,100,42,25,67,4
passenger102,1,23,33,37,70,4,33,37,5
passenger103,1,14,34,67,88,33,21,54,6
passenger104,1,3,34,77,81,43,4,47,7
passenger105,1,7,34,34,42,0,8,8,8
passenger106,1,7,35,36,48,1,12,13,9
passenger107,1,23,35,67,98,32,31,63,10
passenger108,1,23,35,50,86,15,36,51,11
passenger109,1,13,35,50,71,15,21,36,12
passenger110,1,23,35,37,71,2,34,36,13
passenger111,1,7,36,36,46,0,10,10,14
passenger112,1,18,36,42,69,6,27,33,15
passenger113,1,11,36,36,50,0,14,14,0
passenger114,1,7,37,56,68,19,12,31,1
passenger115,1,8,37,62,75,25,13,38,2
passenger116,1,12,37,52,74,15,22,37,3
