tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
5,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1
6,5,5,5,5,4,4,4,4,3,3,2,3,3,2,1,1
7,6,6,6,6,5,5,5,5,4,4,2,4,4,3,2,2
8,7,6,7,7,6,6,6,6,5,5,1,5,5,4,3,3
9,8,6,8,7,7,7,7,7,6,6,1,6,6,5,4,4
10,9,5,8,7,8,8,8,8,7,7,1,7,7,6,5,5
11,10,4,8,6,9,9,9,9,8,8,2,8,8,7,6,6
12,11,3,7,5,10,10,10,9,9,9,3,9,9,8,7,7
13,12,2,6,4,10,11,11,9,10,10,4,10,10,9,8,8
14,13,1,5,3,10,12,11,8,11,11,5,11,11,10,9,9
15,14,1,4,2,9,13,11,7,12,12,6,12,12,11,10,10
16,15,1,3,1,8,14,10,6,13,13,7,13,13,12,11,11
17,16,2,2,1,7,15,9,5,14,14,7,14,14,13,12,12
18,16,3,1,1,6,16,8,4,14,15,7,15,15,14,13,13
19,16,4,1,2,5,17,7,3,14,16,6,16,16,15,14,14
20,15,5,1,3,4,17,6,2,13,16,5,17,17,16,15,15
21,14,6,2,4,3,17,5,1,12,16,4,18,18,16,15,16
22,13,7,3,5,2,16,4,1,11,15,3,19,19,16,15,17
23,12,8,4,5,1,15,3,1,10,14,2,20,20,15,14,18
24,11,9,5,5,1,14,2,2,9,13,1,21,21,14,13,18
25,10,10,6,6,1,13,1,3,8,12,1,22,22,13,12,18
26,9,10,7,7,2,12,1,3,7,11,1,23,23,12,11,17
27,8,10,8,8,3,11,1,3,6,10,1,23,23,11,10,16
28,7,11,9,9,4,10,2,4,5,9,2,23,23,10,9,15
29,6,12,10,10,4,9,3,5,4,8,3,22,22,9,8,14
30,5,13,10,11,4,8,4,6,3,7,3,21,21,8,7,13
31,4,14,10,11,5,7,5,7,2,6,3,20,20,7,6,12
32,3,15,11,11,6,6,6,8,1,5,4,19,19,6,5,11
33,2,16,12,12,7,5,6,9,1,4,5,18,18,5,4,10
34,1,16,13,13,8,4,6,10,1,3,5,17,17,4,3,9
35,1,16,14,14,9,3,7,11,1,2,5,16,16,3,2,8
36,1,17,15,15,10,2,8,12,1,1,6,15,15,2,1,7
37,1,18,16,15,11,1,8,13,2,1,7,14,14,1,1,6
38,1,18,17,15,12,1,8,14,3,1,8,13,13,1,1,5
39,2,18,18,14,13,1,9,15,4,1,9,12,12,1,2,4
40,3,17,19,13,13,1,9,16,5,1,10,11,11,2,3,3
41,4,16,20,12,13,2,9,17,6,2,11,10,10,3,4,2
42,5,15,20,11,14,3,10,18,7,3,12,9,9,4,5,1
43,6,14,20,10,15,4,11,18,7,3,13,8,8,4,5,1
44,7,13,19,9,16,5,12,18,7,3,14,7,7,4,5,1
45,8,12,18,8,17,6,13,19,8,4,15,6,6,5,6,2
46,8,11,17,7,18,7,14,20,9,5,16,5,5,6,7,3
47,8,10,16,6,19,7,15,21,10,6,17,4,4,7,7,3
48,9,9,15,5,20,7,16,22,11,7,18,3,3,8,7,3
49,10,8,14,4,20,8,17,23,12,7,18,2,2,9,8,4
50,11,7,13,3,20,9,17,24,12,7,18,1,1,9,9,5
51,11,6,12,2,21,9,17,25,12,8,17,1,1,9,10,6
52,11,5,11,1,22,9,16,25,13,9,16,1,1,10,11,7
53,12,4,10,1,22,10,15,25,14,9,15,2,1,10,12,8
54,12,3,9,1,22,11,14,24,14,9,14,3,2,10,13,9
55,12,2,8,1,21,12,13,23,14,10,13,4,3,11,14,10
56,13,1,7,2,20,13,12,22,15,11,12,4,4,12,14,11
57,14,1,6,2,19,14,11,21,15,11,11,4,5,12,14,11
58,14,1,5,2,18,15,10,20,15,11,10,5,6,12,15,11
59,14,1,4,3,17,16,9,19,16,12,9,6,6,13,16,12
60,15,1,3,4,16,16,8,18,17,13,8,6,6,14,17,13
61,16,2,2,5,15,16,7,17,18,14,7,6,7,15,18,14
62,17,3,1,6,14,17,6,16,19,15,6,7,8,16,19,14
63,17,4,1,6,13,18,5,15,20,16,5,7,8,17,20,14
64,17,5,1,6,12,19,4,14,21,16,4,7,8,18,20,15
65,16,5,2,7,11,20,3,13,22,16,3,8,9,19,20,16
66,15,5,2,8,10,21,2,12,23,17,2,8,9,20,21,16
67,14,6,2,9,9,21,1,11,23,17,1,8,9,21,22,16
68,13,7,3,10,8,21,1,10,23,17,1,9,10,21,22,17
69,12,7,3,10,7,22,1,9,22,18,1,10,11,21,22,18
70,11,7,3,10,6,23,2,8,21,19,1,11,12,22,21,18
71,10,8,4,11,5,23,2,7,20,20,2,12,13,23,20,18
72,9,8,5,11,4,23,2,6,19,21,3,13,13,23,19,19
73,8,8,6,11,3,22,3,5,18,21,4,14,13,23,18,20
74,7,9,7,12,2,21,4,4,17,21,4,15,14,22,17,21
75,6,9,8,12,1,20,5,3,16,20,4,15,15,21,16,22
76,5,9,8,12,1,19,6,2,15,19,5,15,16,20,15,22
77,4,10,8,13,1,18,7,1,14,18,6,16,16,19,14,22
78,3,11,9,14,2,17,7,1,13,17,7,17,16,18,13,23
79,2,12,10,15,3,16,7,1,12,16,8,18,17,17,12,24
80,1,13,10,16,4,15,8,2,11,15,9,19,18,16,11,25
81,1,14,10,17,5,14,9,3,10,14,10,20,19,15,10,25
82,1,15,11,18,6,13,10,3,9,13,11,20,19,14,9,25
83,1,16,12,19,7,12,10,3,8,12,12,20,19,13,8,24
84,1,16,12,20,8,11,10,4,7,11,13,21,20,12,7,23
85,2,16,12,21,9,10,11,5,6,10,14,22,20,11,6,22
86,3,17,13,22,10,9,12,5,5,9,14,23,20,10,5,21
87,3,18,14,22,10,8,13,5,4,8,14,23,21,9,4,20
88,3,19,15,22,10,7,14,6,3,7,15,23,22,8,3,19
89,4,19,16,21,11,6,14,6,2,6,16,22,23,7,2,18
90,5,19,16,20,12,5,14,6,1,5,17,21,23,6,1,17
91,5,18,16,19,13,4,15,7,1,4,18,20,23,5,1,16
92,5,17,17,18,13,3,16,7,1,3,19,19,22,4,1,15
93,6,16,18,17,13,2,17,7,2,2,20,18,21,3,2,14
94,7,15,19,16,14,1,18,8,3,1,20,17,20,2,3,13
95,8,14,19,15,15,1,19,9,4,1,20,16,19,1,4,12
96,8,13,19,14,16,1,19,10,4,1,21,15,18,1,5,11
97,8,12,20,13,17,2,19,11,4,2,22,14,17,1,6,10
98,9,11,21,12,17,2,20,12,5,3,23,13,16,2,6,9
99,10,10,22,11,17,2,20,12,6,4,23,12,15,3,6,8
100,11,9,23,10,18,3,20,12,7,4,23,11,14,4,7,7
101,12,8,23,9,18,4,21,13,8,4,24,10,13,5,8,6
102,13,7,23,8,18,5,22,13,9,5,24,9,12,6,9,5
103,14,6,22,7,19,6,23,13,10,6,24,8,11,6,10,4
104,14,5,21,6,20,7,24,14,10,6,23,7,10,6,10,3
105,14,4,20,5,20,8,24,15,10,6,22,6,9,7,10,2
106,15,3,19,4,20,8,24,16,11,7,21,5,8,8,11,1
107,15,2,18,3,21,8,23,16,11,7,20,4,7,8,12,1
108,15,1,17,2,22,9,22,16,11,7,19,3,6,8,13,1
109,16,1,16,1,23,9,21,17,12,8,18,2,5,9,14,2
110,16,1,15,1,23,9,20,18,12,9,17,1,4,10,15,3
111,16,2,14,1,23,10,19,18,12,9,16,1,3,10,16,3
112,17,3,13,2,24,11,18,18,13,9,15,1,2,10,16,3
113,18,3,12,3,24,12,17,19,14,10,14,2,1,11,16,4
114,19,3,11,3,24,12,16,20,15,11,13,3,1,12,17,5
115,19,4,10,3,25,12,15,21,16,12,12,4,1,13,18,6
116,19,4,9,4,25,13,14,21,16,12,11,5,2,14,19,7
117,20,4,8,5,25,14,13,21,16,12,10,6,2,15,19,7
118,21,5,7,5,24,15,12,22,17,13,9,6,2,15,19,7
119,22,6,6,5,23,16,11,23,17,14,8,6,3,15,20,8
120,23,7,5,6,22,17,10,23,17,15,7,7,4,16,21,9
121,24,8,4,7,21,18,9,23,18,15,6,7,5,17,21,10
122,24,8,3,8,20,19,8,22,19,15,5,7,6,18,21,11
123,24,8,2,9,19,20,7,21,19,16,4,8,7,19,22,12
124,23,9,1,9,18,20,6,20,19,17,3,8,7,20,22,12
125,22,10,1,9,17,20,5,19,20,18,2,8,7,20,22,12
126,21,11,1,10,16,21,4,18,21,19,1,9,8,20,23,13
127,20,12,2,11,15,21,3,17,21,19,1,10,9,21,23,13
128,19,12,3,12,14,21,2,16,21,19,1,11,10,22,23,13
129,18,12,4,13,13,22,1,15,22,20,2,12,11,22,24,14
130,17,13,4,14,12,22,1,14,23,21,3,13,12,22,25,14
131,16,14,4,14,11,22,1,13,24,21,4,14,12,23,25,14
132,15,15,5,14,10,23,2,12,25,21,5,15,12,24,25,15
133,14,16,5,15,9,24,3,11,25,22,6,15,13,24,24,16
134,13,17,5,16,8,24,4,10,25,23,7,15,14,24,23,17
135,12,17,6,17,7,24,4,9,24,23,8,16,15,25,22,18
136,11,17,7,17,6,23,4,8,23,23,8,17,16,25,21,18
137,10,18,8,17,5,22,5,7,22,22,8,18,17,25,20,18
138,9,19,9,18,4,21,5,6,21,21,9,19,18,24,19,19
139,8,19,9,19,3,20,5,5,20,20,10,19,19,23,18,20
140,7,19,9,19,2,19,6,4,19,19,11,19,19,22,17,20
141,6,20,10,19,1,18,7,3,18,18,11,20,19,21,16,20
142,5,21,11,20,1,17,7,2,17,17,11,20,20,20,15,21
143,4,22,12,20,1,16,7,1,16,16,12,20,21,19,14,22
144,3,23,13,20,2,15,8,1,15,15,12,21,21,18,13,23
145,2,24,13,19,3,14,9,1,14,14,12,21,21,17,12,24
146,1,25,13,18,4,13,9,2,13,13,13,21,22,16,11,24
147,1,25,14,17,4,12,9,3,12,12,13,20,22,15,10,24
148,1,25,15,16,4,11,10,4,11,11,13,19,22,14,9,25
149,2,24,15,15,5,10,10,5,10,10,14,18,23,13,8,25
150,2,23,15,14,6,9,10,5,9,9,15,17,23,12,7,25
151,2,22,16,13,6,8,11,5,8,8,15,16,23,11,6,24
152,3,21,16,12,6,7,12,6,7,7,15,15,22,10,5,23
153,4,20,16,11,7,6,13,7,6,6,16,14,21,9,4,22
154,5,19,17,10,8,5,14,7,5,5,16,13,20,8,3,21
155,5,18,18,9,9,4,14,7,4,4,16,12,19,7,2,20
156,5,17,18,8,10,3,14,8,3,3,17,11,18,6,1,19
157,6,16,18,7,11,2,15,9,2,2,17,10,17,5,1,18
158,7,15,17,6,11,1,16,10,1,1,17,9,16,4,1,17
159,7,14,16,5,11,1,17,10,1,1,18,8,15,3,2,16
160,7,13,15,4,12,1,18,10,1,1,19,7,14,2,2,15
161,8,12,14,3,13,2,19,11,2,2,20,6,13,1,2,14
162,9,11,13,2,14,3,20,12,3,2,20,5,12,1,3,13
163,10,10,12,1,15,4,21,12,4,2,20,4,11,1,4,12
164,10,9,11,1,15,4,21,12,5,3,19,3,10,2,5,11
165,10,8,10,1,15,4,21,13,6,3,18,2,9,3,6,10
166,11,7,9,2,16,5,22,14,7,3,17,1,8,4,7,9
167,12,6,8,3,17,6,22,15,8,4,16,1,7,4,7,8
168,13,5,7,3,17,7,22,16,8,4,15,1,6,4,7,7
169,13,4,6,3,17,8,23,17,8,4,14,2,5,5,8,6
170,13,3,5,4,18,8,23,17,9,5,13,2,4,6,9,5
171,14,2,4,5,18,8,23,17,10,6,12,2,3,7,9,4
172,15,1,3,5,18,9,22,18,11,7,11,3,2,7,9,3
173,16,1,2,5,19,9,21,19,11,8,10,3,1,7,10,2
174,16,1,1,6,20,9,20,20,11,8,9,3,1,8,10,1
175,16,2,1,6,21,10,19,21,12,8,8,4,1,9,10,1
176,17,2,1,6,21,11,18,22,13,9,7,5,2,10,11,1
177,18,2,2,7,21,12,17,23,13,10,6,5,2,11,12,2
178,19,3,3,8,22,13,16,23,13,10,5,5,2,11,12,2
179,20,4,3,8,23,13,15,23,14,10,4,6,3,11,12,2
180,20,5,3,8,24,13,14,24,15,11,3,7,4,12,13,3
181,20,6,4,9,25,14,13,25,15,12,2,8,4,12,14,4
182,19,7,5,10,25,15,12,25,15,13,1,9,4,12,15,5
183,18,7,5,11,25,15,11,25,16,14,1,10,5,13,15,5
184,17,7,5,12,24,15,10,24,17,15,1,11,6,14,15,5
185,16,8,6,13,23,16,9,23,17,15,2,12,7,14,16,6
186,15,9,7,13,22,17,8,22,17,15,3,13,8,14,17,7
187,14,10,8,13,21,18,7,21,18,16,3,14,8,15,18,7
188,13,11,8,14,20,18,6,20,19,17,3,14,8,16,18,7
189,12,11,8,15,19,18,5,19,20,17,4,14,9,17,18,8
190,11,11,9,15,18,19,4,18,20,17,5,15,10,17,19,8
191,10,12,10,15,17,20,3,17,20,18,6,16,10,17,19,8
192,9,12,10,16,16,20,2,16,21,18,7,16,10,18,19,9
193,8,12,10,17,15,20,1,15,21,18,7,16,11,19,20,9
194,7,13,11,17,14,21,1,14,21,19,7,17,12,20,20,9
195,6,14,12,17,13,22,1,13,22,20,8,17,12,21,20,10
196,5,14,13,18,12,23,2,12,23,20,9,17,12,21,19,10
197,4,14,14,19,11,24,2,11,23,20,10,18,13,21,18,10
198,3,15,15,20,10,24,2,10,23,21,11,18,13,22,17,11
199,2,16,15,21,9,24,3,9,24,22,12,18,13,23,16,11
200,1,17,15,21,8,25,3,8,24,23,12,19,14,24,15,11
201,1,18,16,21,7,25,3,7,24,24,12,20,15,24,14,12
202,1,18,17,22,6,25,4,6,23,24,13,20,16,24,13,13
203,2,18,18,23,5,24,4,5,22,24,13,20,16,23,12,13
204,3,19,19,24,4,23,4,4,21,23,13,21,16,22,11,13
205,4,19,20,24,3,22,5,3,20,22,14,21,17,21,10,14
206,5,19,21,24,2,21,5,2,19,21,15,21,17,20,9,15
207,5,20,21,23,1,20,5,1,18,20,16,22,17,19,8,16
208,5,21,21,22,1,19,6,1,17,19,17,22,18,18,7,16
209,6,22,22,21,1,18,7,1,16,18,17,22,19,17,6,16
210,7,23,22,20,2,17,8,2,15,17,17,21,19,16,5,17
211,7,24,22,19,3,16,9,3,14,16,18,20,19,15,4,17
212,7,24,21,18,3,15,10,3,13,15,18,19,20,14,3,17
213,8,24,20,17,3,14,11,3,12,14,18,18,20,13,2,16
214,9,23,19,16,4,13,12,4,11,13,19,17,20,12,1,15
215,10,22,18,15,5,12,12,5,10,12,20,16,19,11,1,14
216,10,21,17,14,5,11,12,5,9,11,21,15,18,10,1,13
217,10,20,16,13,5,10,13,5,8,10,21,14,17,9,2,12
218,11,19,15,12,6,9,14,6,7,9,21,13,16,8,2,11
219,11,18,14,11,7,8,14,6,6,8,22,12,15,7,2,10
220,11,17,13,10,8,7,14,6,5,7,22,11,14,6,3,9
221,12,16,12,9,8,6,15,7,4,6,22,10,13,5,4,8
222,13,15,11,8,8,5,16,8,3,5,23,9,12,4,4,7
223,14,14,10,7,9,4,17,8,2,4,23,8,11,3,4,6
224,14,13,9,6,10,3,18,8,1,3,23,7,10,2,5,5
225,14,12,8,5,11,2,19,9,1,2,24,6,9,1,6,4
226,15,11,7,4,12,1,20,9,1,1,25,5,8,1,7,3
227,15,10,6,3,13,1,21,9,2,1,25,4,7,1,7,2
228,15,9,5,2,14,1,21,10,2,1,25,3,6,2,7,1
229,16,8,4,1,14,2,21,11,2,2,24,2,5,2,8,1
230,17,7,3,1,14,3,22,11,3,2,23,1,4,2,8,1
231,18,6,2,1,15,4,22,11,3,2,22,1,3,3,8,2
