id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger1,1,16,0,0,41,0,41,41,6
passenger2,1,6,0,0,7,0,7,7,0
passenger3,1,8,0,0,9,0,9,9,1
passenger4,1,7,0,0,8,0,8,8,2
passenger5,1,10,1,1,17,0,16,16,7
passenger6,1,17,1,1,19,0,18,18,8
passenger7,1,11,1,1,13,0,12,12,9
passenger8,1,9,1,1,11,0,10,10,3
passenger9,1,14,2,2,21,0,19,19,10
passenger10,1,16,2,2,41,0,39,39,6
passenger11,1,2,2,2,5,0,3,3,4
passenger12,1,23,2,2,26,0,24,24,11
passenger13,1,23,2,2,26,0,24,24,12
passenger14,1,16,3,3,25,0,22,22,7
passenger15,1,15,4,4,24,0,20,20,10
passenger16,1,18,4,4,23,0,19,19,13
passenger17,1,12,4,4,31,0,27,27,6
passenger18,1,10,4,4,17,0,13,13,7
passenger19,1,10,4,4,15,0,11,11,10
passenger20,1,5,4,4,18,0,14,14,5
passenger21,1,22,4,4,27,0,23,23,14
passenger22,1,9,5,5,30,0,25,25,5
passenger23,1,8,6,6,27,0,21,21,5
passenger24,1,25,6,6,49,0,43,43,15
passenger25,1,14,6,6,35,0,29,29,6
passenger26,1,16,6,6,25,0,19,19,7
passenger27,1,7,7,7,24,0,17,17,5
passenger28,1,8,7,7,27,0,20,20,5
passenger29,1,19,8,8,35,0,27,27,15
passenger30,1,12,8,8,31,0,23,23,6
passenger31,1,5,9,9,18,0,9,9,5
passenger32,1,22,9,9,42,0,33,33,15
passenger33,1,11,9,9,28,0,19,19,6
passenger34,1,18,9,9,32,0,23,23,15
passenger35,1,10,9,9,25,0,16,16,6
passenger36,1,15,10,10,38,0,28,28,6
passenger37,1,20,10,10,38,0,28,28,15
passenger38,1,23,10,10,45,0,35,35,15
passenger39,1,6,10,10,21,0,11,11,5
passenger40,1,18,11,11,32,0,21,21,15
passenger41,1,23,12,12,45,0,33,33,15
passenger42,1,17,12,12,44,0,32,32,6
passenger43,1,5,12,12,18,0,6,6,5
passenger44,1,6,12,12,21,0,9,9,5
passenger45,1,6,12,12,21,0,9,9,5
passenger46,1,4,12,40,51,28,11,39,5
passenger47,1,20,13,13,38,0,25,25,15
passenger48,1,25,13,13,49,0,36,36,15
passenger49,1,14,14,14,35,0,21,21,6
passenger50,1,16,14,62,89,48,27,75,6
passenger51,1,20,14,75,100,61,25,86,15
passenger52,1,11,14,62,74,48,12,60,6
passenger53,1,13,14,62,80,48,18,66,6
passenger54,1,16,16,62,89,46,27,73,6
passenger55,1,9,16,17,47,1,30,31,4
passenger56,1,3,17,17,31,0,14,14,4
passenger57,1,15,17,62,86,45,24,69,6
passenger58,1,21,18,75,103,57,28,85,15
passenger59,1,3,18,18,31,0,13,13,4
passenger60,1,7,18,18,41,0,23,23,4
passenger61,1,8,19,19,44,0,25,25,4
passenger62,1,21,19,75,103,56,28,84,15
passenger63,1,14,19,62,83,43,21,64,6
passenger64,1,14,19,62,83,43,21,64,6
passenger65,1,17,21,62,92,41,30,71,6
passenger66,1,8,21,21,44,0,23,23,4
passenger67,1,19,22,75,97,53,22,75,15
passenger68,1,2,22,22,28,0,6,6,4
passenger69,1,4,23,23,34,0,11,11,4
passenger70,1,21,23,75,103,52,28,80,15
passenger71,1,17,23,62,92,39,30,69,6
passenger72,1,6,24,24,38,0,14,14,4
passenger73,1,12,24,62,77,38,15,53,6
passenger74,1,3,25,25,31,0,6,6,4
passenger75,1,18,25,75,94,50,19,69,15
passenger76,1,20,25,75,100,50,25,75,15
passenger77,1,8,25,57,72,32,15,47,4
passenger78,1,10,26,110,121,84,11,95,6
passenger79,1,7,26,57,69,31,12,43,4
passenger80,1,11,26,110,124,84,14,98,6
passenger81,1,8,26,57,72,31,15,46,4
passenger82,1,7,26,57,69,31,12,43,4
passenger83,1,12,27,110,127,83,17,100,6
passenger84,1,22,27,75,106,48,31,79,15
