tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4,3,3,3,2,1,1,1,1,2,2,1,1,1,1,1,1
5,4,4,4,3,2,1,1,1,3,3,1,2,2,1,1,1
6,5,5,5,4,2,1,1,1,4,4,1,3,3,1,1,1
7,6,6,6,5,2,1,1,1,5,5,2,4,4,2,2,1
8,6,7,7,6,2,1,1,1,6,6,3,5,5,3,3,1
9,6,8,7,7,2,1,1,2,7,7,4,6,6,4,4,1
10,6,8,7,8,2,1,1,3,8,8,5,7,7,5,5,1
11,6,8,7,9,2,1,1,4,9,9,6,8,8,6,6,1
12,6,8,7,9,2,1,1,5,10,10,7,9,9,7,7,1
13,6,8,7,9,2,1,1,6,11,11,8,10,10,8,8,1
14,6,8,7,9,2,1,1,7,12,11,9,11,11,9,9,1
15,6,8,7,9,2,2,1,8,13,11,10,12,12,10,10,1
16,6,8,7,9,2,3,1,9,14,11,10,13,13,11,11,2
17,6,8,7,9,1,4,2,10,15,11,10,14,14,12,12,3
18,6,8,7,9,1,5,3,10,16,11,11,15,15,13,13,4
19,6,8,7,9,1,5,4,10,17,11,12,16,16,14,14,5
20,6,8,7,9,1,5,5,11,17,11,13,17,17,15,15,6
21,6,8,7,9,1,6,6,12,17,11,14,18,18,16,16,7
22,6,8,7,9,1,6,7,13,17,11,14,19,19,17,17,8
23,6,8,7,9,1,6,8,14,17,11,14,20,20,18,18,9
24,6,8,7,9,1,7,9,15,17,11,15,21,21,18,19,10
25,6,8,7,9,1,7,10,16,17,11,15,22,22,18,20,11
26,6,8,7,9,1,7,10,16,17,11,15,23,23,18,21,12
27,6,8,7,9,1,8,10,16,17,11,15,23,23,18,22,13
28,6,8,7,9,2,8,11,16,17,11,15,23,23,18,22,14
29,6,8,7,9,2,8,11,16,17,11,15,23,23,18,22,15
30,6,8,7,9,2,9,11,16,17,10,15,23,23,18,22,16
31,6,8,7,9,3,9,12,16,17,9,15,23,23,18,22,17
32,6,8,7,9,3,9,12,16,17,8,15,23,23,18,22,18
33,6,8,7,9,3,8,12,16,17,7,15,23,23,18,22,18
34,6,8,7,9,4,7,13,16,17,6,15,23,23,17,22,18
35,6,8,7,9,4,6,14,16,17,5,15,23,23,16,22,19
36,6,8,7,9,4,5,14,16,17,4,15,23,23,15,22,19
37,6,8,7,9,5,4,14,16,17,3,15,23,23,14,22,19
38,6,8,7,9,6,3,15,16,17,2,15,23,23,13,22,20
39,6,8,7,9,6,2,15,16,17,1,15,23,23,12,22,20
40,6,8,7,9,6,1,15,16,17,1,15,23,23,11,22,20
41,6,8,7,9,7,1,16,16,17,1,15,23,23,10,22,21
42,6,8,7,9,7,1,16,16,17,2,15,23,23,9,22,22
43,6,8,7,9,7,1,16,16,17,3,15,23,23,8,22,22
44,6,8,7,9,8,1,17,16,17,4,15,23,23,7,22,22
45,6,8,7,9,8,1,17,16,17,5,15,23,23,6,22,23
46,6,8,7,9,8,1,17,16,17,6,15,23,23,5,22,23
47,6,8,7,9,9,2,16,16,17,7,15,23,23,4,22,23
48,6,8,7,9,9,2,15,16,17,8,15,23,23,3,22,24
49,6,8,7,9,9,2,14,16,17,9,15,23,23,2,22,25
50,6,8,7,9,8,3,13,16,17,10,15,23,23,1,22,25
51,6,8,7,9,7,4,12,16,17,10,15,23,23,1,22,25
52,6,8,7,9,6,4,11,16,17,10,15,23,23,1,22,24
53,6,8,7,9,5,4,10,16,17,11,15,23,23,2,22,23
54,6,8,7,9,4,5,9,16,17,11,15,23,23,3,22,22
55,6,8,7,9,3,5,8,16,17,11,15,23,23,4,22,21
56,6,8,7,9,2,5,7,16,17,12,15,23,23,5,22,20
57,6,8,7,9,1,6,6,16,17,12,15,23,23,6,22,19
58,6,8,7,9,1,7,5,16,17,12,15,23,23,7,22,18
59,6,8,7,9,1,7,4,16,17,13,15,23,23,8,22,17
60,6,8,7,9,2,7,3,16,17,13,15,23,23,9,22,16
61,6,8,7,9,3,8,2,16,17,13,15,23,23,10,22,15
62,6,8,7,9,3,8,1,16,17,14,15,23,23,11,22,14
63,6,8,7,9,3,8,1,16,17,14,15,23,23,12,22,13
64,6,8,7,9,4,9,1,16,17,14,15,23,23,13,22,12
65,6,8,7,9,5,9,2,16,17,13,15,23,23,14,22,11
66,6,8,7,9,6,9,3,16,17,12,15,23,23,15,22,10
67,6,8,7,9,6,8,4,16,17,11,15,23,23,16,22,9
68,6,8,7,9,6,7,5,16,17,10,15,23,23,17,22,8
69,6,8,7,9,7,6,6,16,17,9,15,23,23,18,22,7
70,6,8,7,9,7,5,7,16,17,8,15,23,23,18,22,6
71,6,8,7,9,7,4,8,16,17,7,15,23,23,18,22,5
72,6,8,7,9,8,3,9,16,17,6,15,23,23,19,22,4
73,6,8,7,9,8,2,10,16,17,5,15,23,23,20,22,3
74,6,8,7,9,8,1,11,16,17,4,15,23,23,21,22,2
75,6,8,7,9,9,1,11,16,17,3,15,23,23,22,22,1
76,6,8,7,9,9,1,11,16,17,2,15,23,23,22,22,1
77,6,8,7,9,9,2,12,16,17,1,15,23,23,22,22,1
78,6,8,7,9,8,2,12,16,17,1,15,23,23,23,22,2
79,6,8,7,9,7,2,12,16,17,1,15,23,23,23,22,3
80,6,8,7,9,6,3,13,16,17,2,15,23,23,23,22,4
81,6,8,7,9,5,3,13,16,17,3,15,23,23,24,22,5
82,6,8,7,9,4,3,13,16,17,4,15,23,23,25,22,6
83,6,8,7,9,3,4,14,16,17,5,15,23,23,25,22,7
84,6,8,7,9,2,4,14,16,17,6,15,23,23,25,22,8
85,6,8,7,9,1,4,14,16,17,7,15,23,23,24,22,9
86,6,8,7,9,1,5,15,16,17,8,15,23,23,23,22,10
87,6,8,7,9,1,6,15,16,17,9,15,23,23,22,22,11
88,6,8,7,9,2,6,15,16,17,10,15,23,23,21,22,12
89,6,8,7,9,2,6,16,16,17,10,15,23,23,20,22,13
90,6,8,7,9,2,7,16,16,17,10,15,23,23,19,22,14
91,6,8,7,9,3,8,16,16,17,11,15,23,23,18,22,15
92,6,8,7,9,3,8,17,16,17,12,15,23,23,17,22,16
93,6,8,7,9,3,8,17,16,17,12,15,23,23,16,22,17
94,6,8,7,9,4,7,17,16,17,12,15,23,23,15,22,18
95,6,8,7,9,4,6,16,16,17,13,15,23,23,14,22,18
96,6,8,7,9,4,5,15,16,17,13,15,23,23,13,22,18
97,6,8,7,9,5,4,14,16,17,13,15,23,23,12,22,19
98,6,8,7,9,5,3,13,16,17,14,15,23,23,11,22,19
99,6,8,7,9,5,2,12,16,17,15,15,23,23,10,22,19
100,6,8,7,9,6,1,11,16,17,15,15,23,23,9,22,20
101,6,8,7,9,7,1,10,16,17,15,15,23,23,8,22,20
102,6,8,7,9,7,1,9,16,17,16,15,23,23,7,22,20
103,6,8,7,9,7,2,8,16,17,16,15,23,23,6,22,21
104,6,8,7,9,8,2,7,16,17,16,15,23,23,5,22,21
105,6,8,7,9,8,2,6,16,17,15,15,23,23,4,22,21
106,6,8,7,9,8,3,5,16,17,14,15,23,23,3,22,22
107,6,8,7,9,7,4,4,16,17,13,15,23,23,2,22,22
108,6,8,7,9,6,4,3,16,17,12,15,23,23,1,22,22
109,6,8,7,9,5,4,2,16,17,11,15,23,23,1,22,23
110,6,8,7,9,4,5,1,16,17,10,15,23,23,1,22,24
111,6,8,7,9,3,5,1,16,17,9,15,23,23,2,22,24
112,6,8,7,9,2,5,1,16,17,8,15,23,23,3,22,24
113,6,8,7,9,1,6,2,16,17,7,15,23,23,4,22,23
114,6,8,7,9,1,7,3,16,17,6,15,23,23,5,22,22
115,6,8,7,9,1,7,4,16,17,5,15,23,23,6,22,21
116,6,8,7,9,2,7,5,16,17,4,15,23,23,7,22,20
117,6,8,7,9,2,8,6,16,17,3,15,23,23,8,22,19
118,6,8,7,9,2,8,7,16,17,2,15,23,23,9,22,18
119,6,8,7,9,3,8,8,16,17,1,15,23,23,10,22,17
120,6,8,7,9,3,7,9,16,17,1,15,23,23,11,22,16
121,6,8,7,9,3,6,10,16,17,1,15,23,23,12,22,15
122,6,8,7,9,4,5,10,16,17,2,15,23,23,13,22,14
123,6,8,7,9,4,4,10,16,17,3,15,23,23,14,22,13
124,6,8,7,9,4,3,11,16,17,4,15,23,23,15,22,12
125,6,8,7,9,5,2,11,16,17,5,15,23,23,16,22,11
126,6,8,7,9,5,1,11,16,17,6,15,23,23,17,22,10
127,6,8,7,9,5,1,12,16,17,7,15,23,23,18,22,9
128,6,8,7,9,6,1,12,16,17,8,15,23,23,19,22,8
129,6,8,7,9,7,2,12,16,17,9,15,23,23,19,22,7
130,6,8,7,9,7,2,13,16,17,10,15,23,23,19,22,6
131,6,8,7,9,7,2,14,16,17,10,15,23,23,20,22,5
132,6,8,7,9,8,3,15,16,17,10,15,23,23,20,22,4
133,6,8,7,9,9,3,15,16,17,11,15,23,23,20,22,3
134,6,8,7,9,9,3,15,16,17,11,15,23,23,21,22,2
135,6,8,7,9,9,4,16,16,17,11,15,23,23,22,22,1
136,6,8,7,9,8,4,16,16,17,12,15,23,23,23,22,1
137,6,8,7,9,7,4,16,16,17,13,15,23,23,23,22,1
138,6,8,7,9,6,5,15,16,17,13,15,23,23,23,22,2
139,6,8,7,9,5,5,14,16,17,13,15,23,23,24,22,3
140,6,8,7,9,4,5,13,16,17,14,15,23,23,24,22,4
141,6,8,7,9,3,6,12,16,17,15,15,23,23,24,22,5
142,6,8,7,9,2,7,11,16,17,15,15,23,23,25,22,6
143,6,8,7,9,1,7,10,16,17,15,15,23,23,25,22,7
144,6,8,7,9,1,7,9,16,17,16,15,23,23,25,22,8
145,6,8,7,9,1,8,8,16,17,16,15,23,23,24,22,9
146,6,8,7,9,2,9,7,16,17,16,15,23,23,23,22,10
147,6,8,7,9,2,9,6,16,17,17,15,23,23,22,22,11
148,6,8,7,9,2,9,5,16,17,17,15,23,23,21,22,12
149,6,8,7,9,3,8,4,16,17,17,15,23,23,20,22,13
150,6,8,7,9,4,7,3,16,17,16,15,23,23,19,22,14
151,6,8,7,9,4,6,2,16,17,15,15,23,23,18,22,15
152,6,8,7,9,4,5,1,16,17,14,15,23,23,17,22,16
153,6,8,7,9,5,4,1,16,17,13,15,23,23,16,22,17
154,6,8,7,9,6,3,1,16,17,12,15,23,23,15,22,18
155,6,8,7,9,6,2,2,16,17,11,15,23,23,14,22,18
156,6,8,7,9,6,1,3,16,17,10,15,23,23,13,22,18
157,6,8,7,9,7,1,4,16,17,9,15,23,23,12,22,19
158,6,8,7,9,7,1,5,16,17,8,15,23,23,11,22,19
159,6,8,7,9,7,2,6,16,17,7,15,23,23,10,22,19
160,6,8,7,9,8,2,7,16,17,6,15,23,23,9,22,20
161,6,8,7,9,8,2,8,16,17,5,15,23,23,8,22,20
162,6,8,7,9,8,3,9,16,17,4,15,23,23,7,22,20
163,6,8,7,9,7,4,10,16,17,3,15,23,23,6,22,21
164,6,8,7,9,6,4,11,16,17,2,15,23,23,5,22,21
165,6,8,7,9,5,4,11,16,17,1,15,23,23,4,22,21
166,6,8,7,9,4,5,11,16,17,1,15,23,23,3,22,22
167,6,8,7,9,3,5,12,16,17,1,15,23,23,2,22,22
168,6,8,7,9,2,5,12,16,17,2,15,23,23,1,22,22
169,6,8,7,9,1,6,12,16,17,3,15,23,23,1,22,23
170,6,8,7,9,1,7,13,16,17,4,15,23,23,1,22,23
171,6,8,7,9,1,7,13,16,17,5,15,23,23,2,22,23
172,6,8,7,9,2,7,13,16,17,6,15,23,23,3,22,22
173,6,8,7,9,3,8,14,16,17,7,15,23,23,4,22,21
174,6,8,7,9,3,8,14,16,17,8,15,23,23,5,22,20
175,6,8,7,9,3,8,14,16,17,9,15,23,23,6,22,19
176,6,8,7,9,4,9,15,16,17,10,15,23,23,7,22,18
177,6,8,7,9,4,9,15,16,17,11,15,23,23,8,22,17
178,6,8,7,9,4,9,15,16,17,12,15,23,23,9,22,16
179,6,8,7,9,5,8,16,16,17,12,15,23,23,10,22,15
180,6,8,7,9,5,7,17,16,17,12,15,23,23,11,22,14
181,6,8,7,9,5,6,17,16,17,13,15,23,23,12,22,13
182,6,8,7,9,6,5,17,16,17,13,15,23,23,13,22,12
183,6,8,7,9,6,4,16,16,17,13,15,23,23,14,22,11
184,6,8,7,9,6,3,15,16,17,14,15,23,23,15,22,10
185,6,8,7,9,7,2,14,16,17,14,15,23,23,16,22,9
186,6,8,7,9,8,1,13,16,17,14,15,23,23,17,22,8
187,6,8,7,9,8,1,12,16,17,15,15,23,23,18,22,7
188,6,8,7,9,8,1,11,16,17,15,15,23,23,18,22,6
189,6,8,7,9,9,2,10,16,17,15,15,23,23,18,22,5
190,6,8,7,9,9,2,9,16,17,16,15,23,23,19,22,4
191,6,8,7,9,9,2,8,16,17,16,15,23,23,19,22,3
192,6,8,7,9,8,3,7,16,17,16,15,23,23,19,22,2
193,6,8,7,9,7,3,6,16,17,17,15,23,23,20,22,1
194,6,8,7,9,6,3,5,16,17,17,15,23,23,20,22,1
195,6,8,7,9,5,4,4,16,17,17,15,23,23,20,22,1
196,6,8,7,9,4,5,3,16,17,16,15,23,23,21,22,2
197,6,8,7,9,3,5,2,16,17,15,15,23,23,22,22,3
198,6,8,7,9,2,5,1,16,17,14,15,23,23,23,22,4
199,6,8,7,9,1,6,1,16,17,13,15,23,23,23,22,5
200,6,8,7,9,1,6,1,16,17,12,15,23,23,23,22,6
201,6,8,7,9,1,6,2,16,17,11,15,23,23,24,22,7
202,6,8,7,9,2,7,3,16,17,10,15,23,23,24,22,8
203,6,8,7,9,2,8,4,16,17,9,15,23,23,24,22,9
204,6,8,7,9,2,8,5,16,17,8,15,23,23,25,22,10
205,6,8,7,9,3,8,6,16,17,7,15,23,23,25,22,11
206,6,8,7,9,3,9,7,16,17,6,15,23,23,25,22,12
207,6,8,7,9,3,9,8,16,17,5,15,23,23,24,22,13
208,6,8,7,9,4,9,9,16,17,4,15,23,23,23,22,14
209,6,8,7,9,4,8,10,16,17,3,15,23,23,22,22,15
210,6,8,7,9,4,7,10,16,17,2,15,23,23,21,22,16
211,6,8,7,9,5,6,10,16,17,1,15,23,23,20,22,17
212,6,8,7,9,5,5,11,16,17,1,15,23,23,19,22,18
213,6,8,7,9,5,4,11,16,17,1,15,23,23,18,22,19
214,6,8,7,9,6,3,11,16,17,2,15,23,23,17,22,19
215,6,8,7,9,6,2,12,16,17,3,15,23,23,16,22,19
216,6,8,7,9,6,1,13,16,17,4,15,23,23,15,22,20
217,6,8,7,9,7,1,13,16,17,5,15,23,23,14,22,20
218,6,8,7,9,7,1,13,16,17,6,15,23,23,13,22,20
219,6,8,7,9,7,2,14,16,17,7,15,23,23,12,22,21
220,6,8,7,9,8,3,14,16,17,8,15,23,23,11,22,21
221,6,8,7,9,8,3,14,16,17,9,15,23,23,10,22,21
222,6,8,7,9,8,3,15,16,17,10,15,23,23,9,22,22
223,6,8,7,9,9,4,16,16,17,10,15,23,23,8,22,22
224,6,8,7,9,9,5,17,16,17,10,15,23,23,7,22,22
225,6,8,7,9,9,5,17,16,17,11,15,23,23,6,22,23
226,6,8,7,9,8,5,17,16,17,12,15,23,23,5,22,23
227,6,8,7,9,7,6,16,16,17,12,15,23,23,4,22,23
228,5,8,7,9,6,7,15,16,17,12,15,23,23,3,22,24
229,4,8,7,9,5,7,14,16,17,13,15,23,23,2,22,24
230,3,8,7,9,4,7,13,16,17,13,15,23,23,1,22,24
231,2,8,7,9,3,8,12,16,17,13,15,23,23,1,22,25
